Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,"Профилирана гимназия ""Яне Сандански""",104101,106,3.84,5,4.84,15,2.57,,,40,2.63,1,3.92,2,2.59,9,4.82,,,2,3.4,,,,,2,5.18,,,,,36,4.73,,,,,,,,,,,,,,,1,05.06,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,Вечерна профилирана гимназия,108021,11,2.32,,,,,,,5,2.59,,,2,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,Спортно училище,109185,18,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.57,,,,
БЛАГОЕВГРАД,САТОВЧА,С.ВЪЛКОСЕЛ,"Средно училище ""Христо Ботев""",109030,38,3.96,9,4.52,,,,,,,,,13,3.44,13,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,САТОВЧА,С.КОЧАН,"Средно училище ""Христо Смирненски""",109055,20,3.9,1,4.81,,,,,15,3.71,,,,,4,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,САТОВЧА,С.САТОВЧА,"Средно училище ""Св. Св. Кирил и Методий""",109050,31,4.12,,,,,,,3,4.89,,,28,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,САТОВЧА,С.СЛАЩЕН,"Средно училище ""Свети Климент Охридски""",109037,26,4.35,,,1,5.36,7,4.57,,,,,12,4.47,6,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,СИМИТЛИ,ГР.СИМИТЛИ,"Средно училище ""Св. Св. Кирил и Методий""",103133,22,3.29,,,9,2.74,,,1,2,,,,,5,2,,,8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,СИМИТЛИ,С.КРУПНИК,"Средно училище ""Св.св.Кирил и Методий""",109102,7,2.24,,,,,1,2,1,2,1,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,СТРУМЯНИ,С.МИКРЕВО,"Средно училище ""Св. Паисий Хилендарски""",108100,7,2,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ХАДЖИДИМОВО,ГР.ХАДЖИДИМОВО,"Средно училище ""Никола Йонков Вапцаров""",108001,35,3.5,,,,,,,,,,,,,,,,,,,,,,,,,33,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ХАДЖИДИМОВО,С.АБЛАНИЦА,"Средно училище Св. Паисий Хилендарски""",108004,25,3.96,,,,,,,11,3.55,,,,,1,4.89,,,,,,,,,,,12,05.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ЯКОРУДА,ГР.ЯКОРУДА,"Професионална гимназия ""Петко Рачов Славейков""",102011,47,3.62,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.76,,,33,05.02,,
БЛАГОЕВГРАД,ЯКОРУДА,ГР.ЯКОРУДА,"Средно училище ""Свети Свети Кирил и Методий""",107090,33,3.35,,,,,,,19,2.65,,,10,3.11,,,,,,,,,,,,,,,,,4,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,АЙТОС,ГР.АЙТОС,"Средно училище ""Христо Ботев""",200112,57,3.84,,,,,,,14,3.71,,,,,20,3.7,,,2,4.33,,,,,,,,,,,19,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,АЙТОС,ГР.АЙТОС,"Средно училище ""Никола Йонков Вапцаров""",200113,77,3.48,,,,,,,63,3.71,,,,,2,3.67,,,1,3.62,,,,,,,,,,,4,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,АЙТОС,ГР.АЙТОС,"Професионална гимназия по селско стопанство ""Златна нива""",200114,47,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3.42,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,Професионална гимназия по компютърно програмиране и иновации,200120,89,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3.6,,,35,5.56,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Иван Вазов""",200227,27,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.31,24,4.14,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище "" Йордан Йовков""",200228,5,2.7,,,,,,,1,2,,,3,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Епископ Константин Преславски""",200229,22,3.32,,,,,,,4,2.27,,,,,,,,,1,2,,,,,,,,,,,3,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3.33,,,1,4.92,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище Добри Чинтулов""",200231,26,2.98,,,,,,,,,,,,,8,2,,,3,2,14,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Константин Петканов""",200232,13,2.58,,,,,,,,,,,8,3.22,5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Петко Росен""",200233,19,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.36,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Св. св. Кирил и Методий""",200234,67,3.36,,,,,,,10,04.06,,,7,3.54,,,,,17,2.7,,,14,4.12,,,,,,,21,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Профилирана гимназия за романски езици ""Георги Стойков Раковски""",200235,178,4.33,3,3.5,20,4.26,,,9,3.27,,,,,3,04.05,,,2,4.1,,,4,4.97,,,,,105,5.63,,,,,,,,,,,,,,,,,7,4.16,17,04.04,,,,,7,5.31,,,,,1,05.03,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Английска езикова гимназия ""Гео Милев""",200236,153,4.62,5,3.86,3,4.99,,,,,,,,,4,4.4,,,,,,,1,5.83,,,,,,,141,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Немска езикова гимназия ""Гьоте""",200237,155,05.09,3,4.78,,,,,,,,,,,,,,,,,,,,,,,,,108,5.8,,,,,,,,,,,,,44,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Профилирана гимназия за чужди езици ""Васил Левски""",200238,157,4.13,,,21,4.29,,,18,3.46,,,,,5,3.11,,,2,2,,,,,,,,,56,5.47,,,,,,,57,04.06,,,1,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Профилирана природоматематическа гимназия ""Академик Никола Обрешков""",200239,159,5.11,107,04.08,,,,,,,,,,,4,5.82,,,2,4.13,,,,,,,,,,,46,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Спортно училище ""Юрий Гагарин""",200240,48,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4.86,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""",200242,181,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4.85,46,4.5,50,5.48,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""",200243,26,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4.88,,
БУРГАС,БУРГАС,ГР.БУРГАС,Професионална гимназия по механоелектротехника и електроника,200244,154,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,4.32,,,1,6,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""",200245,137,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,3.56,21,3.9,4,4.92,,
БУРГАС,БУРГАС,ГР.БУРГАС,Търговска гимназия,200246,159,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.87,,,148,5.29,1,3.84
БУРГАС,БУРГАС,ГР.БУРГАС,"Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""",200247,109,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,04.04,39,5.16,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Професионална гимназия по електротехника и електроника ""Константин Фотинов""",200248,115,03.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,2.31,29,4.59,24,4.8,,
БУРГАС,БУРГАС,ГР.БУРГАС,Професионална гимназия по транспорт,200249,72,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3.14,,,,,,
