"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ  Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","39","83.59","39","75.21"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Начално училище ""Св. Паисий Хилендарски""","105204","46","84.5","44","65.1"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","Основно училище ""Свети Климент Охридски""","105202","23","78.15","23","60.85"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","Основно училище ""Свети свети Кирил и Методий""","102003","7","66.07","7","50"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","29","74.47","29","59.55"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","Основно училище ""Св.св.Кирил и Методий""","105005","5","74.3","5","65.6"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","Основно училище ""Пейо Крачолов Яворов""","105004","12","78.58","12","77.29"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","Начално училище ""Петко Р. Славейков""","105006","10","61.7","10","66.7"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","Основно училище ""Св.Паисий Хилендарски""","105003","30","69.97","30","69.4"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Второ основно училище ""Димитър Благоев""","100020","65","87.76","63","70.93"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Четвърто основно училище "" Димчо Дебелянов""","100040","40","82.33","40","61.84"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","115","84.23","114","67.25"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Единадесето основно училище ""Христо Ботев""","100110","63","86.17","62","69.78"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","38","83.12","37","66.49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Трето основно училище ""Димитър Талев""","101290","88","86.69","85","70.77"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Осмо средно училище ""Арсени Костенцев""","101580","93","85.87","94","69.37"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Девето основно училище "" Пейо Крачолов Яворов""","101700","20","80.75","20","62.13"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище ""Иван Вазов""","101880","74","84.39","74","68.22"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","44","87.26","44","71.97"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Първо основно училище ""Св. Св. Кирил и Методий""","103402","73","88.87","73","71.53"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Второ основно училище ""Гоце Делчев""","103403","84","87.6","84","73.35"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Трето основно училище ""Братя Миладинови""","103404","57","78.3","58","55.41"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","Основно училище ""Свети Паисий Хилендарски""","103408","7","49.93","7","37.93"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","Основно училище ""Св. Климент Охридски""","103406","6","35.17","6","24.17"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","28","74.86","28","58.14"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","Основно училище "" Иван Вазов""","103407","9","72.17","9","54.11"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","Oбединено училище ""Св. Паисий Хилендарски""","103410","16","69.91","16","54.47"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","Обединено училище ""Петър Берон""","103409","21","76.14","21","63.52"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.МУСОМИЩА","Основно училище ""Христо Ботев""","103405","13","74.15","13","57.23"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГОРНО ДРЯНОВО","Основно училище "" Св. Паисий Хилендарски""","103006","9","60.56","9","57.67"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","20","48.53","22","59.68"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","Обединено училище ""Св. Климент Охридски""","103005","20","79.53","20","67.48"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","Обединено училище ""Христо Ботев""","103008","23","72.8","23","55.83"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","Обединено училище ""Христо Ботев""","103019","14","68.93","14","51.68"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОГНЯНОВО","Основно училище ""Пейо Крачолов Яворов""","103004","10","83.7","10","78.35"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","45","68.58","43","65.03"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ХВОСТЯНЕ","Основно училище""Димитър Талев""","103009","13","65.12","13","48.73"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","29","84.45","29","65.98"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","75","77.3","75","61.48"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Антон Попов""","104002","33","43","33","41.55"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Първо основно училище ""Кочо Мавродиев""","104006","36","78.64","36","75.79"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Трето основно училище ""Гоце Делчев""","104007","61","82.94","61","65.2"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Четвърто основно училище""Христо Смирненски""","104008","78","82.01","78","61.49"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАВРАКИРОВО","Основно училище ""Св.Св. Кирил и Методий""","104024","13","61.73","13","54.96"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","28","68.21","28","57.77"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЪРНАЛОВО","Основно училище ""Братя Миладинови""","104025","10","82.3","10","64.65"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МАРИКОСТИНОВО","Основно училище ""Св. Св. Кирил и Методий""","104018","11","67.77","11","48.32"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","29","77.19","29","62.95"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РУПИТЕ","Основно училище ""Св.Св. Кирил и Методий""","104017","7","60.86","8","45.81"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СКРЪТ","Основно училище ""Пейо Крачолов Яворов""","104005","12","82.79","12","56.96"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Средно училище ""Братя Петър и Иван Каназиреви""","103501","21","84.05","21","67.74"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Основно училище ""Никола Парапунов""","103502","43","76.4","43","58.62"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Начално училище ""Яне Сандански""","103510","20","83.1","20","67.58"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Начално училище""Св.Св.Кирил и Методий""","103511","21","59.12","21","44.81"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАНЯ","Основно училище""Св. Паисий Хилендарски""","103503","23","71.24","23","54.07"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАЧЕВО","Основно училище ""Св. Св. Кирил и Методий""","103504","14","79.5","14","62.36"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ГОРНО ДРАГЛИЩЕ","Основно училище ""Неофит Рилски""","103506","9","83","9","61.39"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ЕЛЕШНИЦА","Основно училище""Братя Миладинови""","103508","12","83.92","12","67.17"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Второ основно училище ""Христо Смирненски""","102606","92","83.34","92","68.91"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Първо основно училище ""Свети Климент Охридски""","104104","60","86.1","61","73.07"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Трето основно училище ""Христо Ботев""","104106","116","85.6","115","70.77"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Четвърто основно училище "" Св. Св. Козма и Дамян ""","104107","47","81.03","47","58.86"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДАМЯНИЦА","Основно училище ""Св.СвКирил и Методий""","104113","19","65.66","19","56.42"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КАТУНЦИ","Основно училище""Христо Ботев""","104116","4","71","4","53.75"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СКЛАВЕ","Основно училище ""Братя Миладинови""","104111","14","53.75","14","41.86"
