"Резултати по училища от националното външно оценяване за X клас - учебна 2022/2023 година","","","","","","","",""
"Максимален бал","","","","","","","",""
"Български език и литература (БЕЛ)","","100","","","","","",""
"Математика (МАТ)","","100","","","","","",""
"Област","Община","Населено място","Училище","Код по Админ","БЕЛ","","МАТ",""
"","","","","","Явили се","Ср. успех в точки","Явили се","Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","102004","31","33.66","31","36.65"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Гимназия по туризъм ""Алеко Константинов""","102010","17","29.62","19","30.54"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална гимназия по електроника и енергетика","102015","53","43.39","53","35.98"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","20","64.03","21","50.88"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","54","40.3","55","53.63"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Професионална гимназия ""Никола Йонков Вапцаров""","105002","26","40.87","26","53.43"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Благоевградска професионална гимназия ""Ичко Бойчев""","100052","49","31.83","48","19.33"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","24","51.06","24","25.68"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Езикова гимназия ""Акад. Людмил Стоянов""","100190","157","73.76","155","61.8"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Природо-математическа гимназия ""Акад. Сергей Корольов""","100200","157","68.9","157","64.03"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по икономика ""Иван Илиев""","100280","101","58.3","101","33.28"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","100300","82","43.26","81","18.76"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","27","47.41","27","20.47"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","101730","41","35.51","39","17.74"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","101870","130","58.86","130","31.51"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","22","37.39","22","20.68"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Неврокопска професионална гимназия ""Димитър Талев""","102001","137","49.86","134","22.29"
