"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","75","63.81","75","42.42"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","Основно училище ""Свети Климент Охридски""","105202","22","51.32","22","38.88"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","Основно училище ""Свети свети Кирил и Методий""","102003","9","60.83","9","24.67"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","39","44.56","39","57.22"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","Основно училище ""Св.св.Кирил и Методий""","105005","10","56.65","10","55.93"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","Основно училище ""Пейо Крачолов Яворов""","105004","20","60.93","20","51.08"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","Основно училище ""Св.Паисий Хилендарски""","105003","31","55.82","31","55.96"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Второ основно училище ""Димитър Благоев"", в сградата на ПГСАГ ""Васил Левски""","100020","68","66.9","66","53.91"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Четвърто основно училище "" Димчо Дебелянов""","100040","32","56.59","32","33.98"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","110","70.38","109","54.73"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Единадесето основно училище ""Христо Ботев""","100110","40","52.84","40","32.94"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Природо-математическа гимназия ""Акад. Сергей Корольов""","100200","26","89.56","26","88.35"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","42","57.52","42","39.01"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Трето основно училище ""Димитър Талев""","101290","109","70.64","109","54.92"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Осмо средно училище ""Арсени Костенцев""","101580","100","66.65","100","49.05"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище ""Иван Вазов""","101880","54","61.66","54","46.72"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","49","65.84","49","37.52"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Природо-математическа гимназия ""Яне Сандански""","102002","17","61.41","17","48.03"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Първо основно училище ""Св. Св. Кирил и Методий""","103402","79","61.84","79","35.45"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Второ основно училище ""Гоце Делчев""","103403","67","60.61","67","31.05"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Трето основно училище ""Братя Миладинови""","103404","40","57.99","40","37.6"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","Основно училище ""Свети Паисий Хилендарски""","103408","8","38.88","9","18.36"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","Основно училище ""Св. Климент Охридски""","103406","9","33.61","9","21.53"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","27","60.83","27","45.45"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","Основно училище "" Иван Вазов""","103407","9","44.56","9","29.39"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","Oбединено училище ""Св. Паисий Хилендарски""","103410","14","64.64","14","63.32"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","Обединено училище ""Петър Берон""","103409","10","63.3","10","55.48"
