"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ Ср. успех в точки"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Професионална гимназия по селско стопанство""Св.Климент Охридски""","1000002","17","12.35","17","15.76"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Езикова гимназия ""Д-р Петър Берон""","1000540","77","63.73","77","28.31"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Природоматематическа гимназия ""Проф. Емануил Иванов""","1000550","101","64.66","100","48.75"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Професионална техническа гимназия ""Джон Атанасов""","1001360","13","21.23","12","26.25"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Професионална гимназия по икономика и мениджмънт ""Йордан Захариев""","1001380","89","40.42","89","19.6"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Спортно училище ""Васил Левски""","1001390","18","36.94","17","18.32"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Професионална гимназия по туризъм ""Никола Йонков Вапцаров""","1001420","33","25.77","34","15.96"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","Професионална гимназия по лека промишленост ""Владимир Димитров-Майстора""","1001670","17","12.65","15","16.4"
"КЮСТЕНДИЛ","САПАРЕВА БАНЯ","ГР.САПАРЕВА БАНЯ","Средно училище ""Христо Ботев""","1000009","29","31.5","30","19.4"
"ЛОВЕЧ","АПРИЛЦИ","ГР.АПРИЛЦИ","Средно училище ""Васил Левски""","1100108","14","32.96","14","32.86"
"ЛОВЕЧ","ЛЕТНИЦА","ГР.ЛЕТНИЦА","Средно училище ""Бачо Киро""","1100201","13","27.92","13","16.81"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","Средно училище ""Тодор Кирков""","1100316","19","36.11","19","16.97"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","Профилирана природо-математическа гимназия","1100320","100","61.88","100","37.99"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","Професионална гимназия по механоелектротехника","1100322","47","32.45","46","16.45"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","Профилирана езикова гимназия ""Екзарх Йосиф I""","1100328","124","70.87","124","38.39"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","Национална професионална гимназия по ветеринарна медицина ""Проф. д-р Димитър Димов""","1100329","53","43.32","53","20.42"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","Професионална гимназия по икономика търговия и услуги","1100331","26","26.42","25","26.78"
"ЛОВЕЧ","ЛУКОВИТ","ГР.ЛУКОВИТ","Средно училище ""Алеко Константинов""","1100402","36","21.71","34","14"
"ЛОВЕЧ","ЛУКОВИТ","ГР.ЛУКОВИТ","Професионална гимназия по селско стопанство ""Сергей Румянцев""","1100410","65","37.38","64","19.91"
"ЛОВЕЧ","ЛУКОВИТ","С.ДЕРМАНЦИ","Обединено училище ""Неофит Рилски""","1100404","8","29.81","8","13.56"
"ЛОВЕЧ","ТЕТЕВЕН","ГР.ТЕТЕВЕН","Средно училище ""Георги Бенковски""","1100509","34","46.81","34","21.84"
"ЛОВЕЧ","ТЕТЕВЕН","ГР.ТЕТЕВЕН","Национална професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","1100511","53","39.25","53","20.3"
"ЛОВЕЧ","ТЕТЕВЕН","ГР.ТЕТЕВЕН","Професионална гимназия по строителство електротехника и услуги","1100514","39","30.19","39","22.49"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","Средно училище ""Васил Левски""","1100612","76","56.05","76","26.6"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","Средно училище ""Свети Климент Охридски""","1100613","43","61.74","43","24.72"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","Професионална гимназия по механоелектротехника ""Академик Ангел Балевски""","1100616","31","25.13","30","17.72"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","Национално училище за приложни изкуства ""Проф. Венко Колев""","2902502","27","53.59","27","22.17"
"ЛОВЕЧ","ТРОЯН","С.ЧЕРНИ ОСЪМ","Средно училище ""Васил Левски""","1100610","19","50.71","19","29.18"
"ЛОВЕЧ","УГЪРЧИН","ГР.УГЪРЧИН","Средно училище ""Св. Св. Кирил и Методий""","1100705","20","35.05","18","26.67"
"ЛОВЕЧ","ЯБЛАНИЦА","ГР.ЯБЛАНИЦА","Средно училище ""Васил Левски""","1100805","34","24.07","31","51.15"
"МОНТАНА","БЕРКОВИЦА","ГР.БЕРКОВИЦА","Профилирана гимназия ""Д-р Иван Панов""","1202000","33","41.47","32","23.02"
"МОНТАНА","БЕРКОВИЦА","ГР.БЕРКОВИЦА","Лесотехническа професионална гимназия","1202011","35","31.66","35","21.97"
"МОНТАНА","БОЙЧИНОВЦИ","С.ВЛАДИМИРОВО","Професионална гимназия по транспорт ""Вл.П.Минчев""","1202052","34","35.28","33","23.47"
"МОНТАНА","БРУСАРЦИ","ГР.БРУСАРЦИ","Средно училище ""Христо Ботев""","1204000","13","39","13","28.69"
"МОНТАНА","ВЪЛЧЕДРЪМ","ГР.ВЪЛЧЕДРЪМ","Професионална Гимназия ""Димитър Маринов""","1207000","20","23.9","20","18.35"
"МОНТАНА","ВЪЛЧЕДРЪМ","С.ДОЛНИ ЦИБЪР","Средно училище ""Христо Ботев""","1207003","12","28.79","12","39.71"
"МОНТАНА","ВЪРШЕЦ","ГР.ВЪРШЕЦ","Средно училище ""Иван Вазов""","1208002","39","48.17","38","42.61"
"МОНТАНА","ГЕОРГИ ДАМЯНОВО","С.ГЕОРГИ ДАМЯНОВО","Професионална гимназия по селско стопанство ""Марко Марков""","1206005","5","29.7","4","19"
"МОНТАНА","ЛОМ","ГР.ЛОМ","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","1202036","34","37.87","33","29.58"
"МОНТАНА","ЛОМ","ГР.ЛОМ","Средно училище ""Отец Паисий""","1209003","12","31.58","12","49.17"
"МОНТАНА","ЛОМ","ГР.ЛОМ","Средно училище ""Димитър Маринов""","1209005","24","51.02","24","22.4"
"МОНТАНА","ЛОМ","ГР.ЛОМ","Профилирана гимназия ""Найден Геров""","1209006","43","55.9","43","28.12"
"МОНТАНА","ЛОМ","ГР.ЛОМ","Професионална гимназия по производствени технологии","1209012","67","39.9","67","26.49"
"МОНТАНА","ЛОМ","С.КОВАЧИЦА","Професионална гимназия по селско стопанство ""Дунавска земя""","1209013","16","29.22","14","33.14"
"МОНТАНА","МЕДКОВЕЦ","С.МЕДКОВЕЦ","Средно училище ""Отец Паисий""","1205000","9","34.17","7","21.21"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","1201001","78","62.16","78","44.61"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","1201002","77","58.96","77","33.11"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Второ средно училище ""Никола Йонков Вапцаров""","1201004","14","37.11","13","34"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Седмо средно училище ""Йордан Радичков""","1201011","18","29.81","17","16.97"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Финансово-стопанска професионална гимназия ""Васил Левски""","1201021","74","51.3","73","17.08"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Професионална гимназия по строителство, архитектура и компютърни науки ""Проф. Арх. Стефан Стефанов""","1201022","77","43.99","76","23.1"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Професионална гимназия по лека промишленост","1201023","31","26.89","31","20.34"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Професионална гимназия по техника и електротехника ""Христо Ботев""","1201033","67","32.63","65","14.92"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","Шесто средно училище ""Отец Паисий""","1201034","18","22.56","16","16.34"
"МОНТАНА","ЯКИМОВО","С.ЯКИМОВО","Средно училище ""Д-р Петър Берон""","1201200","10","35.9","10","50.4"
"ПАЗАРДЖИК","БАТАК","ГР.БАТАК","Професионална гимназия по горско стопанство и дървообработване ""Стефан Божков""","1302783","11","41.18","11","25.36"
"ПАЗАРДЖИК","БАТАК","С.НОВА МАХАЛА","Средно училище ""Кирил и Методий""","1300015","12","39.71","12","34.88"
"ПАЗАРДЖИК","БЕЛОВО","ГР.БЕЛОВО","СРЕДНО УЧИЛИЩЕ ""АЛЕКСАНДЪР ИВАНОВ - ЧАПАЙ""","1308667","40","46.15","40","30.65"
"ПАЗАРДЖИК","БРАЦИГОВО","ГР.БРАЦИГОВО","Средно училище ""Народни будители""","1301566","6","17.83","6","26.67"
"ПАЗАРДЖИК","ВЕЛИНГРАД","ГР.ВЕЛИНГРАД","Средно училище ""Св. св. Кирил и Методий""","1301674","69","51.25","68","31.76"
"ПАЗАРДЖИК","ВЕЛИНГРАД","ГР.ВЕЛИНГРАД","Средно училище ""Васил Левски""","1302573","42","62.06","42","46.48"
