Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
БЛАГОЕВГРАД,ГЪРМЕН,С.РИБНОВО,"Средно училище ""Йордан Йовков""",103002,45,64.47,45,87.34
БЛАГОЕВГРАД,ГЪРМЕН,С.ХВОСТЯНЕ,"Основно училище""Димитър Талев""",103009,9,51,9,42.61
БЛАГОЕВГРАД,КРЕСНА,ГР.КРЕСНА,"Средно училище ""Св.Паисий Хилендарски""",105101,32,68.25,32,52.39
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Средно училище ""Никола Йонков Вапцаров""",103310,83,76.31,84,63.98
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Средно училище ""Антон Попов""",104002,41,30.12,41,34.98
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Първо основно училище ""Кочо Мавродиев""",104006,32,63.03,31,70.97
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Трето основно училище ""Гоце Делчев""",104007,55,73.58,54,68.67
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Четвърто основно училище""Христо Смирненски""",104008,75,76.76,75,70.59
БЛАГОЕВГРАД,ПЕТРИЧ,С.КАВРАКИРОВО,"Основно училище ""Св.Св. Кирил и Методий""",104024,14,61.5,14,50.21
БЛАГОЕВГРАД,ПЕТРИЧ,С.КОЛАРОВО,"Средно училище ""Васил Левски""",104003,17,67.12,17,54.29
БЛАГОЕВГРАД,ПЕТРИЧ,С.КЪРНАЛОВО,"Осноно училище ""Братя Миладинови""",104025,14,67.43,14,57.46
БЛАГОЕВГРАД,ПЕТРИЧ,С.МАРИКОСТИНОВО,"Основно училище ""Св. Св. Кирил и Методий""",104018,12,59.08,12,59.46
БЛАГОЕВГРАД,ПЕТРИЧ,С.ПЪРВОМАЙ,"Средно училище ""Св.Паисий Хилендарски""",104004,28,76.32,28,58.09
БЛАГОЕВГРАД,ПЕТРИЧ,С.РУПИТЕ,"Основно училище ""Св.Св. Кирил и Методий""",104017,10,56.9,10,54.55
БЛАГОЕВГРАД,ПЕТРИЧ,С.СКРЪТ,"Основно училище ""Пейо Крачолов Яворов""",104005,17,82.65,17,65.06
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Средно училище ""Братя Петър и Иван Каназиреви""",103501,14,62.5,14,61.11
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Основно училище ""Никола Парапунов""",103502,37,80,33,71.53
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Начално училище ""Яне Сандански""",103510,23,72,23,59.15
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Начално училище""Св.Св.Кирил и Методий""",103511,30,73.7,30,68.4
БЛАГОЕВГРАД,РАЗЛОГ,С.БАНЯ,"Основно училище""Св. Паисий Хилендарски""",103503,19,57.68,19,46.63
БЛАГОЕВГРАД,РАЗЛОГ,С.БАЧЕВО,"Основно училище ""Св. Св. Кирил и Методий""",103504,10,69.6,10,67.35
БЛАГОЕВГРАД,РАЗЛОГ,С.ГОРНО ДРАГЛИЩЕ,"Основно училище ""Неофит Рилски""",103506,8,44.88,8,38.19
БЛАГОЕВГРАД,РАЗЛОГ,С.ЕЛЕШНИЦА,"Основно училище""Братя Миладинови""",103508,9,56,9,55.33
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,"Второ основно училище ""Христо Смирненски""",102606,68,76.56,63,68.83
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,"Първо основно училище ""Свети Климент Охридски""",104104,48,71.71,48,64.36
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,"Трето основно училище ""Христо Ботев""",104106,125,79.52,124,72.01
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,"Четвърто основно училище "" Св. Св. Козма и Дамян """,104107,47,70.64,47,53.88
БЛАГОЕВГРАД,САНДАНСКИ,С.ДАМЯНИЦА,"Основно училище ""Св.СвКирил и Методий""",104113,15,60.93,16,56.22
БЛАГОЕВГРАД,САНДАНСКИ,С.КАТУНЦИ,"Основно училище""Христо Ботев""",104116,5,60.4,5,37.2
БЛАГОЕВГРАД,САНДАНСКИ,С.СКЛАВЕ,"Основно училище ""Братя Миладинови""",104111,14,28.71,13,35.27
БЛАГОЕВГРАД,САТОВЧА,С.ВАКЛИНОВО,"Основно училище ""Стефка Събчева""",109057,5,53.2,5,47.8
БЛАГОЕВГРАД,САТОВЧА,С.ВЪЛКОСЕЛ,"Средно училище ""Христо Ботев""",109030,19,66.58,19,51.58
БЛАГОЕВГРАД,САТОВЧА,С.ГОДЕШЕВО,"Основно училище ""Братя Миладинови""",109038,4,66,4,51.75
БЛАГОЕВГРАД,САТОВЧА,С.КОЧАН,"Средно училище ""Христо Смирненски""",109055,22,74.18,22,62.64
БЛАГОЕВГРАД,САТОВЧА,С.КРИБУЛ,"Основно училище ""Светлина""",109051,4,47.75,4,41.75
БЛАГОЕВГРАД,САТОВЧА,С.ПЛЕТЕНА,"Обединено училище ""Св. Св. Кирил и Методий""",109054,14,69.86,14,63.43
БЛАГОЕВГРАД,САТОВЧА,С.САТОВЧА,"Средно училище ""Св. Св. Кирил и Методий""",109050,17,81.88,17,72.03
БЛАГОЕВГРАД,САТОВЧА,С.СЛАЩЕН,"Средно училище ""Свети Климент Охридски""",109037,10,81,10,76.5
БЛАГОЕВГРАД,САТОВЧА,С.ТУХОВИЩА,"Основно училище ""Св.св.Кирил и Методий""",109039,2,43,2,26
БЛАГОЕВГРАД,САТОВЧА,С.ФЪРГОВО,"Начално училище ""Пейо Яворов""",109052,3,62.67,3,57
БЛАГОЕВГРАД,СИМИТЛИ,ГР.СИМИТЛИ,"Средно училище ""Св. Св. Кирил и Методий""",103133,51,71.98,51,59.88
БЛАГОЕВГРАД,СИМИТЛИ,С.ДОЛНО ОСЕНОВО,"Обединено училище ""Св.Паисий Хилендарски""",109107,24,61.58,24,55.04
БЛАГОЕВГРАД,СИМИТЛИ,С.КРУПНИК,"Средно училище ""Св.св.Кирил и Методий""",109102,14,61.14,14,57.5
БЛАГОЕВГРАД,СТРУМЯНИ,С.МИКРЕВО,"Средно училище ""Св. Паисий Хилендарски""",108100,34,29.09,34,42.41
БЛАГОЕВГРАД,ХАДЖИДИМОВО,ГР.ХАДЖИДИМОВО,"Средно училище ""Никола Йонков Вапцаров""",108001,16,65.19,17,53.59
БЛАГОЕВГРАД,ХАДЖИДИМОВО,С.АБЛАНИЦА,"Средно училище Св. Паисий Хилендарски""",108004,21,72.67,21,70.4
БЛАГОЕВГРАД,ХАДЖИДИМОВО,С.БЕСЛЕН,"Основно училище ""Гоце Делчев""",108007,10,71.3,10,54.3
БЛАГОЕВГРАД,ХАДЖИДИМОВО,С.БЛАТСКА,"Основно училище "" Св. Св. Кирил и Методий""",108006,11,52.36,11,40.5
БЛАГОЕВГРАД,ХАДЖИДИМОВО,С.КОПРИВЛЕН,"Основно училище ""Никола Й. Вапцаров",108003,11,69.73,11,68.14
БЛАГОЕВГРАД,ЯКОРУДА,ГР.ЯКОРУДА,"Средно училище ""Свети Свети Кирил и Методий""",107090,45,62.93,46,51.51
БЛАГОЕВГРАД,ЯКОРУДА,С.БЕЛ КАМЕН,"Основно училище ""Неофит Рилски""",107020,3,78.33,3,66.33
БЛАГОЕВГРАД,ЯКОРУДА,С.КОНАРСКО,"Обединено училище ""Братя Миладинови""",107092,15,52.8,15,44.97
БЛАГОЕВГРАД,ЯКОРУДА,С.СМОЛЕВО,"Обединено училище ""Гоце Делчев """,107021,14,51.5,14,35.46
БЛАГОЕВГРАД,ЯКОРУДА,С.ЮРУКОВО,"Обединено училище""Васил Левски""",107094,9,75,9,61.67
БУРГАС,АЙТОС,ГР.АЙТОС,"Основно училище ""Атанас Манчев""",200104,30,13.67,29,21.19
БУРГАС,АЙТОС,ГР.АЙТОС,"Средно училище ""Христо Ботев""",200112,86,73.5,87,65.54
БУРГАС,АЙТОС,ГР.АЙТОС,"Средно училище ""Никола Йонков Вапцаров""",200113,36,55.53,36,52.94
БУРГАС,АЙТОС,С.МЪГЛЕН,"Основно училище ""Христо Ботев""",200107,13,31.62,13,27.62
БУРГАС,АЙТОС,С.ПИРНЕ,"Основно училище ""Христо Ботев""",200109,16,39.75,16,52.84
БУРГАС,АЙТОС,С.ТОПОЛИЦА,"Основно училище ""Светлина""",200110,12,53.83,10,69.1
БУРГАС,БУРГАС,ГР.БУРГАС,"Начално базово училище ""Михаил Лъкатник""",200201,97,85.12,98,76.81
БУРГАС,БУРГАС,ГР.БУРГАС,"Частно основно училище ""Д-р Мария Монтесори""",200203,13,82.38,13,70.54
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Петко Рачев Славейков""",200205,71,84.32,71,76.84
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Свети княз Борис І""",200206,83,81.42,82,72.72
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Любен Каравелов""",200207,91,82.07,91,75.82
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Найден Геров""",200208,81,79.22,79,70.55
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Антон Страшимиров""",200209,116,85.12,116,74.04
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Свети Климент Охридски""",200210,64,79.58,63,73
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Георги Бенковски""",200211,69,79.64,69,72.51
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Пейо Крачолов Яворов""",200212,72,80.44,72,72.6
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Васил Априлов""",200213,77,89.39,76,82.57
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Братя Миладинови""",200214,139,84.76,136,77.26
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Елин Пелин""",200215,121,85.78,122,77.36
БУРГАС,БУРГАС,ГР.БУРГАС,"Обединено училище ""Васил Левски"" - кв. Горно Езерово",200216,34,37.5,34,65.87
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Христо Ботев"" - кв. Сарафово",200217,24,83.79,24,73.52
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Христо Ботев"" - кв. Победа",200218,64,17.77,63,20.44
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище "" Христо Ботев"" - кв. Долно Езерово",200219,28,72.68,28,57.27
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Христо Ботев"" - кв. Черно море",200221,11,51.36,11,44.95
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Иван Вазов"" - кв. Банево",200222,9,72.11,12,70.46
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище "" Христо Ботев"" - кв. Ветрен",200223,17,78.71,17,76.44
БУРГАС,БУРГАС,ГР.БУРГАС,"Обединено училище ""Св. Климент Охридски"" - кв. Рудник",200226,13,51.31,14,53.39
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище "" Йордан Йовков""",200228,39,81.21,39,74.67
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Епископ Константин Преславски""",200229,47,78.43,47,80.3
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Димчо Дебелянов""",200230,57,86.74,54,78.62
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище Добри Чинтулов""",200231,22,81.59,22,74.66
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Константин Петканов""",200232,75,74.69,72,69.21
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Петко Росен""",200233,70,77.2,71,69.76
БУРГАС,БУРГАС,ГР.БУРГАС,"Средно училище ""Св. св. Кирил и Методий""",200234,99,83.96,99,78.05
БУРГАС,БУРГАС,ГР.БУРГАС,"Основно училище ""Александър Георгиев-Коджакафалията""",200241,52,85.33,52,83.62
