Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
ВРАЦА,БОРОВАН,С.МАЛОРАД,"Основно училище ""Свети свети Кирил и Методий""",602002,19,57.26,19,43.26
ВРАЦА,БЯЛА СЛАТИНА,ГР.БЯЛА СЛАТИНА,"Начално училище ""Христо Ботев""",601007,40,74.38,41,59.06
ВРАЦА,БЯЛА СЛАТИНА,ГР.БЯЛА СЛАТИНА,"Начално училище ""Цани Гинчев""",601008,42,68.62,42,53.11
ВРАЦА,БЯЛА СЛАТИНА,ГР.БЯЛА СЛАТИНА,"Начално училище ""Христо Смирненски""",601009,16,33.69,16,37.84
ВРАЦА,БЯЛА СЛАТИНА,ГР.БЯЛА СЛАТИНА,"Средно училище ""Васил Левски""",603024,19,70.84,18,53.33
ВРАЦА,БЯЛА СЛАТИНА,С.ГАБАРЕ,"Средно училище ""Христо Ботев""",602022,16,42.56,16,31.13
ВРАЦА,БЯЛА СЛАТИНА,С.ГАЛИЧЕ,"Средно училище ""Христо Ботев""",603025,8,41.88,9,38.89
ВРАЦА,БЯЛА СЛАТИНА,С.ПОПИЦА,"Основно училище ""Св.св.Кирил и Методий""",602018,10,61.7,10,52.95
ВРАЦА,БЯЛА СЛАТИНА,С.ТЪРНАВА,"Основно училище ""Христо Ботев""",601013,21,62.14,21,44.93
ВРАЦА,БЯЛА СЛАТИНА,С.ТЪРНАК,"Основно училище ""Георги Стойков Раковски""",601014,15,35.07,15,51.33
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Начално училище ""Иванчо Младенов""",601031,85,86.75,84,74.46
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Начално училище ""Иван Вазов""",601035,71,80.01,70,66.19
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Начално училище ""Свети Софроний Врачански""",601037,85,81.16,85,69.58
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Основно училище ""Васил Левски""",602041,33,53.67,31,37.27
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Основно училище ""Свeти свети Кирил и Методий""",602042,22,44.09,22,34.52
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Средно училище ""Отец Паисий""",603057,21,57.38,21,44.1
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Средно училище ""Христо Ботев""",603058,44,80.36,41,73.54
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Средно училище ""Васил Кънчов""",603059,20,76.45,20,51.78
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Средно училище ""Никола Войводов""",603070,90,75.41,90,58.04
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Средно училище ""Мито Орозов""",603140,,,1,43.5
ВРАЦА,ВРАЦА,С.БАНИЦА,"Обединено училище ""Христо Ботев""",602052,12,49.25,12,43.71
ВРАЦА,ВРАЦА,С.ДЕВЕНЕ,"Обединено училище ""Свети свети Кирил и Методий""",602045,12,46.92,12,35.13
ВРАЦА,ВРАЦА,С.ТИШЕВИЦА,"Обединено училище ""Св.Климент Охридски""",601040,5,69.6,5,45.2
ВРАЦА,КОЗЛОДУЙ,ГР.КОЗЛОДУЙ,"Начално училище ""Васил Левски""",601071,12,47.33,14,52.5
ВРАЦА,КОЗЛОДУЙ,ГР.КОЗЛОДУЙ,"Средно училище ""Христо Ботев""",603076,45,72.93,45,61.61
ВРАЦА,КОЗЛОДУЙ,ГР.КОЗЛОДУЙ,"Средно училище ""Св. св. Кирил и Методий""",603077,61,78.54,59,68.86
ВРАЦА,КОЗЛОДУЙ,С.БУТАН,"Средно училище ""Св. Св. Кирил и Методий""",602073,22,61.23,22,54.23
ВРАЦА,КОЗЛОДУЙ,С.ГЛОЖЕНЕ,"Основно училище ""Христо Ботев""",602075,12,66.58,12,35.92
ВРАЦА,КОЗЛОДУЙ,С.ХЪРЛЕЦ,"Основно училище ""Васил Евстатиев Априлов""",602074,6,26.83,6,22.75
ВРАЦА,КРИВОДОЛ,ГР.КРИВОДОЛ,"Средно училище ""Св. св. Кирил и Методий""",603087,30,46.07,29,34.84
ВРАЦА,КРИВОДОЛ,С.КРАВОДЕР,"Обединено училище ""Св. св. Кирил и Методий""",602083,12,33.92,12,38.58
ВРАЦА,КРИВОДОЛ,С.ЛЕСУРА,"Основно училище ""Васил Левски""",602084,10,44.6,10,47.7
ВРАЦА,КРИВОДОЛ,С.РАКЕВО,"Основно училище ""Васил Левски""",602086,9,55.56,10,32.4
ВРАЦА,МЕЗДРА,ГР.МЕЗДРА,"Основно училище ""Свети Свети Кирил и Методий""",602092,36,64.61,34,58.69
ВРАЦА,МЕЗДРА,ГР.МЕЗДРА,"Основно училище ""Христо Ботев""",602093,34,74.74,34,67.04
ВРАЦА,МЕЗДРА,ГР.МЕЗДРА,"Средно училище ""Иван Вазов""",603098,31,62.81,31,48.1
ВРАЦА,МЕЗДРА,С.ЗВЕРИНО,"Средно училище ""Свети Климент Охридски""",603099,17,62.18,16,66.97
ВРАЦА,МЕЗДРА,С.МОРАВИЦА,"Основно училище ""Васил Кънчов""",602094,3,37.67,3,37.67
ВРАЦА,МИЗИЯ,ГР.МИЗИЯ,"Основно училище ""Цанко Церкoвски""",602106,24,70,23,55.17
ВРАЦА,МИЗИЯ,С.КРУШОВИЦА,"Основно училище ""Христо Ботев""",602104,3,49.33,3,52.33
ВРАЦА,МИЗИЯ,С.СОФРОНИЕВО,"Основно училище ""Отец Паисий""",602107,4,51.5,4,49.63
ВРАЦА,ОРЯХОВО,ГР.ОРЯХОВО,"Начално училище ""Св.Св.Кирил и Методий""",601110,26,74.35,25,63.78
ВРАЦА,ОРЯХОВО,ГР.ОРЯХОВО,"Начално училище ""Д-р Петър Берон""",601111,9,51,11,42.14
ВРАЦА,ОРЯХОВО,С.ОСТРОВ,"Основно училище ""Христо Ботев""",601113,9,57.22,9,42.94
ВРАЦА,ОРЯХОВО,С.СЕЛАНОВЦИ,"Основно училище ""Никола Йонков Вапцаров""",602115,15,55.27,16,44.66
ВРАЦА,РОМАН,ГР.РОМАН,"Начално училище ""Петко Рачов Славейков""",601119,34,65.88,34,69.07
ВРАЦА,РОМАН,С.КАМЕНО ПОЛЕ,"Основно училище ""Свети Свети Кирил и Методий""",602121,7,58.71,7,54.29
ВРАЦА,ХАЙРЕДИН,С.МИХАЙЛОВО,"Основно училище ""Горан Червеняшки""",602128,12,49.08,12,43.54
ВРАЦА,ХАЙРЕДИН,С.ХАЙРЕДИН,"Средно училище ""Васил Воденичарски""",603130,10,61.9,10,47.95
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Начално училище ""Васил Левски""",700101,37,81.08,37,71.89
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Основно училище ""Ран Босилек""",700102,62,84.11,62,75.28
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Основно училище ""Неофит Рилски""",700103,65,79.28,65,74.35
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"VI Основно училище ""Иван Вазов""",700106,13,70,13,56.5
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Основно училище""Свети Свети Кирил и Методий""",700108,90,74.01,90,65.65
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Основно училище ""Христо Ботев""",700112,27,69.19,27,57.72
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Средно училище ""Отец Паисий""",700113,29,72.31,28,62.29
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Средно училище ""Райчо Каролев""",700114,44,82.57,44,77.98
ГАБРОВО,ДРЯНОВО,ГР.ДРЯНОВО,"Средно училище ""Максим Райкович""",700204,37,65.65,38,50.05
ГАБРОВО,СЕВЛИЕВО,ГР.СЕВЛИЕВО,"Основно училище ""Христо Ботев""",700307,18,41.83,15,44.9
ГАБРОВО,СЕВЛИЕВО,ГР.СЕВЛИЕВО,"Основно училище ""Стефан Пешев""",700308,78,69.6,78,53.99
ГАБРОВО,СЕВЛИЕВО,ГР.СЕВЛИЕВО,"Средно училище ""Васил Левски""",700318,82,76.05,82,69.1
ГАБРОВО,СЕВЛИЕВО,С.ГРАДНИЦА,"Основно училище ""Свети Свети Кирил и Методий""",700312,7,58.86,7,58.07
ГАБРОВО,СЕВЛИЕВО,С.ДОБРОМИРКА,"Основно училище ""Христо Ботев""",700310,3,42.67,3,36.5
ГАБРОВО,СЕВЛИЕВО,С.ДУШЕВО,"Основно училище ""Св. Св. Кирил и Методий""",700311,11,30.91,11,27.91
ГАБРОВО,СЕВЛИЕВО,С.КРАМОЛИН,"Основно училище""Свети Солунски братя""",700314,3,45.33,3,42.5
ГАБРОВО,СЕВЛИЕВО,С.ПЕТКО СЛАВЕЙКОВ,"Основно училище ""Св.Св.Кирил и Методий""",700315,7,35,7,30.64
ГАБРОВО,СЕВЛИЕВО,С.ШУМАТА,"Основно училище""Васил Левски""",700317,12,59,12,36.08
ГАБРОВО,ТРЯВНА,ГР.ПЛАЧКОВЦИ,"Основно училище ""Васил Левски""",700402,6,74.67,6,54.67
ГАБРОВО,ТРЯВНА,ГР.ТРЯВНА,"Основно училище ""Професор Пенчо Николов Райков""",700401,9,74.44,9,54.17
ГАБРОВО,ТРЯВНА,ГР.ТРЯВНА,"Средно училище ""Петко Рачев Славейков""",700403,44,77.23,43,70.17
ДОБРИЧ,БАЛЧИК,ГР.БАЛЧИК,"Основно училище ""Свети Свети Кирил и Методий""",800059,12,67.08,12,59.75
ДОБРИЧ,БАЛЧИК,ГР.БАЛЧИК,Основно училище Антим,800060,36,71.44,36,56.79
ДОБРИЧ,БАЛЧИК,ГР.БАЛЧИК,"Средно училище ""Христо Ботев""",800061,15,66,15,54.3
ДОБРИЧ,БАЛЧИК,С.ОБРОЧИЩЕ,"Средно училище ""Христо Смирненски""",800065,15,69.27,15,48.6
ДОБРИЧ,БАЛЧИК,С.СЕНОКОС,"Основно училище""Георги Раковски""",800057,9,57.11,8,42.94
ДОБРИЧ,БАЛЧИК,С.СОКОЛОВО,"Основно училище ""Васил Левски""",800056,6,52.67,7,76.5
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,ГР.ГЕНЕРАЛ ТОШЕВО,"Основно училище ""Христо Смирненски""",800073,28,55.21,28,40.36
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,ГР.ГЕНЕРАЛ ТОШЕВО,"Средно училищe ""Никола Йонков Вапцаров""",800074,27,64.33,27,63.5
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,С.КАРДАМ,"Основно училище ""Христо Ботев""",800072,2,21.5,2,12
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,С.КРАСЕН,"Основно училище ""Йордан Йовков""",800071,2,57.5,2,37
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,С.ПРЕСЕЛЕНЦИ,"Основно училище ""Васил Левски""",800069,1,35,1,31
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,С.СПАСОВО,"Основно училище ""Йордан Йовков""",800068,7,30.86,8,33.94
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Обединено училище ""Йордан Йовков""",800003,11,22.27,11,18.45
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Основно училище ""Никола Йонков Вапцаров""",800004,7,42.29,7,49.36
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Основно училище ""Панайот Волов""",800007,13,28.92,12,32.92
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Основно училище ""Стефан Караджа""",800008,18,64.56,18,54.86
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Основно училище ""Хан Аспарух""",800009,55,85.82,53,76.58
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Основно училище ""Христо Смирненски""",800010,22,25.45,22,63.48
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Основно училище ""Христо Ботев""",800011,50,79.54,49,73.92
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Димитър Талев""",800013,47,77.87,47,64.63
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Свети Климент Охридски""",800015,100,82.85,100,67.22
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Любен Каравелов""",800016,37,84.41,37,71.11
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Петко Рачов Славейков""",800017,113,88.17,113,81.01
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Свети свети Кирил и Методий""",800018,71,77.76,69,71.25
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Частно основно училище ""Мария Монтесори""",800112,19,84.42,19,77.92
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Частно средно училище с профилирана подготовка по чужди езици и математика ""Леонардо да Винчи""",800326,5,86.6,5,74.4
ДОБРИЧ,ДОБРИЧ,С.БАТОВО,"Основно училище ""Отец Паисий""",800045,10,68.4,10,42.35
ДОБРИЧ,ДОБРИЧ,С.БОЖУРОВО,"Основно училище ""Васил Левски""",800038,5,63.6,5,61.8
ДОБРИЧ,ДОБРИЧ,С.ВЕДРИНА,"Основно училище ""Свети Свети Кирил и Методий""",800049,4,21.25,5,21.8
ДОБРИЧ,ДОБРИЧ,С.ЖИТНИЦА,"Основно училище ""Стефан Караджа""",800052,6,55.17,6,38.17
ДОБРИЧ,ДОБРИЧ,С.КАРАПЕЛИТ,"Средно училище ""Никола Вапцаров""",800043,19,20.37,19,34.68
ДОБРИЧ,ДОБРИЧ,С.ЛОВЧАНЦИ,"Основно училище "" Неофит Рилски """,800044,4,21,4,37
ДОБРИЧ,ДОБРИЧ,С.ОВЧАРОВО,"Основно училище ""Отец Паисий""",800046,6,40,5,49
ДОБРИЧ,ДОБРИЧ,С.ПОБЕДА,"Обединено училище""Добри Войников""",800042,11,41.82,11,51.45
ДОБРИЧ,ДОБРИЧ,С.СМОЛНИЦА,"Основно училище""Климент Охридски""",800048,4,59.25,4,51.75
ДОБРИЧ,ДОБРИЧ,С.СТЕФАНОВО,"Обединено училище ""Пейо Крачолов Яворов""",800047,9,44.67,9,44.72
ДОБРИЧ,ДОБРИЧ,С.СТОЖЕР,"Основно училище""Христо Ботев""",800054,15,43.8,15,35.83
ДОБРИЧ,ДОБРИЧ,С.ХИТОВО,"Основно училище ""Васил Левски""",800039,6,45.5,6,49.58
ДОБРИЧ,КАВАРНА,ГР.КАВАРНА,"ОСНОВНО УЧИЛИЩЕ ""ЙОРДАН ЙОВКОВ""",800080,20,59.8,21,48.79
ДОБРИЧ,КАВАРНА,ГР.КАВАРНА,"Средно училище ""Стефан Караджа""",800082,45,77.09,45,65.96
ДОБРИЧ,КАВАРНА,С.БЕЛГУН,"Основно училище ""Свети Свети Кирил и Методий""",800085,4,42.25,4,62.25
ДОБРИЧ,КРУШАРИ,С.КОРИТЕН,"Основно училище ""Васил Левски""",800090,5,49,5,52.6
ДОБРИЧ,КРУШАРИ,С.КРУШАРИ,"Средно училище ""Христо Смирненски""",800093,14,39.79,14,47.75
ДОБРИЧ,КРУШАРИ,С.ЛОЗЕНЕЦ,"Основно училище""Отец Паисий""",800092,5,38.8,5,33
ДОБРИЧ,ТЕРВЕЛ,ГР.ТЕРВЕЛ,"Средно училище "" Йордан Йовков """,800094,50,59.48,52,49.46
ДОБРИЧ,ТЕРВЕЛ,С.БЕЗМЕР,"Основно училище ""Паисий Хилендарски""",800101,11,43.27,11,44.86
ДОБРИЧ,ТЕРВЕЛ,С.ЗЪРНЕВО,"Основно училище ""Христо Ботев""",800103,10,36.8,10,45.05
ДОБРИЧ,ТЕРВЕЛ,С.КАБЛЕШКОВО,"Начално училище ""Христо Ботев""",800096,5,49.6,5,55.5
ДОБРИЧ,ТЕРВЕЛ,С.КОЛАРЦИ,"Обединено училище""Д-р Петър Берон""",800099,5,56.8,5,58.2
ДОБРИЧ,ТЕРВЕЛ,С.НОВА КАМЕНА,"Основно училище ""Отец Паисий""",800100,1,37,1,54
ДОБРИЧ,ТЕРВЕЛ,С.ОРЛЯК,"Обединено училище""Васил Друмев""",800104,6,41.33,7,46.43
ДОБРИЧ,ШАБЛА,ГР.ШАБЛА,"Средно училище ""Асен Златаров""",800109,20,61.6,19,54.92
ДОБРИЧ,ШАБЛА,С.ДУРАНКУЛАК,"Основно училище ""Свети Климент Охридски""",800108,7,74.14,7,55.57
КЪРДЖАЛИ,АРДИНО,ГР.АРДИНО,"Средно училище ""Васил Левски""",909201,25,73.28,25,66.82
КЪРДЖАЛИ,АРДИНО,С.БЯЛ ИЗВОР,"Основно училище ""Христо Смирненски""",909202,4,60.25,4,59.25
КЪРДЖАЛИ,АРДИНО,С.ПАДИНА,"Основно училище""Св.Св.Кирил и Методий""",909211,1,40,1,59
КЪРДЖАЛИ,ДЖЕБЕЛ,ГР.ДЖЕБЕЛ,"Средно училище ""Христо Ботев""",909301,27,65.33,27,79.35
КЪРДЖАЛИ,ДЖЕБЕЛ,С.ПРИПЕК,"Средно училище ""Паисий Хилендарски""",909315,7,86.71,7,72.93
КЪРДЖАЛИ,ДЖЕБЕЛ,С.УСТРЕН,"Основно училище ""Васил Левски""",909310,2,61,2,55.25
КЪРДЖАЛИ,КИРКОВО,С.БЕНКОВСКИ,"Средно училище ""Никола Йонков Вапцаров """,909402,32,38.16,34,42.94
КЪРДЖАЛИ,КИРКОВО,С.ДРАНГОВО,"Основно училище ""Васил Левски""",909410,3,73,3,65.17
КЪРДЖАЛИ,КИРКОВО,С.КИРКОВО,"Средно училище ""Отец Паисий""",909401,25,70.28,25,59.46
КЪРДЖАЛИ,КИРКОВО,С.СТАРОВО,"Оcновно училище "" Устрем""",909414,2,41.5,2,67.25
КЪРДЖАЛИ,КИРКОВО,С.ТИХОМИР,"Основно училище ""Васил Левски""",909415,9,56.11,9,50.22
КЪРДЖАЛИ,КИРКОВО,С.ФОТИНОВО,"Основно училище ""Христо Смирненски""",909417,13,40.23,13,74.08
КЪРДЖАЛИ,КИРКОВО,С.ЧАКАЛАРОВО,"Основно училище ""Иван Вазов""",909416,10,82,10,81
КЪРДЖАЛИ,КИРКОВО,С.ЧОРБАДЖИЙСКО,"Средно училище "" Христо Ботев """,909403,19,54.47,19,59.95
КЪРДЖАЛИ,КРУМОВГРАД,ГР.КРУМОВГРАД,"Средно училище ""Васил Левски""",909501,79,64.92,78,57.02
КЪРДЖАЛИ,КРУМОВГРАД,С.АВРЕН,"Основно училище ""Михаил Христов""",909502,2,51,2,59.5
КЪРДЖАЛИ,КРУМОВГРАД,С.ГОРНА КУЛА,"Основно училище ""Никола Йонков Вапцаров""",909506,3,24.33,3,37.33
КЪРДЖАЛИ,КРУМОВГРАД,С.ГУЛИЙКА,"Основно училище ""Христо Ботев""",909507,11,36.82,11,45.82
КЪРДЖАЛИ,КРУМОВГРАД,С.ЕГРЕК,"Държавно основно училище ""Васил Левски""",909504,2,73,2,49
КЪРДЖАЛИ,КРУМОВГРАД,С.ЗВЪНАРКА,"Начално училище ""Васил Левски""",909515,4,56.25,4,63.5
КЪРДЖАЛИ,КРУМОВГРАД,С.ЛУЛИЧКА,"Основно училище ""Васил Левски""",909510,6,37.83,6,53.08
КЪРДЖАЛИ,КРУМОВГРАД,С.ПОДРУМЧЕ,"Основно училище ""Никола Йонков Вапцаров""",909512,6,42,7,49.07
КЪРДЖАЛИ,КРУМОВГРАД,С.ПОТОЧНИЦА,"Основно училище ""Иван Вазов""",909513,2,27.5,2,39
КЪРДЖАЛИ,КРУМОВГРАД,С.СТРАНДЖЕВО,"Основно училище ""Св.Св.Кирил и Методий""",909514,5,27.8,5,46.2
КЪРДЖАЛИ,КРУМОВГРАД,С.ТОКАЧКА,"Обединено училище ""Пейо Крачолов Яворов""",909509,7,67.29,7,66.57
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Владимир Димитров - Майстора""",909101,28,67.54,28,61.09
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Йордан Йовков""",909103,92,68.23,91,64.47
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Основно училище ""Свети Климент Охридски""",909104,20,43.2,21,45.71
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Отец Паисий"" с природоматематическа насоченост",909105,131,73.73,131,67.66
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Петко Рачов Славейков""",909106,160,68.06,160,62.2
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Основно училище ""Васил Левски""",909115,9,30.22,10,25.55
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Основно училище ""Свети Свети Кирил и Методий""",909116,53,48.85,53,43.81
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Основно училище ""Пейо Крачолов Яворов""",909117,24,18.25,24,33.33
КЪРДЖАЛИ,КЪРДЖАЛИ,С.БОЙНО,"Основно училище ""Христо Ботев""",909119,2,37.5,2,35
КЪРДЖАЛИ,КЪРДЖАЛИ,С.ГЛУХАР,"Основно училище ""Свети Свети Кирил и Методий""",909120,11,32,11,39.5
КЪРДЖАЛИ,КЪРДЖАЛИ,С.ЕНЧЕЦ,"Основно училище ""Св. св. Кирил и Методий""",909121,3,35.67,3,42.33
КЪРДЖАЛИ,КЪРДЖАЛИ,С.КОНЕВО,"Основно Училище ""Гео Милев""",909126,1,15,1,21
КЪРДЖАЛИ,КЪРДЖАЛИ,С.КОСТИНО,"Основно училище ""Иван Вазов""",909125,3,60.33,3,72.17
КЪРДЖАЛИ,КЪРДЖАЛИ,С.МИЛАДИНОВО,"Основно училище ""Христо Ботев""",909128,2,17,2,47.5
КЪРДЖАЛИ,КЪРДЖАЛИ,С.МОСТ,"Основно училище ""Христо Смирненски""",909129,9,53,9,58
КЪРДЖАЛИ,КЪРДЖАЛИ,С.ПЕРПЕРЕК,"Основно училище "" Паисий Хилендарски """,909135,7,21.86,8,49.75
КЪРДЖАЛИ,КЪРДЖАЛИ,С.РАНИ ЛИСТ,"Основно училище ""Никола Йонков Вапцаров""",909136,4,26.25,4,47.5
КЪРДЖАЛИ,КЪРДЖАЛИ,С.СТРЕМЦИ,"Обединено училище ""Свети свети Кирил и Методий""",909138,7,43.14,7,51.71
КЪРДЖАЛИ,КЪРДЖАЛИ,С.ЧИФЛИК,"Основно училище ""Максим Горки""",909139,4,43.75,4,39.88
КЪРДЖАЛИ,МОМЧИЛГРАД,ГР.МОМЧИЛГРАД,"Средно училище ""Никола Йонков Вапцаров""",909601,21,66.14,20,56.4
КЪРДЖАЛИ,МОМЧИЛГРАД,ГР.МОМЧИЛГРАД,"Основно училище ""Д-р Петър Берон""",909608,36,70.83,37,60.41
КЪРДЖАЛИ,МОМЧИЛГРАД,С.ГРУЕВО,"Основно училище ""Никола Йонков Вапцаров""",909604,1,29,1,41
КЪРДЖАЛИ,МОМЧИЛГРАД,С.ЗВЕЗДЕЛ,"Основно училище ""Никола Йонков Вапцаров""",909605,1,81,1,87
КЪРДЖАЛИ,МОМЧИЛГРАД,С.НАНОВИЦА,"Основно училище ""Св. Св. Кирил и Методий""",909609,6,62.33,6,57.83
КЪРДЖАЛИ,МОМЧИЛГРАД,С.РАВЕН,"Основно училище ""Васил Левски""",909612,1,16,1,53
КЪРДЖАЛИ,ЧЕРНООЧЕНЕ,С.ГАБРОВО,"Основно училище ""Христо Ботев""",909703,7,45.43,7,50.43
КЪРДЖАЛИ,ЧЕРНООЧЕНЕ,С.КОМУНИГА,"Основно училище "" Васил Левски """,909705,6,35,6,56.5
КЪРДЖАЛИ,ЧЕРНООЧЕНЕ,С.ЛЯСКОВО,"Основно училище ""Никола Йонков Вапцаров""",909706,3,87.33,3,79
КЪРДЖАЛИ,ЧЕРНООЧЕНЕ,С.ПАНИЧКОВО,"Основно училище ""Никола Йонков Вапцаров""",909708,1,77,1,67
КЪРДЖАЛИ,ЧЕРНООЧЕНЕ,С.ЧЕРНООЧЕНЕ,"Средно училище ""Христо Смирненски""",909701,31,60.26,31,57.37
КЮСТЕНДИЛ,БОБОВ ДОЛ,ГР.БОБОВ ДОЛ,"Основно училище ""Никола Йонков Вапцаров""",1000015,17,64.12,16,51.34
КЮСТЕНДИЛ,БОБОВ ДОЛ,ГР.БОБОВ ДОЛ,"Средно училище ""Христо Ботев""",1000016,10,28.8,10,24
КЮСТЕНДИЛ,БОБОВ ДОЛ,ГР.БОБОВ ДОЛ,"Средно училище ""Доктор Петър Берон""",1000018,1,39,1,58
КЮСТЕНДИЛ,БОБОШЕВО,ГР.БОБОШЕВО,"Основно училище ""Св. св. Кирил и Методий""",1000021,7,79.14,7,70.14
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Основно училище ""Свети свети Кирил и Методий""",1000034,38,68.71,38,59.08
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Средно езиково училище ""Св. Паисий Хилендарски""",1000035,85,74.25,83,70.61
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Основно училище ""Неофит Рилски""",1000036,47,62.36,46,50.23
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Основно училище ""Христаки Павлович""",1000037,17,39.35,17,27.29
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Основно училище ""Евлоги Георгиев""",1000038,44,80.5,42,65.64
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Основно училище ""Свети Климент Охридски""",1000039,19,74.05,19,61.92
КЮСТЕНДИЛ,ДУПНИЦА,С.КРАЙНИЦИ,"Основно училище ""Христо Ботев""",1000045,6,60.5,6,52.08
КЮСТЕНДИЛ,ДУПНИЦА,С.САМОРАНОВО,"Основно училище ""Христо Ботев""",1000046,9,68,9,57.89
КЮСТЕНДИЛ,ДУПНИЦА,С.ЯХИНОВО,"Основно училище ""Свети свети Кирил и Методий""",1000048,8,71.25,8,57.5
КЮСТЕНДИЛ,КОЧЕРИНОВО,ГР.КОЧЕРИНОВО,"Средно училище ""Христо Ботев""",1000025,21,64.95,23,54.24
КЮСТЕНДИЛ,КЮСТЕНДИЛ,ГР.КЮСТЕНДИЛ,"Основно училище ""Професор Марин Дринов""",1000330,66,65.05,66,55.23
КЮСТЕНДИЛ,КЮСТЕНДИЛ,ГР.КЮСТЕНДИЛ,"Начално училище ""Свети Климент Охридски""",1000380,72,80.92,72,79.4
КЮСТЕНДИЛ,КЮСТЕНДИЛ,ГР.КЮСТЕНДИЛ,"Шесто основно училище ""Свети Паисий Хилендарски""",1001410,109,56.79,109,50.29
КЮСТЕНДИЛ,КЮСТЕНДИЛ,ГР.КЮСТЕНДИЛ,"Основно училище""Св. Св. Кирил и Методий""",1001830,110,74.22,110,64.85
КЮСТЕНДИЛ,КЮСТЕНДИЛ,С.РАЖДАВИЦА,"Начално училище ""Св. Св. Кирил и Методий""",1001630,13,22.62,11,53.09
КЮСТЕНДИЛ,НЕВЕСТИНО,С.НЕВЕСТИНО,"Основно училище ""Христо Ботев""",1000004,11,13,11,45.91
КЮСТЕНДИЛ,РИЛА,ГР.РИЛА,"Основно училище ""Аверкий Попстоянов""",1000032,11,74.73,11,55.05
