ОБЛАСТ;ОБЩИНА;НАСЕЛЕНО МЯСТО;УЧИЛИЩЕ;КОД;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"134. средно училище ""Димчо Дебелянов""";2204134;70;73,29;70;58,36
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Монтесори"" ЕООД";2217525;10;63,15;10;57,75
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;Частно средно училище Евлоги и Христо Георгиеви ЕООД;2202704;15;73,93;14;57,63
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"119 Средно училище ""Академик Михаил Арнаудов""";2205119;178;73,6;178;57,63
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"163 ОСНОВНО УЧИЛИЩЕ ""ЧЕРНОРИЗЕЦ ХРАБЪР""";2207163;71;71,73;71;57,5
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"109 Основно училище ""Христо Смирненски""";2221109;76;71,16;76;57,43
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Куест""";2224672;5;66,8;5;57,4
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""";2209019;89;76,72;89;57,07
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"52. основно училище ""Цанко Церковски""";2202052;66;72,05;66;56,06
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""";2222007;99;71,61;99;55,87
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"129 Основно Училище ""Антим -І""";2216129;83;76,05;83;55,67
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""";2205105;130;70,17;130;55,2
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"139 Основно училище ""Захарий Круша""";2211139;64;73,2;63;55,19
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;Национална гимназия за древни езици и култури Константин Кирил Философ;2902702;79;85,44;79;55,1
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"18 Средно училище ""Уилям Гладстон""";2204018;204;73,47;204;54,75
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"31 Средно училище за чужди езици и математика ""Иван Вазов""";2221031;108;73,83;108;54,6
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""Свети Георги""";2202574;31;66,48;30;54,32
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"118 Средно училище ""Академик Людмил Стоянов""";2213118;88;72,45;88;53,61
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""УВЕКИНД""";2216532;48;64,17;48;53,54
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"36 Средно училище ""Максим Горки""";2209036;107;70,19;108;53,53
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"10 Средно училище "" Теодор Траянов """;2213010;71;68,77;71;53,17
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"12 Средно училище "" Цар Иван Асен II""";2222012;95;68,97;95;52,74
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"100 ОСНОВНО УЧИЛИЩЕ ""НАЙДЕН ГЕРОВ""";2220100;8;66,13;8;51,22
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"8. Средно училище ""Васил Левски""";2223008;59;70,14;59;50,8
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Прогресивно образование""";2224677;6;67,83;6;50
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"64 основно училище "" Цар Симеон Велики """;2202064;38;70,36;38;49,89
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧАСТНО СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ГАЛИНА СЕРГЕЕВНА УЛАНОВА""";2211598;6;72,75;6;49,75
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"34 ОСНОВНО УЧИЛИЩЕ ""СТОЮ ШИШКОВ""";2209034;106;68,99;106;49,38
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧОУ ""Роналд Лаудер""";2200021;15;79,57;15;49,32
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"1 Средно училище ""Пенчо П. Славейков""";2216001;79;65,93;79;49,16
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно профилирано средно училище ""Свети Наум""";2202534;3;75,17;2;48,75
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""";2213128;94;67,52;94;48,52
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"112 ОСНОВНО УЧИЛИЩЕ ""СТОЯН ЗАИМОВ""";2216112;128;69,74;128;48,1
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"5 Основно училище ""Иван Вазов""";2202005;84;69,88;84;48,09
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"122 ОСНОВНО УЧИЛИЩЕ ""НИКОЛАЙ ЛИЛИЕВ"" Иновативно училище с роботика и приложно програмиране";2211122;70;72,46;70;47,84
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"4. Основно училище ""Проф. Джон Атанасов""";2207004;110;68,25;110;47,63
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;11 ОУ Св. Пимен Зографски;2205011;52;60,43;52;47,54
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""";2214054;154;67,51;154;47,44
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""Дружба"" - София";2203720;26;63,21;26;47,1
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"63 Основно училище ""Христо Ботев""";2214063;35;76,44;35;46,98
СОФИЯ-ГРАД;СТОЛИЧНА;С.ЛОЗЕН;"200 Основно училище ""Отец Паисий""";2218200;19;59,34;19;46,8
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""";2217151;103;68,18;103;46,75
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"88. Средно училище ""Димитър Попниколов""";2217088;147;67,49;146;46,71
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"97 Средно училище ""Братя Миладинови""";2212097;81;61,38;81;46,08
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"25 основно училище ""Д-р Петър Берон""";2209025;99;65,83;99;45,83
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"81. Средно училище ""Виктор Юго""";2213081;161;67,21;161;45,79
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""";2222127;44;71,7;45;45,66
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"50. ОСНОВНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""";2202050;53;63,23;53;45,5
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"49-то Основно училище ""Бенито Хуарес""";2219049;114;66,69;114;44,73
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"39 Средно училище ""Петър Динеков""";2213039;70;62,5;70;44,66
