ОБЛАСТ;ОБЩИНА;НАСЕЛЕНО МЯСТО;УЧИЛИЩЕ;КОД;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"93-то Средно училище ""Александър Теодоров - Балан""";2221093;44;50,44;43;26,01
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.НОВИ ИСКЪР;"170 Средно училище ""Васил Левски""";2215170;93;50,45;92;25,91
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"135 средно училище ""Ян Амос Коменски""";2208135;53;50,97;52;25,43
СОФИЯ-ГРАД;СТОЛИЧНА;С.НЕГОВАН;176 ОУ;2215176;23;52,02;23;25,3
СОФИЯ-ГРАД;СТОЛИЧНА;С.БУСМАНЦИ;"65 основно училище ""Св. Св. Кирил и Методий""";2207065;6;37,33;6;24,29
СОФИЯ-ГРАД;СТОЛИЧНА;С.ЧЕПИНЦИ;"160 Основно училище "" Кирил и Методий""";2215160;9;46,89;9;23,92
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;117. СУ;2210117;31;46,47;32;22,65
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"159 основно училище ""Васил Левски""";2210159;19;54,84;19;22,41
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"28 Средно училище ""Алеко Константинов""";2208028;40;44,55;39;22,24
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"СПОРТНО УЧИЛИЩЕ ""ГЕН. ВЛАДИМИР СТОЙЧЕВ""";2213307;43;44,95;43;22,06
СОФИЯ-ГРАД;СТОЛИЧНА;С.КАЗИЧЕНЕ;"71 Средно училище ""Пейо Яворов""";2218071;46;47,72;46;21,85
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"90 Средно училище ""Генерал Хосе де Сан Мартин""";2212090;71;49,35;71;21,37
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"131. СУ ""Климент Аркадиевич Тимирязев""";2213131;20;50,73;20;21,25
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"148 ОСНОВНО УЧИЛИЩЕ ""ПРОФЕСОР Д-Р ЛЮБОМИР МИЛЕТИЧ""";2221148;30;49,47;30;20,98
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"29. Средно училище ""Кузман Шапкарев""";2220029;13;42,77;13;20,02
СОФИЯ-ГРАД;СТОЛИЧНА;С.ДОБРОСЛАВЦИ;"179 Основно училище ""Васил Левски""";2215179;15;42,93;15;19,87
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"66 Средно училище ""Филип Станиславов""";2217066;20;32,55;19;18,72
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""";2203140;56;43,38;56;18,44
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"106 Основно училище "" Григорий Цамблак """;2219106;11;21,27;11;17,59
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Езиков свят""";2204674;2;41;2;17,5
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"153 Спортно училище ""Неофит Рилски""";2214153;43;37,91;43;17,35
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"69 Средно училище ""Димитър Маринов""";2207069;18;38,28;18;17,33
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"162 Обединено училище ""Отец Паисий""";2210162;39;27,81;37;15,91
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"141 Основно училище ""Народни будители""";2214141;6;31,83;6;14,92
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"124 ОСНОВНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""";2219124;8;21,06;9;14,81
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"57 Спортно училище ""Свети Наум Охридски""";2208057;50;27,22;47;14,2
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"130. средно училище ""Стефан Караджа""";2219130;20;32,13;20;13
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"67 ОСНОВНО УЧИЛИЩЕ ""ВАСИЛ ДРУМЕВ""";2204067;40;16,71;42;12,86
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.НОВИ ИСКЪР;"172 Обединено училище ""Христо Ботев""";2215172;9;24,56;9;12,44
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"70-о основно училище ""Свети Климент Охридски""";2203070;15;22,03;15;12,38
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"24 Средно училище ""П.К.Яворов""";2219024;7;28,29;8;12,25
СОФИЯ-ГРАД;СТОЛИЧНА;С.СВЕТОВРАЧЕНЕ;"177 Основно училище "" Св.Св.Кирил и Методий""";2215177;6;19,33;6;12
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"113 СУ ""САВА ФИЛАРЕТОВ""";2206113;18;10,44;15;11,8
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"147 Основно училище ""Йордан Радичков""";2208147;12;15,75;12;11,67
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"37. Средно училище ""Райна Княгиня""";2212037;19;17,45;19;11,59
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"89 ОУ ""Д-р Христо Стамболски""";2207089;15;18,87;14;11,36
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"103 Основно училище ""Васил Левски""";2212103;35;9,89;34;11,09
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"123 Средно училищe ""Стефан Стамболов""";2208123;54;29,34;54;10,93
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"75.Основно училище "" Тодор Каблешков """;2208075;68;13,96;68;10,49
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""";2221094;53;18,58;51;10,29
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""";2220059;16;19,09;16;9,56
СОФИЯ-ГРАД;СТОЛИЧНА;С.ЯНА;"116 Основно училище ""Паисий Хилендарски""";2210116;7;25,79;7;9,43
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"136 ОСНОВНО УЧИЛИЩЕ ""ЛЮБЕН КАРАВЕЛОВ""";2204136;46;20,3;44;9,35
