"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","102004","18","30.28","18","38.33"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Гимназия по туризъм ""Алеко Константинов""","102010","15","22.8","12","21.13"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална гимназия по електроника и енергетика","102015","53","38.62","52","33.76"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","27","53.37","26","43.38"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","50","38.94","49","49.03"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Професионална гимназия ""Никола Йонков Вапцаров""","105002","51","30.98","51","35.5"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Благоевградска професионална гимназия ""Ичко Бойчев""","100052","71","28.97","71","18.49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","25","44.24","24","24.42"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Езикова гимназия ""Акад. Людмил Стоянов""","100190","157","74.73","156","59.17"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Природо-математическа гимназия ""Акад. Сергей Корольов""","100200","156","62.44","154","57.47"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по икономика ""Иван Илиев""","100280","106","51.98","106","26.65"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","100300","84","43.98","83","25.94"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","25","44.4","25","19.98"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","101730","50","33.46","50","18.39"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","101870","127","56.13","126","29.27"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","25","39.16","25","22.02"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Неврокопска професионална гимназия ""Димитър Талев""","102001","179","49","180","30.81"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Природо-математическа гимназия ""Яне Сандански""","102002","122","63.84","121","47.62"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","102016","101","38.12","101","43.93"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","28","38.71","28","30.86"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","26","29.69","25","32.24"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","Обединено училище ""Св. Климент Охридски""","103005","14","35.71","14","29.71"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","Обединено училище ""Христо Ботев""","103008","17","47.06","17","34.68"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","Обединено училище ""Христо Ботев""","103019","8","42.5","8","43.13"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","46","32.59","43","49.22"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","25","45.32","25","23.18"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","102009","47","18.15","47","18.32"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","102014","77","36.16","74","23.39"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","45","49.69","45","36.18"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Профилирана гимназия ""Пейо Крачолов Яворов""","104001","124","48.92","124","36.43"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Антон Попов""","104002","19","13.63","19","17.26"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","17","34.65","17","24.74"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","25","42.44","25","36.48"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Разложка професионална гимназия ""Никола Стойчев""","102012","41","36.46","41","37.49"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по механизация на селското стопанствo","102017","40","44.2","41","52.82"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по транспорт","102113","55","36.58","54","38.71"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Средно училище ""Братя Петър и Иван Каназиреви""","103501","73","54.1","73","37.54"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Професионална техническа гимназия","102007","21","19.67","21","18.19"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","102013","144","45.25","144","26.49"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Профилирана гимназия ""Яне Сандански""","104101","120","49.84","115","36.23"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Спортно училище","109185","26","35.65","24","21.38"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","Средно училище ""Христо Ботев""","109030","29","37.34","29","43.26"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","Средно училище ""Христо Смирненски""","109055","29","43.97","29","38.74"
"БЛАГОЕВГРАД","САТОВЧА","С.ПЛЕТЕНА","Обединено училище ""Св. Св. Кирил и Методий""","109054","14","49.21","14","34.39"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","Средно училище ""Св. Св. Кирил и Методий""","109050","26","43.38","26","31.9"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","Средно училище ""Свети Климент Охридски""","109037","26","52.35","25","39.44"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","Средно училище ""Св. Св. Кирил и Методий""","103133","34","34.65","34","52.51"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","Средно училище ""Св.св.Кирил и Методий""","109102","13","22.92","13","16.65"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","Средно училище ""Св. Паисий Хилендарски""","108100","17","17.35","17","14.38"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","Средно училище ""Никола Йонков Вапцаров""","108001","31","38.77","29","26.45"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","Средно училище Св. Паисий Хилендарски""","108004","30","48.27","30","30.27"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Професионална гимназия ""Петко Рачов Славейков""","102011","47","29.66","47","30.99"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Средно училище ""Свети Свети Кирил и Методий""","107090","37","33.78","37","37.61"
"БЛАГОЕВГРАД","ЯКОРУДА","С.КОНАРСКО","Обединено училище ""Братя Миладинови""","107092","17","39","17","49.15"
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Христо Ботев""","200112","51","56.63","51","46.02"
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Никола Йонков Вапцаров""","200113","103","42.4","102","38.82"
"БУРГАС","АЙТОС","ГР.АЙТОС","Професионална гимназия по селско стопанство ""Златна нива""","200114","45","21.38","46","35.49"
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по компютърно програмиране и иновации","200120","96","61.66","96","60.18"
"БУРГАС","БУРГАС","ГР.БУРГАС","Обединено училище ""Васил Левски"" - кв. Горно Езерово","200216","14","11.36","15","13.87"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Св. Климент Охридски"" - кв. Рудник","200226","14","27.86","14","35.14"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Иван Вазов""","200227","53","42.75","52","22.64"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище "" Йордан Йовков""","200228","26","59.04","26","27.58"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Епископ Константин Преславски""","200229","83","46.02","81","30.19"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Димчо Дебелянов""","200230","22","32","23","18.63"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище Добри Чинтулов""","200231","24","43.13","18","33.11"
