"﻿Област","Община","Населено място","Училище","Код по Админ","Явили се","Ср. успех в точки","Явили се","Ср. успех в точки"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ"
"БУРГАС","РУЕН","С.СИНИ РИД","ОУ ""Р. Кюпчу""","200 923","14","26,21","14","23,11"
"БУРГАС","РУЕН","С.СКАЛАК","ОУ ""Й. Йовков""","200 924","7","41,71","7","36,86"
"БУРГАС","РУЕН","С.СНЯГОВО","ОУ ""Д. Дебелянов""","200 926","17","40,47","17","51,49"
"БУРГАС","РУЕН","С.СТРУЯ","ОУ ""Ив. Вазов""","200 927","5","36,4","5","33,4"
"БУРГАС","РУЕН","С.ТОПЧИЙСКО","ОУ ""Р. Кюпчю""","200 928","22","46,7","22","39,18"
"БУРГАС","РУЕН","С.ТРЪНАК","СУ ""Д. Полянов""","200 929","32","34,45","32","19,91"
"БУРГАС","РУЕН","С.ЧЕРЕША","ОУ ""Хр. Ботев""","200 930","4","41,88","4","44,13"
"БУРГАС","СОЗОПОЛ","ГР.СОЗОПОЛ","СУ ""Св. Св. Кирил и Методий""","201 009","33","59,03","33","42,36"
"БУРГАС","СОЗОПОЛ","С.ЗИДАРОВО","ОУ ""Хр. Ботев""","201 003","13","39,88","13","20,85"
"БУРГАС","СОЗОПОЛ","С.КРУШЕВЕЦ","ОУ""П.К.Яворов""","201 005","6","38,17","6","23,38"
"БУРГАС","СОЗОПОЛ","С.РАВНА ГОРА","ОУ ""Отец Паисий""","201 006","5","33,1","5","15,25"
"БУРГАС","СОЗОПОЛ","С.РОСЕН","Обединено училище ""Христо Ботев""","201 007","12","31,67","12","18,85"
"БУРГАС","СОЗОПОЛ","С.ЧЕРНОМОРЕЦ","ОУ ""Христо Ботев""","201 008","9","46,78","9","29,83"
"БУРГАС","СРЕДЕЦ","ГР.СРЕДЕЦ","СУ ""Св. Св. Кирил и Методий""","201 104","82","40,8","82","22,09"
"БУРГАС","СРЕДЕЦ","С.ДЕБЕЛТ","ОУ""Антон Страшимиров""","201 101","20","32,7","20","20,78"
"БУРГАС","СРЕДЕЦ","С.ЗАГОРЦИ","ОУ""Св.Св.Кирил и Методий""","201 102","11","26,59","10","27,4"
"БУРГАС","СРЕДЕЦ","С.ФАКИЯ","ОУ""Н. Й. Вапцаров""","201 103","7","27,21","7","22,71"
"БУРГАС","СУНГУРЛАРЕ","ГР.СУНГУРЛАРЕ","СУ ""Хр.Ботев""","201 212","44","27,41","43","21,79"
"БУРГАС","СУНГУРЛАРЕ","С.ГРОЗДЕН","ОУ ""Св.св.Кирил и Методий""","201 206","11","14,36","11","32,64"
"БУРГАС","СУНГУРЛАРЕ","С.ЛОЗАРЕВО","ОУ ""Христо Ботев""","201 207","15","34,5","15","25,78"
"БУРГАС","СУНГУРЛАРЕ","С.МАНОЛИЧ","ОУ ""Св.Св.Кирил и Методий""","201 208","10","41,95","9","32,69"
"БУРГАС","СУНГУРЛАРЕ","С.ПРИЛЕП","ОУ ""Васил Левски""","201 209","2","23,5","3","31,67"
"БУРГАС","СУНГУРЛАРЕ","С.СЪЕДИНЕНИЕ","ОУ ""Отец Пайсий""","201 211","17","50,56","17","50,88"
"БУРГАС","ЦАРЕВО","ГР.АХТОПОЛ","ОУ ""Св.Св. Кирил и Методий""","201 304","18","42,64","18","26,67"
"БУРГАС","ЦАРЕВО","ГР.ЦАРЕВО","СУ ""Н.Й.Вапцаров""","201 305","63","58,16","63","33,91"
"ВАРНА","АВРЕН","С.АВРЕН","ЧСУ ""Юрий Гагарин""","403 559","3","66,17","3","31,17"
"ВАРНА","АВРЕН","С.АВРЕН","ОУ""Христо Бoтев""","400 079","11","51,77","11","24,95"
