"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ  Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","45","79.16","45","80.27"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Начално училище ""Св. Паисий Хилендарски""","105204","59","82.6","58","82.4"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","Основно училище ""Свети Климент Охридски""","105202","22","76.45","22","70.84"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","Основно училище ""Свети свети Кирил и Методий""","102003","8","57.56","8","55.06"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","16","59.41","16","63.84"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","Основно училище ""Св.св.Кирил и Методий""","105005","7","49.29","7","61.79"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","Основно училище ""Пейо Крачолов Яворов""","105004","12","66.96","12","69.25"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","Начално училище ""Петко Р. Славейков""","105006","5","81.4","5","69.3"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","Основно училище ""Св.Паисий Хилендарски""","105003","26","58.21","26","78.88"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Второ основно училище ""Димитър Благоев""","100020","68","85.93","68","80.9"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Четвърто основно училище "" Димчо Дебелянов""","100040","37","82.69","36","75.1"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","105","86.2","105","82.6"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Единадесето основно училище ""Христо Ботев""","100110","55","79.08","54","71.31"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","43","70.19","43","67.01"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Трето основно училище ""Димитър Талев""","101290","79","87.08","79","84.54"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Осмо средно училище ""Арсени Костенцев""","101580","81","86.86","79","82.35"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Девето основно училище "" Пейо Крачолов Яворов""","101700","13","56.65","13","58.58"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище ""Иван Вазов""","101880","55","78.47","55","77.24"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","44","86.8","44","85.06"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Първо основно училище ""Св. Св. Кирил и Методий""","103402","68","84.44","69","77.93"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Второ основно училище ""Гоце Делчев""","103403","87","84.03","88","79.91"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Трето основно училище ""Братя Миладинови""","103404","40","75.78","37","69.07"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","Основно училище ""Св. Климент Охридски""","103406","6","36.42","6","39.58"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","46","79.12","46","75.39"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","Основно училище "" Иван Вазов""","103407","15","75.97","15","76.67"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","Oбединено училище ""Св. Паисий Хилендарски""","103410","11","65.68","13","69.46"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","Обединено училище ""Петър Берон""","103409","13","77.92","13","77.46"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.МУСОМИЩА","Основно училище ""Христо Ботев""","103405","10","76.3","10","77.6"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГОРНО ДРЯНОВО","Основно училище "" Св. Паисий Хилендарски""","103006","11","63","9","68.83"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","45","63.24","45","70.57"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","Обединено училище ""Св. Климент Охридски""","103005","29","64.48","28","64.59"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","Обединено училище ""Христо Ботев""","103008","12","68.88","12","60.83"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","Обединено училище ""Христо Ботев""","103019","11","53.14","11","47.82"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОГНЯНОВО","Основно училище ""Пейо Крачолов Яворов""","103004","15","69.47","14","75.57"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","39","64.4","39","88.01"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","37","73.09","37","68.54"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","78","75.22","78","73.56"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Антон Попов""","104002","37","37.57","36","37.74"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Първо основно училище ""Кочо Мавродиев""","104006","32","70.69","32","58.72"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Трето основно училище ""Гоце Делчев""","104007","53","76.07","53","76.23"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Четвърто основно училище""Христо Смирненски""","104008","62","82.31","62","85.1"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАВРАКИРОВО","Основно училище ""Св.Св. Кирил и Методий""","104024","13","52.92","13","52.92"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","18","69.03","18","71.75"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЪРНАЛОВО","Осноно училище ""Братя Миладинови""","104025","15","75.13","15","71.73"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МАРИКОСТИНОВО","Основно училище ""Св. Св. Кирил и Методий""","104018","11","62.23","11","55.14"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","42","76.19","42","71.93"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РУПИТЕ","Основно училище ""Св.Св. Кирил и Методий""","104017","12","37.58","11","43.18"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СКРЪТ","Основно училище ""Пейо Крачолов Яворов""","104005","14","73.04","14","64.5"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Средно училище ""Братя Петър и Иван Каназиреви""","103501","13","73.62","13","74.08"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Основно училище ""Никола Парапунов""","103502","34","69.38","32","62.45"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Начално училище ""Яне Сандански""","103510","32","82.48","32","79.14"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Начално училище""Св.Св.Кирил и Методий""","103511","32","77.89","32","75.44"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАНЯ","Основно училище""Св. Паисий Хилендарски""","103503","27","68.74","27","62.83"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАЧЕВО","Основно училище ""Св. Св. Кирил и Методий""","103504","10","70.15","10","67.45"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ГОРНО ДРАГЛИЩЕ","Основно училище ""Неофит Рилски""","103506","10","64.95","10","55.3"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ЕЛЕШНИЦА","Основно училище""Братя Миладинови""","103508","10","78.15","10","78.55"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Второ основно училище ""Христо Смирненски""","102606","66","79.77","66","73.4"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Първо основно училище ""Свети Климент Охридски""","104104","52","80.78","56","75.04"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Трето основно училище ""Христо Ботев""","104106","93","82.88","93","77.54"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Четвърто основно училище "" Св. Св. Козма и Дамян ""","104107","39","69.69","39","60.54"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДАМЯНИЦА","Основно училище ""Св.СвКирил и Методий""","104113","12","46.13","12","47.58"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СКЛАВЕ","Основно училище ""Братя Миладинови""","104111","13","53.38","13","54.31"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","Средно училище ""Христо Ботев""","109030","20","68.98","20","62"
"БЛАГОЕВГРАД","САТОВЧА","С.ГОДЕШЕВО","Основно училище ""Братя Миладинови""","109038","2","68","2","72.25"
"БЛАГОЕВГРАД","САТОВЧА","С.ДОЛЕН","Основно училище "" Св. Св. Кирил и Методий""","109068","1","90","1","75.5"
"БЛАГОЕВГРАД","САТОВЧА","С.ЖИЖЕВО","Начално училище Яне Сандански","109056","2","75","2","80.25"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","Средно училище ""Христо Смирненски""","109055","13","75.19","13","72.69"
"БЛАГОЕВГРАД","САТОВЧА","С.ОСИНА","Начално училище ""Васил Левски""","109053","6","66.58","6","75.75"
"БЛАГОЕВГРАД","САТОВЧА","С.ПЛЕТЕНА","Обединено училище ""Св. Св. Кирил и Методий""","109054","21","68.86","21","73.98"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","Средно училище ""Св. Св. Кирил и Методий""","109050","20","66.28","20","60.73"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","Средно училище ""Свети Климент Охридски""","109037","12","74.58","12","70.33"
"БЛАГОЕВГРАД","САТОВЧА","С.ТУХОВИЩА","Основно училище ""Св.св.Кирил и Методий""","109039","5","63.8","5","61.1"
"БЛАГОЕВГРАД","САТОВЧА","С.ФЪРГОВО","Начално училище ""Пейо Яворов""","109052","3","73.33","3","55.17"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","Средно училище ""Св. Св. Кирил и Методий""","103133","58","80.38","58","75.12"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ДОЛНО ОСЕНОВО","Обединено училище ""Св.Паисий Хилендарски""","109107","11","74.45","11","72.95"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","Средно училище ""Св.св.Кирил и Методий""","109102","17","61.97","15","60.87"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","Средно училище ""Св. Паисий Хилендарски""","108100","35","40.91","35","45.26"
