"﻿""﻿Област""","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИСТ Брой","ИСТ Ср.успех","ФА Брой","ФА Ср.успех","ГЕО Брой","ГЕО Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕ Ср.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех"
"ТЪРГОВИЩЕ","ОМУРТАГ","ГР.ОМУРТАГ","2 520 401","Профилирана гимназия ""Симеон Велчев""","58","4,01","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","5,24","53","4,75","4","4,25","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ОМУРТАГ","ГР.ОМУРТАГ","2 520 601","Професионална гимназия   по транспорт и лека промишленост","36","3,31","0","0,00","1","2,44","0","0,00","0","0,00","0","0,00","0","0,00","2","3,20","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ОПАКА","ГР.ОПАКА","2 530 201","Средно училище  ""Васил Левски""","18","3,48","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","4,56","17","4,42","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ПОПОВО","ГР.ПОПОВО","2 540 401","Профилирана гимназия ""Христо Ботев""","67","4,26","11","5,44","2","4,13","0","0,00","11","4,53","0","0,00","3","4,70","20","5,28","20","4,24","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ПОПОВО","ГР.ПОПОВО","2 540 601","Професионална гимназия по техника и лека промишленост","21","3,47","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,67","1","5,54","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ПОПОВО","ГР.ПОПОВО","2 540 602","Професионална гимназия   по селско стопанство ""Никола Пушкаров""","76","3,33","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","3,32","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 501 694","Второ  средно  училище  ""Професор Никола Маринов""","102","4,46","14","4,59","7","4,73","0","0,00","6","3,99","1","5,98","3","5,15","35","4,48","36","4,53","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 603","Професионална гимназия   по електротехника и строителство","23","3,35","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","11","3,45","1","3,49","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 604","Професионална гимназия по туризъм и   хранително-вкусови технологии ""Алеко Константинов""","58","3,48","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","31","3,59","1","3,03","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 605","Професионална гимназия   по земеделие","23","3,03","0","0,00","0","0,00","0","0,00","1","3,31","0","0,00","0","0,00","1","3,06","1","3,36","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 601","Професионална гимназия  по икономическа информатика  ""Джон Атанасов""","72","3,90","0","0,00","0","0,00","0","0,00","3","4,40","0","0,00","0","0,00","3","4,19","6","4,05","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 602","Професионална техническа гимназия  ""Цар Симеон Велики""","65","3,52","2","5,52","2","4,54","0","0,00","15","4,10","0","0,00","2","4,24","21","3,49","17","4,08","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
