Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ (мах 65 т.);Явили се MAT;Ср. успех в точки MAT (мах 65 т.)
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-02;ІІ ОУ Димитър Благоев;68;38.18;69;41.9
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-04;ІV ОУ Димчо Дебелянов;46;33.65;45;31.98
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-07;VІІ СУ Кузман Шапкарев;78;37.37;78;34.88
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-11;ХІ ОУ Христо Ботев;39;30.77;39;23.64
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;100-2;ПМГ Акад. Сергей Корольов;30;50.33;30;60.07
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-25;СУИЧЕ Св. Климент Охридски;38;32.79;38;30
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-29;ІІІ ОУ ДимитърТалев;121;41.61;121;39.55
БЛАГОЕВГРАД;ГЪРМЕН;С.ГЪРМЕН;101-301;СУ Св.св.Кирил и Методий;19;31.71;17;38.41
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-58;VІІІ СУ Арсени Костенцев;63;35.61;63;32.27
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-7;ІХ ОУ Пейо Кр. Яворов;18;21.64;18;15.17
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;101-88;СУ Иван Вазов;59;37.44;59;28.98
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;102-002;ПМГ Яне Сандански;26;43;26;45.88
БЛАГОЕВГРАД;БАНСКО;С.МЕСТА;102-003;ОУ Св. св. Кирил и Методий;13;34.12;13;27.85
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;102-06;V СУ Георги Измирлиев;41;36.33;41;36.85
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;102-606;ІІ ОУ Хр.Смирненски;67;34.93;67;33.52
БЛАГОЕВГРАД;ГЪРМЕН;С.РИБНОВО;103-002;СУ Йордан Йовков;37;27.85;37;40.32
БЛАГОЕВГРАД;ГЪРМЕН;С.ОГНЯНОВО;103-004;ОУ Пейо Кр.Яворов;20;30.08;20;40.55
БЛАГОЕВГРАД;ГЪРМЕН;С.ДЕБРЕН;103-005;ОбУ Св. Климент Охридски;21;30.76;21;39.24
БЛАГОЕВГРАД;ГЪРМЕН;С.ГОРНО ДРЯНОВО;103-006;ОУ Св.Паисий Хилендарски;11;26.14;10;17.5
БЛАГОЕВГРАД;ГЪРМЕН;С.ДОЛНО ДРЯНОВО;103-008;ОбУ Христо Ботев;18;38.92;18;44.28
БЛАГОЕВГРАД;ГЪРМЕН;С.ХВОСТЯНЕ;103-009;ОУ Димитър Талев;10;25.2;10;20.1
БЛАГОЕВГРАД;ГЪРМЕН;С.ДЪБНИЦА;103-019;ОбУ Христо Ботев;22;33.14;22;33.91
БЛАГОЕВГРАД;СИМИТЛИ;ГР.СИМИТЛИ;103-133;СУ Св.Св.Кирил и Методий;64;30.49;64;25.53
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;103-31;СУ Никола Й. Вапцаров;93;35.53;93;34.46
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БРЕЗНИЦА;103-401;СУ Св. Св. Кирил и Методий;30;26.98;30;19.9
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103-402;І ОУ Св.Св. Кирил и Методий;78;37.4;78;30.76
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103-403;ІІ ОУ Гоце Делчев;69;39.2;68;33.31
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;ГР.ГОЦЕ ДЕЛЧЕВ;103-404;ІІІ ОУ Братя Миладинови;35;32.49;33;24.79
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.МУСОМИЩА;103-405;ОУ Христо Ботев;12;33.08;12;36.5
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БОРОВО;103-406;ОУ Св. Климент Охридски;11;29.86;11;22.73
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БУКОВО;103-407;ОУ Иван Вазов;7;34.14;7;34
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.БАНИЧАН;103-408;ОУ Св. Паисий Хилендарски;6;25.17;6;22.67
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.ЛЪЖНИЦА;103-409;ОбУ Петър Берон;18;36.86;18;40.89
БЛАГОЕВГРАД;ГОЦЕ ДЕЛЧЕВ;С.КОРНИЦА;103-41;ОбУ Св. Паисий Хилендарскси;20;37.25;20;39.75
БЛАГОЕВГРАД;РАЗЛОГ;ГР.РАЗЛОГ;103-501;СУ Бр.Каназиреви;60;33.15;58;29.19
БЛАГОЕВГРАД;РАЗЛОГ;ГР.РАЗЛОГ;103-502;ОУ Никола Парапунов;71;31.71;71;30.34
БЛАГОЕВГРАД;РАЗЛОГ;С.БАНЯ;103-503;ОУ Св. Паисий Хилендарски;40;32.91;39;27.49
БЛАГОЕВГРАД;РАЗЛОГ;С.БАЧЕВО;103-504;ОУ Св. Св. Кирил и Методий;17;23.65;18;18.67
БЛАГОЕВГРАД;РАЗЛОГ;С.ГОРНО ДРАГЛИЩЕ;103-506;ОУ Неофит Рилски;6;17.83;6;13.5
БЛАГОЕВГРАД;РАЗЛОГ;С.ЕЛЕШНИЦА;103-508;ОУ Братя Миладинови;13;30.15;13;16.23
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;104-002;СУ Антон Попов;25;25.36;25;26.2
БЛАГОЕВГРАД;ПЕТРИЧ;С.КОЛАРОВО;104-003;СУ Васил Левски;18;27.94;18;29.33
БЛАГОЕВГРАД;ПЕТРИЧ;С.ПЪРВОМАЙ;104-004;СУ Св.Паисий Хилендарски;28;34.36;28;34.21
БЛАГОЕВГРАД;ПЕТРИЧ;С.СКРЪТ;104-005;ОУ Пейо Кр. Яворов;12;37.21;12;33.92
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;104-006;І ОУ Кочо Мавродиев;43;31.58;43;43.53
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;104-007;ІІІ ОУ Гоце Делчев;72;33.56;72;34.36
БЛАГОЕВГРАД;ПЕТРИЧ;ГР.ПЕТРИЧ;104-008;ІV ОУ Хр. Смирненски;50;33.67;51;25.92
БЛАГОЕВГРАД;ПЕТРИЧ;С.МИХНЕВО;104-016;ОУ Екзарх Йосиф;10;27.25;10;33.5
БЛАГОЕВГРАД;ПЕТРИЧ;С.РУПИТЕ;104-017;ОУ Св.св. Кирил и Методий;12;15.63;12;12.42
БЛАГОЕВГРАД;ПЕТРИЧ;С.МАРИКОСТИНОВО;104-018;ОУ Св.св.Кирил и Методий;12;28.63;12;22
БЛАГОЕВГРАД;ПЕТРИЧ;С.КУЛАТА;104-02;ОУ Св.Св.Кирил и Методий;12;31.83;12;24.25
БЛАГОЕВГРАД;ПЕТРИЧ;С.БЕЛАСИЦА;104-022;ОУ Хр.Ботев;10;35.55;11;33.91
БЛАГОЕВГРАД;ПЕТРИЧ;С.КАВРАКИРОВО;104-024;ОУ Св.Св.Кирил и Методий;18;29.53;18;40.11
БЛАГОЕВГРАД;ПЕТРИЧ;С.КЪРНАЛОВО;104-025;ОУ Братя Миладинови;16;37;16;27.62
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;104-104;І ОУ Св. Климент Охридски;60;36.69;60;36.4
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;104-106;ІІІ ОУ Христо Ботев;102;29.8;102;29.92
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;104-107;ІV ОУ Св. Св. Козма и Дамян;31;28.37;31;21.1
БЛАГОЕВГРАД;САНДАНСКИ;С.СКЛАВЕ;104-111;ОУ Братя Миладинови;22;17.86;21;14.81
БЛАГОЕВГРАД;САНДАНСКИ;С.ДАМЯНИЦА;104-113;ОУ Св.Св.Кирил и Методий;18;25.67;18;28.44
БЛАГОЕВГРАД;САНДАНСКИ;С.КАТУНЦИ;104-116;ОУ Христо Ботев;11;29.27;11;38
БЛАГОЕВГРАД;БЕЛИЦА;ГР.БЕЛИЦА;105-001;СУ Св.Св.Кирил и Методий;39;28.65;38;39.84
БЛАГОЕВГРАД;БЕЛИЦА;С.КРАИЩЕ;105-003;ОУ Св.Паисий Хилендарски;34;38.25;34;45.03
БЛАГОЕВГРАД;БЕЛИЦА;С.ГОРНО КРАИЩЕ;105-004;ОУ Пейо Кр. Яворов;18;35.25;18;37.72
БЛАГОЕВГРАД;БЕЛИЦА;С.БАБЯК;105-005;ОУ Св.Св.Кирил и Методий;16;33.56;16;41.94
БЛАГОЕВГРАД;КРЕСНА;ГР.КРЕСНА;105-101;СУ Св.Паисий Хилендарски;28;33.21;28;28.68
БЛАГОЕВГРАД;БАНСКО;ГР.БАНСКО;105-201;СУ Неофит Рилски;67;34.49;67;30
БЛАГОЕВГРАД;БАНСКО;С.ДОБРИНИЩЕ;105-202;ОУ Св. Кл. Охридски;18;33.33;18;24.28
БЛАГОЕВГРАД;ЯКОРУДА;С.БЕЛ КАМЕН;107-02;ОУ Неофит Рилски;3;44;3;20.33
БЛАГОЕВГРАД;ЯКОРУДА;С.СМОЛЕВО;107-021;ОбУ Гоце Делчев;9;29.78;9;38.78
БЛАГОЕВГРАД;ЯКОРУДА;ГР.ЯКОРУДА;107-09;СУ Св. Св. Кирил и Методий;50;33.26;50;46.24
БЛАГОЕВГРАД;ЯКОРУДА;С.КОНАРСКО;107-092;ОбУ Братя Миладинови;10;24.5;10;28.7
БЛАГОЕВГРАД;ЯКОРУДА;С.ЮРУКОВО;107-094;ОбУ Васил Левски;10;37.9;10;50.3
БЛАГОЕВГРАД;ХАДЖИДИМОВО;ГР.ХАДЖИДИМОВО;108-001;СУ Никола Й. Вапцаров;30;30.72;30;26.2
БЛАГОЕВГРАД;ХАДЖИДИМОВО;С.КОПРИВЛЕН;108-003;ОУ Никола Вапцаров;14;29.96;14;34.43
БЛАГОЕВГРАД;ХАДЖИДИМОВО;С.АБЛАНИЦА;108-004;СУ Св. Паисий Хилендарски;23;34.91;23;26.39
БЛАГОЕВГРАД;ХАДЖИДИМОВО;С.БЛАТСКА;108-006;ОУ Св. Св. Кирил и Методий;12;22.63;12;22.25
БЛАГОЕВГРАД;ХАДЖИДИМОВО;С.БЕСЛЕН;108-007;ОУ Гоце Делчев;12;23.42;12;23.33
БЛАГОЕВГРАД;СТРУМЯНИ;С.МИКРЕВО;108-1;СУ Св. Паисий Хилендарски;32;17.13;32;11.03
БЛАГОЕВГРАД;САТОВЧА;С.ВЪЛКОСЕЛ;109-03;СУ Христо Ботев;38;32.18;37;44.78
БЛАГОЕВГРАД;САТОВЧА;С.СЛАЩЕН;109-037;СУ Св. Климент Охридски;17;32;17;28.71
БЛАГОЕВГРАД;САТОВЧА;С.ГОДЕШЕВО;109-038;ОУ Братя Миладинови;5;23.5;5;33
БЛАГОЕВГРАД;САТОВЧА;С.ТУХОВИЩА;109-039;ОУ Св. Св. Кирил и Методий;13;17.5;12;19
БЛАГОЕВГРАД;САТОВЧА;С.САТОВЧА;109-05;СУ Св.св. Кирил и Методий;26;33.94;26;32.15
БЛАГОЕВГРАД;САТОВЧА;С.ПЛЕТЕНА;109-054;ОбУ Св.Св.Кирил и Методий;15;37.6;15;37.67
БЛАГОЕВГРАД;САТОВЧА;С.КОЧАН;109-055;СУ Христо Смирненски;21;31.83;21;27.67
БЛАГОЕВГРАД;САТОВЧА;С.ДОЛЕН;109-068;ОУ Св.Св.Кирил и Методий;5;18.6;5;34.4
БЛАГОЕВГРАД;СИМИТЛИ;С.КРУПНИК;109-102;СУ Св.св.Кирил и Методий;19;32.13;19;23.37
БЛАГОЕВГРАД;СИМИТЛИ;С.ДОЛНО ОСЕНОВО;109-107;ОбУ Св. Паисий Хилендарски;14;24.68;14;15.57
БЛАГОЕВГРАД;САНДАНСКИ;ГР.САНДАНСКИ;109-185;Спортно училище;22;21.55;22;17.32
БУРГАС;АЙТОС;ГР.АЙТОС;200-104;ОУ Атанас Манчев;30;14.5;30;22.27
БУРГАС;АЙТОС;С.КАРАГЕОРГИЕВО;200-105;ОУ Св.Св.Кирил и Методий;14;24.5;14;38.21
БУРГАС;АЙТОС;С.МЪГЛЕН;200-107;Основно училище Хр.Ботев;20;16.7;19;23.32
БУРГАС;АЙТОС;С.ПИРНЕ;200-109;ОУ Хр.Ботев;26;24.81;26;35.92
БУРГАС;АЙТОС;С.ТОПОЛИЦА;200-11;ОУ Светлина;15;33.67;15;30.93
БУРГАС;АЙТОС;ГР.АЙТОС;200-112;СУ Христо Ботев;89;33.78;88;30.57
БУРГАС;АЙТОС;ГР.АЙТОС;200-113;СУ Н. Й. Вапцаров;60;29.78;60;20.45
БУРГАС;БУРГАС;ГР.БУРГАС;200-205;ОУ П. Р. Славейков;62;43.26;62;46.97
БУРГАС;БУРГАС;ГР.БУРГАС;200-206;ОУ Св. княз Борис І;84;36.9;84;35.06
БУРГАС;БУРГАС;ГР.БУРГАС;200-207;ОУ Л. Каравелов;60;39.81;60;34.28
БУРГАС;БУРГАС;ГР.БУРГАС;200-208;ОУ Найден Геров;70;35.89;71;33.18
БУРГАС;БУРГАС;ГР.БУРГАС;200-209;ОУ Антон Страшимиров;136;40.36;136;40.11
БУРГАС;БУРГАС;ГР.БУРГАС;200-21;ОУ Св.Климент Охридски;94;44.8;94;43.9
БУРГАС;БУРГАС;ГР.БУРГАС;200-211;ОУ Георги Бенковски;42;37.26;42;37.71
БУРГАС;БУРГАС;ГР.БУРГАС;200-212;ОУ П. К. Яворов;50;41.64;50;41.36
БУРГАС;БУРГАС;ГР.БУРГАС;200-213;ОУ Васил Априлов;113;43.85;113;42.89
БУРГАС;БУРГАС;ГР.БУРГАС;200-214;ОУ Братя Миладинови;163;41.34;163;43.63
БУРГАС;БУРГАС;ГР.БУРГАС;200-215;ОУ Елин Пелин;144;38.24;144;37.6
БУРГАС;БУРГАС;ГР.БУРГАС;200-216;ОУ Васил Левски – Бургас;41;14.32;41;22.17
БУРГАС;БУРГАС;ГР.БУРГАС;200-217;ОУ Хр. Ботев (кв. Сарафово);24;32.31;24;38.29
БУРГАС;БУРГАС;ГР.БУРГАС;200-218;ОУ Христо Ботев (кв. Победа);41;10.9;40;9.4
БУРГАС;БУРГАС;ГР.БУРГАС;200-219;ОУ Христо Ботев (кв. Д. Езерово);23;28.74;23;20.83
БУРГАС;БУРГАС;ГР.БЪЛГАРОВО;200-22;ОУ В.Левски;10;28.6;10;22.6
БУРГАС;БУРГАС;ГР.БУРГАС;200-221;СУ Хр. Ботев (кв. Черно Море);19;15.53;19;12.89
БУРГАС;БУРГАС;ГР.БУРГАС;200-222;ОУ Иван Вазов;14;33.68;14;39.21
БУРГАС;БУРГАС;ГР.БУРГАС;200-223;ОУ Христо Ботев (кв. Ветрен);14;30.07;14;32.86
БУРГАС;БУРГАС;С.МАРИНКА;200-224;ОУ Хр.Ботев;7;13.71;7;10.57
БУРГАС;БУРГАС;С.РАВНЕЦ;200-225;ОУ Св.Св. К. и Методий;16;18.66;16;27.44
БУРГАС;БУРГАС;С.РУДНИК;200-226;Обединено училище Св. Климент Охридски;23;16.39;20;13
БУРГАС;БУРГАС;ГР.БУРГАС;200-227;СУ Иван Вазов;24;27.73;23;24.57
БУРГАС;БУРГАС;ГР.БУРГАС;200-228;СУ Йордан Йовков;38;36.08;38;31.82
БУРГАС;БУРГАС;ГР.БУРГАС;200-229;СУ Еп. Константин Преславски;33;33.68;33;30.88
БУРГАС;БУРГАС;ГР.БУРГАС;200-23;СУ Димчо Дебелянов;55;43.68;55;45.73
БУРГАС;БУРГАС;ГР.БУРГАС;200-231;СУ --Добри Чинтулов;34;36.78;34;31.94
БУРГАС;БУРГАС;ГР.БУРГАС;200-232;СУ К. Петканов;37;28.61;37;21.08
БУРГАС;БУРГАС;ГР.БУРГАС;200-233;СУ Петко Росен;70;36.91;72;33.22
БУРГАС;БУРГАС;ГР.БУРГАС;200-234;СУ Св. Св.Кирил и Методий;70;41.84;69;33.1
БУРГАС;БУРГАС;ГР.БУРГАС;200-239;ППМГ Акад. Никола Обрешков;112;52.34;112;63.35
БУРГАС;БУРГАС;ГР.БУРГАС;200-24;СУ Юрий Гагарин;43;25.77;43;18.02
БУРГАС;БУРГАС;ГР.БУРГАС;200-259;ПЧОУ;15;49.2;15;54.73
БУРГАС;КАМЕНО;С.РУСОКАСТРО;200-304;ОУ Иван Вазов;19;17.53;18;13.83
БУРГАС;КАМЕНО;С.ТРОЯНОВО;200-306;ОУ Христо Ботев;11;18.82;11;11.64
БУРГАС;КАМЕНО;ГР.КАМЕНО;200-308;СУ Христо Ботев;39;22.05;38;18
БУРГАС;КАРНОБАТ;ГР.КАРНОБАТ;200-404;ОУ Хр.Смирненски;54;31.08;54;32.44
БУРГАС;КАРНОБАТ;ГР.КАРНОБАТ;200-405;ОУ П. Р. Славейков;22;19.77;21;22.14
БУРГАС;КАРНОБАТ;С.ЕКЗАРХ АНТИМОВО;200-406;ОУ Христо Ботев;17;15.88;19;34.16
БУРГАС;КАРНОБАТ;С.КЛИКАЧ;200-408;ОУ Христо Ботев;5;40.8;5;40
БУРГАС;КАРНОБАТ;ГР.КАРНОБАТ;200-411;СУ Св.Св. Кирил и Методий;45;27.29;45;27.13
БУРГАС;КАРНОБАТ;ГР.КАРНОБАТ;200-412;СУ Христо Ботев;48;30.27;48;24.83
БУРГАС;МАЛКО ТЪРНОВО;ГР.МАЛКО ТЪРНОВО;200-503;СУВасил Левски;17;20.41;17;15.06
БУРГАС;НЕСЕБЪР;ГР.ОБЗОР;200-601;Обединено училище Св.Св.Кирил и Методий;23;34.2;23;32.17
БУРГАС;НЕСЕБЪР;С.ГЮЛЬОВЦА;200-602;ОУ Св. св. Кирил и Методий;9;16.22;9;16.56
БУРГАС;НЕСЕБЪР;С.КОШАРИЦА;200-603;ОУ Св. Ив. Рилски с. Кошариц;7;14.5;7;11.86
БУРГАС;НЕСЕБЪР;С.ОРИЗАРЕ;200-604;ОУ Г.С.Раковски;15;20.53;15;11.67
БУРГАС;НЕСЕБЪР;С.СВЕТИ ВЛАС;200-606;ОУ Св.Св.Кирил и Методий;11;37.91;11;30.55
БУРГАС;НЕСЕБЪР;С.ТЪНКОВО;200-607;Основно училище Васил Левски;10;11.3;10;11.1
БУРГАС;НЕСЕБЪР;ГР.НЕСЕБЪР;200-608;СУ Любен Каравелов;108;34.96;108;34.63
БУРГАС;ПОМОРИЕ;ГР.КАБЛЕШКОВО;200-702;ОУ Св. П. Хилендарски;36;19.67;36;15.06
БУРГАС;ПОМОРИЕ;ГР.ПОМОРИЕ;200-703;ОУ Христо Ботев;25;24.72;25;17.8
БУРГАС;ПОМОРИЕ;С.АХЕЛОЙ;200-704;ОУ Христо Ботев;17;33.88;17;34.12
БУРГАС;ПОМОРИЕ;С.БАТА;200-705;ОУ Христо Ботев;17;19.53;17;14.18
БУРГАС;ПОМОРИЕ;С.ГОРИЦА;200-706;ОУ Христо Ботев;5;29.2;5;34.4
БУРГАС;ПОМОРИЕ;С.ГЪЛЪБЕЦ;200-707;ОУ Г.Ст.Раковски;13;13.04;13;12.54
БУРГАС;ПОМОРИЕ;С.ДЪБНИК;200-708;ОУ ЕЛИН ПЕЛИН;2;22;2;10.5
БУРГАС;ПОМОРИЕ;С.ПОРОЙ;200-709;ОУ Св.св. Кирил и Методий;16;41.25;16;29.31
БУРГАС;ПОМОРИЕ;С.СТРАЦИН;200-71;ОУ Отец Паисий;15;23.87;15;26.2
БУРГАС;ПОМОРИЕ;ГР.ПОМОРИЕ;200-711;СУ Иван Вазов;84;39.35;84;38.04
БУРГАС;ПРИМОРСКО;С.НОВО ПАНИЧАРЕВО;200-801;ОУ Хр.Ботев;5;12.6;5;23.4
БУРГАС;ПРИМОРСКО;ГР.ПРИМОРСКО;200-803;СУ Н.Й.ВАПЦАРОВ;23;34.54;23;26.26
БУРГАС;РУЕН;С.ВРЕСОВО;200-907;ОУ Д-р П. Берон;22;17.16;21;21.48
БУРГАС;РУЕН;С.ДОБРА ПОЛЯНА;200-908;ОУ Св.Св.Кирил и Методий;13;36.23;13;39.77
БУРГАС;РУЕН;С.ДОБРОМИР;200-909;ОУ Ал. Константинов;13;41.62;13;30.46
БУРГАС;РУЕН;С.ДЪСКОТНА;200-91;ОУ Климент Охридски;14;36.39;14;36
БУРГАС;РУЕН;С.ЗАЙЧАР;200-912;ОУ Н.Й.Вапцаров;8;23.25;8;13.75
БУРГАС;РУЕН;С.ПЛАНИНИЦА;200-915;ОУ Н.Й.Вапцаров;16;35.66;16;42.75
БУРГАС;РУЕН;С.ПРОСЕНИК;200-918;Обединено училище Св.Св.Кирил и Методий;15;25.2;15;16
БУРГАС;РУЕН;С.РАЗБОЙНА;200-919;ОУ Д-р П. Берон;6;34.58;6;37
БУРГАС;РУЕН;С.РЕЧИЦА;200-92;ОУ А.С.Макаренко;14;31.11;14;35
БУРГАС;РУЕН;С.РЪЖИЦА;200-922;ОУ Иван Вазов;15;22.67;15;48.13
БУРГАС;РУЕН;С.СИНИ РИД;200-923;ОУ Р. Кюпчу;14;27.46;14;39.57
БУРГАС;РУЕН;С.СНЯГОВО;200-926;ОУ Д. Дебелянов;12;30.46;12;40.08
БУРГАС;РУЕН;С.СТРУЯ;200-927;ОУ Ив. Вазов;12;25.92;12;36.5
БУРГАС;РУЕН;С.ТОПЧИЙСКО;200-928;ОУ Р. Кюпчю;20;34.23;20;29.65
БУРГАС;РУЕН;С.ТРЪНАК;200-929;ОУ Д. Полянов;26;26.54;26;23.19
БУРГАС;РУЕН;С.ЧЕРЕША;200-93;ОУ Хр. Ботев;10;29.65;10;36.9
БУРГАС;РУЕН;С.ЛЮЛЯКОВО;200-931;СУ Отец Паисий;21;30.24;21;36.38
БУРГАС;РУЕН;С.РУЕН;200-932;СУ Елин Пелин;53;33.56;50;35.46
БУРГАС;СОЗОПОЛ;С.ЗИДАРОВО;201-003;ОУ Хр. Ботев;13;17.96;13;10.69
БУРГАС;СОЗОПОЛ;С.КРУШЕВЕЦ;201-005;ОУ П.К.Яворов;2;30.5;2;44.5
БУРГАС;СОЗОПОЛ;С.РАВНА ГОРА;201-006;ОУ Отец Паисий;9;32.44;9;23.67
БУРГАС;СОЗОПОЛ;С.РОСЕН;201-007;ОУ Христо Ботев;16;30.56;16;20.31
БУРГАС;СОЗОПОЛ;С.ЧЕРНОМОРЕЦ;201-008;ОУ Христо Ботев;24;36.56;24;30.96
БУРГАС;СОЗОПОЛ;ГР.СОЗОПОЛ;201-009;СУ Св. Св. Кирил и Методий;22;31.2;22;25.27
БУРГАС;СРЕДЕЦ;С.ДЕБЕЛТ;201-101;ОУ Антон Страшимиров;23;17.91;23;14.83
БУРГАС;СРЕДЕЦ;С.ЗАГОРЦИ;201-102;ОУ Св.Св.Кирил и Методий;17;19.24;17;10.59
БУРГАС;СРЕДЕЦ;С.ФАКИЯ;201-103;ОУ Н. Й. Вапцаров;7;27.14;6;12.5
БУРГАС;СРЕДЕЦ;ГР.СРЕДЕЦ;201-104;СУ Св. Св. Кирил и Методий;70;27.4;68;23.51
БУРГАС;СУНГУРЛАРЕ;С.ГРОЗДЕН;201-206;ОУ Св.св.Кирил и Методий;11;17.27;11;38.18
БУРГАС;СУНГУРЛАРЕ;С.ЛОЗАРЕВО;201-207;ОУ Христо Ботев;17;27.03;17;32.29
БУРГАС;СУНГУРЛАРЕ;С.МАНОЛИЧ;201-208;ОУ Св.Св.Кирил и Методий;10;19;10;33
БУРГАС;СУНГУРЛАРЕ;С.ПРИЛЕП;201-209;ОУ Васил Левски;4;27;4;28
БУРГАС;СУНГУРЛАРЕ;С.СЪЕДИНЕНИЕ;201-211;ОУ Отец Пайсий;10;29.5;10;43.6
БУРГАС;СУНГУРЛАРЕ;ГР.СУНГУРЛАРЕ;201-212;СУ Хр.Ботев;57;24.64;57;26.18
БУРГАС;ЦАРЕВО;ГР.АХТОПОЛ;201-304;ОУ Св.Св. Кирил и Методий;12;26.08;11;18.73
БУРГАС;ЦАРЕВО;ГР.ЦАРЕВО;201-305;СУ Н.Й.Вапцаров;61;28.64;61;23.97
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-101;ОУ Христо Ботев;9;27.28;9;12.67
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-102;ОУ Бачо Киро;128;39.6;128;41.63
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-103;ОУ Св.Патр. Евтимий;109;42.66;108;39.27
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-104;ОУ Д.Благоев;40;34.56;40;34.27
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-105;ОУ П.Р.Славейков;17;30.41;17;19.65
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;С.ЛЕДЕНИК;300-106;ОУ Васил Левски;8;7.5;8;11.5
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ДЕБЕЛЕЦ;300-109;ОУ Д-р П.Берон;17;21.62;17;20.06
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;С.БАЛВАН;300-11;ОУ Св.Иван Рилски;4;17.5;4;13.75
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;С.РЕСЕН;300-111;ОУ Христо Ботев;7;33.14;6;24.83
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;С.ВОДОЛЕЙ;300-112;ОУ Хр.Смирненски;6;12.17;5;13.4
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;С.САМОВОДЕНЕ;300-113;ОУ Хр.Смирненски;9;29;9;17.67
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;С.ЦЕРОВА КОРИЯ;300-114;ОУ П.Р.Славейков;8;27.63;8;12.38
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.КИЛИФАРЕВО;300-116;ОУ Неофит Рилски;5;27.6;5;31.2
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-124;СУ Емилиян Станев;111;39.1;111;35.86
ВЕЛИКО ТЪРНОВО;ВЕЛИКО ТЪРНОВО;ГР.ВЕЛИКО ТЪРНОВО;300-125;СУ Вела Благоева;57;41.15;57;30.63
