"﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ (мах 100 т)","Ср. успех в точки БЕЛ (мах 100 т)","Ср. успех в точки ЧО (мах 100 т)","Ср. успех в точки ЧП (мах 100 т)"
"Благоевград","Благоевград","Благоевград","100020","Второ основно училище ""Димитър Благоев""","66","65","66","66","82,88","85,31","85,3","89,17"
"Благоевград","Благоевград","Благоевград","100040","Четвърто основно училище "" Димчо Дебелянов""","35","35","36","36","84,14","85,71","87,92","85,42"
"Благоевград","Благоевград","Благоевград","100070","Седмо средно училище ""Кузман Шапкарев""","102","102","102","102","85,2","82,99","91,52","89,75"
"Благоевград","Благоевград","Благоевград","100110","Единадесето основно училище ""Христо Ботев""","42","42","41","41","76,07","72,86","83,05","86,22"
"Благоевград","Благоевград","Благоевград","101250","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","50","49","49","49","82,8","82,24","83,88","82,24"
"Благоевград","Благоевград","Благоевград","101290","Трето основно училище ""Димитър Талев""","124","124","123","122","86,37","71,73","88,7","89,47"
"Благоевград","Гърмен","Гърмен","101301","Средно училище ""Св.Св.Кирил и Методий""","23","23","22","22","68,26","58,48","79,09","78,64"
"Благоевград","Благоевград","Благоевград","101580","Осмо средно училище ""Арсени Костенцев""","99","98","100","99","84,19","77,96","87,45","89,95"
"Благоевград","Благоевград","Благоевград","101700","Девето основно училище "" Пейо Крачолов Яворов""","30","30","32","30","65,17","68","68,44","70,33"
"Благоевград","Благоевград","Благоевград","101880","Средно училище ""Иван Вазов""","65","65","65","65","87,31","78,77","90,77","86,08"
"Благоевград","Банско","Места","102003","Основно училище ""Свети свети Кирил и Методий""","9","9","9","9","70,56","71,67","81,67","83,89"
"Благоевград","Благоевград","Благоевград","102060","Пето средно училище ""Георги Измирлиев""","51","51","51","50","82,55","76,96","88,53","88,4"
"Благоевград","Сандански","Сандански","102606","Второ основно училище ""Христо Смирненски""","80","80","81","81","80,44","75,63","85,62","87,65"
"Благоевград","Гърмен","Рибново","103002","Средно училище ""Йордан Йовков""","43","43","44","43","87,33","76,28","95,57","83,02"
"Благоевград","Гърмен","Огняново","103004","Основно училище ""Пейо Крачолов Яворов""","16","16","16","16","78,13","73,44","78,44","76,25"
"Благоевград","Гърмен","Дебрен","103005","Обединено училище ""Св. Климент Охридски""","47","47","47","47","86,7","77,45","88,94","85,85"
"Благоевград","Гърмен","Горно Дряново","103006","Основно училище "" Св. Паисий Хилендарски""","13","10","13","14","75","64,5","90,38","80"
"Благоевград","Гърмен","Долно Дряново","103008","Обединено училище ""Христо Ботев""","22","22","22","22","72,27","57,27","78,64","83,86"
"Благоевград","Гърмен","Хвостяне","103009","Основно училище""Димитър Талев""","9","9","8","8","60","44,44","71,88","77,5"
"Благоевград","Гърмен","Дъбница","103019","Обединено училище ""Христо Ботев""","19","19","19","19","67,37","70,79","83,68","84,74"
"Благоевград","Симитли","Симитли","103133","Средно училище ""Св. Св. Кирил и Методий""","69","68","67","69","78,99","71,99","85,82","87,17"
"Благоевград","Петрич","Петрич","103310","Средно училище ""Никола Йонков Вапцаров""","99","98","100","100","81,92","82,4","83,15","85,2"
"Благоевград","Гоце Делчев","Брезница","103401","Средно училище ""Св. Св. Кирил и Методий""","30","30","30","30","79","64,17","77,67","89,67"
"Благоевград","Гоце Делчев","Гоце Делчев","103402","Първо основно училище ""Св. Св. Кирил и Методий""","79","79","77","79","82,59","70,44","87,01","86,08"
"Благоевград","Гоце Делчев","Гоце Делчев","103403","Второ основно училище ""Гоце Делчев""","82","83","84","85","81,04","73,31","86,19","86"
"Благоевград","Гоце Делчев","Гоце Делчев","103404","Трето основно училище ""Братя Миладинови""","46","47","48","47","80,87","68,4","84,48","86,17"
"Благоевград","Гоце Делчев","Мoсомищe","103405","Основно училище ""Христо Ботев""","17","17","17","17","73,82","62,65","79,12","80,29"
"Благоевград","Гоце Делчев","Борово","103406","Основно училище ""Св. Климент Охридски""","9","9","9","9","67,22","76,11","78,33","82,22"
"Благоевград","Гоце Делчев","Буково","103407","Основно училище "" Иван Вазов""","15","15","15","15","83","78,67","85","87"
"Благоевград","Гоце Делчев","Баничан","103408","Основно училище ""Свети Паисий Хилендарски""","8","8","8","8","76,88","70,63","83,75","80"
"Благоевград","Гоце Делчев","Лъжница","103409","Обединено училище ""Петър Берон""","20","20","20","19","72,75","69,5","82,25","82,11"
"Благоевград","Гоце Делчев","Корница","103410","Oбединено училище ""Св. Паисий Хилендарски""","12","12","12","12","77,92","67,08","82,92","92,08"
"Благоевград","Разлог","Разлог","103502","Основно училище ""Никола Парапунов""","50","49","51","51","84,8","71,43","85","84,9"
"Благоевград","Разлог","Баня","103503","Основно училище ""Св. Паисий Хилендарски""","25","26","25","25","80,6","78,27","78,4","80,6"
"Благоевград","Разлог","Бачево","103504","Основно училище ""Св. Св. Кирил и Методий""","10","9","10","9","79","75","83,5","93,89"
"Благоевград","Разлог","Горно Драглище","103506","Основно училище ""Неофит Рилски""","11","11","11","11","81,82","70,45","66,82","70"
"Благоевград","Разлог","Добърско","103507","Начално училище ""Свети Климент Охридски""","7","7","7","7","80,71","60,71","84,29","85,71"
"Благоевград","Разлог","Елешница","103508","Основно училище""Братя Миладинови""","15","15","15","15","85,67","67,67","86,67","82,33"
"Благоевград","Разлог","Разлог","103510","Начално училище ""Яне Сандански""","32","30","31","30","65,63","71,33","76,61","79,67"
"Благоевград","Разлог","Разлог","103511","Начално училище""Св.Св.Кирил и Методий""","32","32","32","32","75,47","67,03","80,47","80,31"
"Благоевград","Петрич","Петрич","104002","Средно училище ""Антон Попов""","24","23","24","24","84,38","89,13","90","90"
"Благоевград","Петрич","Коларово","104003","Средно училище ""Васил Левски""","21","21","21","21","77,62","84,05","80,95","86,19"
"Благоевград","Петрич","Първомай","104004","Средно училище ""Св.Паисий Хилендарски""","36","36","36","36","75,56","64,03","79,86","84,31"
"Благоевград","Петрич","Скрът","104005","Основно училище ""Пейо Крачолов Яворов""","20","20","20","20","73,25","70","78,5","82,25"
"Благоевград","Петрич","Петрич","104006","Първо основно училище ""Кочо Мавродиев""","54","53","53","54","79,26","75","86,7","83,8"
"Благоевград","Петрич","Петрич","104007","Трето основно училище ""Гоце Делчев""","60","54","59","60","74,58","83,43","91,86","90,33"
"Благоевград","Петрич","Петрич","104008","Четвърто основно училище""Христо Смирненски""","71","70","71","72","90,49","88,43","92,96","93,4"
"Благоевград","Петрич","Михнево","104016","Основно Училище ""Екзарх Йосиф""","13","12","13","13","84,23","77,5","74,23","81,92"
"Благоевград","Петрич","Рупите","104017","Основно училище ""Св.св. Кирил и Методий""","12","13","15","14","57,92","50","56,33","64,29"
"Благоевград","Петрич","Марикостиново","104018","Основно училище ""Св. Св. Кирил и Методий""","11","11","11","11","70,45","56,36","74,09","71,36"
"Благоевград","Петрич","Кулата","104020","Основно училище ""Св.Св. Кирил и Методий""","9","9","9","9","68,89","67,78","83,33","78,89"
"Благоевград","Петрич","Кавракирово","104024","Основно училище ""Св.Св. Кирил и Методий""","25","25","27","27","64,6","70,2","68,89","75"
"Благоевград","Петрич","Кърналово","104025","Основно училище ""Братя Миладинови""","10","10","9","10","74","61","77,22","74,5"
"Благоевград","Сандански","Сандански","104104","Първо основно училище ""Свети Климент Охридски""","59","59","59","59","79,49","63,73","83,47","86,95"
"Благоевград","Сандански","Сандански","104106","Трето основно училище ""Христо Ботев""","118","118","118","117","83,14","79,28","86,23","89,23"
"Благоевград","Сандански","Сандански","104107","Четвърто основно училище "" Св. Св. Козма и Дамян ""","33","34","35","35","78,64","69,26","81,71","78,29"
"Благоевград","Сандански","Склаве","104111","Основно училище ""Братя Миладинови""","15","15","15","15","53,33","47,67","62,67","65"
"Благоевград","Сандански","Дамяница","104113","Основно училище ""Св.СвКирил и Методий""","12","12","12","12","73,75","70,42","82,08","79,58"
"Благоевград","Сандански","Катунци","104116","Основно училище""Христо Ботев""","9","9","9","9","76,67","57,78","88,33","83,33"
"Благоевград","Сандански","Поленица","104117","Начално училище ""Св. Св. Кирил и Методий""","10","11","12","12","48,5","65,91","80","61,25"
"Благоевград","Белица","Белица","105001","Средно училище ""Св.Св.Кирил и Методий""","29","28","31","31","73,97","61,96","76,13","69,19"
"Благоевград","Белица","Краище","105003","Основно училище ""Св.Паисий Хилендарски""","31","31","31","31","81,13","83,06","81,61","81,94"
"Благоевград","Белица","Горно Краище","105004","Основно училище ""Пейо Крачолов Яворов""","25","25","25","25","78,4","70,8","79,2","79"
"Благоевград","Белица","Бабяк","105005","Основно училище ""Св.св.Кирил и Методий""","25","25","25","25","65,8","64,4","68,6","72,8"
"Благоевград","Белица","Дагоново","105006","Начално училище ""Петко Р. Славейков""","9","9","9","9","78,33","69,44","91,11","88,89"
"Благоевград","Кресна","Кресна","105101","Средно училище ""Св.Паисий Хилендарски""","31","30","30","29","80,16","66,17","79,83","86,72"
"Благоевград","Банско","Банско","105201","Средно училище ""Неофит Рилски""","35","35","35","35","90,86","82,86","93,71","91,29"
"Благоевград","Банско","Добринище","105202","Основно училище ""Свети Климент Охридски""","18","18","18","18","76,67","81,11","84,44","85,83"
"Благоевград","Банско","Банско","105204","Начално училище ""Св. Паисий Хилендарски""","59","60","59","59","82,88","84,58","87,71","89,92"
"Благоевград","Якоруда","Бел камен","107020","Основно училище ""Неофит Рилски""","7","7","7","7","82,86","76,43","86,43","89,29"
"Благоевград","Якоруда","Смолево","107021","Обединено училище ""Гоце Делчев ""","16","16","16","16","76,88","74,38","71,56","80,31"
"Благоевград","Якоруда","Якоруда","107090","Средно училище ""Свети Свети Кирил и Методий""","39","39","38","40","71,79","64,74","80,13","80,38"
"Благоевград","Якоруда","Конарско","107092","Обединено училище ""Братя Миладинови""","5","5","5","5","78","69","97","99"
"Благоевград","Якоруда","Юруково","107094","Обединено училище""Васил Левски""","18","18","18","18","77,78","75,56","85,83","91,39"
"Благоевград","Хаджидимово","Хаджидимово","108001","Средно училище ""Никола Йонков Вапцаров""","28","28","29","29","75,18","73,04","81,38","83,45"
"Благоевград","Хаджидимово","Копривлен","108003","Основно училище ""Никола Вапцаров""","16","16","16","16","81,56","69,38","81,25","83,13"
"Благоевград","Хаджидимово","Абланица","108004","Средно училище ,,Св. Паисий Хилендарски""","31","31","31","30","80,65","75,97","91,13","90,17"
"Благоевград","Хаджидимово","Блатска","108006","Основно училище ""Св. Св. Кирил и Методий""","9","9","9","9","76,11","76,11","81,67","82,22"
"Благоевград","Хаджидимово","Беслен","108007","Основно училище ""Гоце Делчев""","9","9","9","9","65,56","62,78","73,33","85,56"
"Благоевград","Струмяни","Микрево","108100","Средно училище ""Св. Паисий Хилендарски""","38","37","38","38","59,47","58,78","59,61","58,29"
"Благоевград","Сатовча","Вълкосел","109030","Средно училище ""Христо Ботев""","29","27","28","29","80","75,93","83,39","80"
"Благоевград","Сатовча","Слащен","109037","Средно училище ""Свети Климент Охридски""","19","19","19","19","84,47","76,05","83,68","84,21"
"Благоевград","Сатовча","Годешево","109038","Основно училище ""Братя Миладинови""","3","3","3","3","81,67","90","73,33","83,33"
"Благоевград","Сатовча","Туховища","109039","Основно училище ""Св.св.Кирил и Методий""","8","7","7","7","81,25","75","85,71","82,86"
"Благоевград","Сатовча","Сатовча","109050","Средно училище ""Св. Св. Кирил и Методий""","22","22","22","20","79,77","57,5","75","83,75"
"Благоевград","Сатовча","Крибул","109051","Основно училище ""Светлина""","3","3","3","3","76,67","65","75","91,67"
"Благоевград","Сатовча","Фъргово","109052","Начално училище ""Пейо Яворов""","4","4","4","4","71,25","70","90","85"
"Благоевград","Сатовча","Осина","109053","Начално училище ""Васил Левски""","10","10","10","10","75","71","76","80"
"Благоевград","Сатовча","Плетена","109054","Обединено училище ""Св. Св. Кирил и Методий""","18","18","18","18","76,94","62,5","83,33","81,94"
"Благоевград","Сатовча","Кочан","109055","Средно училище ""Христо Смирненски""","20","20","20","20","76","56,25","78,25","79,25"
"Благоевград","Сатовча","Жижево","109056","Начално училище ""Яне Сандански""","3","3","3","3","81,67","73,33","86,67","83,33"
"Благоевград","Сатовча","Ваклиново","109057","Основно училище ""Стефка Събчева""","9","9","9","9","80,56","66,11","73,33","88,89"
"Благоевград","Симитли","Крупник","109102","Средно училище ""Св.св.Кирил и Методий""","20","23","20","20","68,5","53,7","83,75","82,75"
"Благоевград","Симитли","Долно Осеново","109107","Обединено училище ""Св.Паисий Хилендарски""","18","18","18","18","65,28","60,83","70,83","73,89"
"Бургас","Айтос","Айтос","200104","Основно училище ""Атанас Манчев""","57","57","57","57","53,42","51,14","52,81","54,39"
"Бургас","Айтос","Мъглен","200107","Основно училище ""Христо Ботев""","21","21","21","21","63,33","65,24","68,33","63,81"
"Бургас","Айтос","Пирне","200109","Основно училище ""Христо Ботев""","20","20","20","20","67,75","60,5","64","74"
"Бургас","Айтос","Тополица","200110","Основно училище ""Светлина""","14","14","14","14","69,64","60","69,29","78,57"
"Бургас","Айтос","Айтос","200112","Средно училище ""Христо Ботев""","112","112","113","113","78,39","75","86,59","84,16"
"Бургас","Айтос","Айтос","200113","Средно училище ""Никола Йонков Вапцаров""","56","57","57","58","73,13","73,07","89,56","78,79"
"Бургас","Бургас","Бургас","200201","Начално базово училище ""Михаил Лъкатник""","95","94","95","95","96,89","97,55","98,95","99,05"
"Бургас","Бургас","Бургас","200203","Частно начално училище ""Д-р Мария Монтесори""","7","7","7","7","91,43","98,57","97,86","96,43"
"Бургас","Бургас","Бургас","200205","Основно училище ""Петко Рачев Славейков""","93","94","94","93","93,28","90,85","96,38","97,42"
"Бургас","Бургас","Бургас","200206","Основно училище ""Свети княз Борис І"" - град Бургас","100","98","98","100","87,65","87,65","93,72","94,15"
"Бургас","Бургас","Бургас","200207","Основно училище ""Любен Каравелов""","86","85","87","86","90,93","91,65","93,22","95,87"
"Бургас","Бургас","Бургас","200208","Основно училище ""Найден Геров""","90","91","89","89","82,83","75,27","88,76","91,12"
"Бургас","Бургас","Бургас","200209","Основно училище ""Антон Страшимиров"" - гр.Бургас","122","122","123","123","91,31","86,31","92,72","92,56"
"Бургас","Бургас","Бургас","200210","Основно училище ""Свети Климент Охридски""","91","90","91","91","84,89","81,5","89,78","91,37"
"Бургас","Бургас","Бургас","200211","Основно училище ""Георги Бенковски""","53","54","52","52","85,09","77,41","88,85","92,79"
"Бургас","Бургас","Бургас","200212","Основно училище ""Пейо Крачолов Яворов""","91","88","92","92","82,2","83,13","89,18","87,23"
"Бургас","Бургас","Бургас","200213","Основно училище ""Васил Априлов""","130","129","129","130","97,42","95,5","99,81","97,77"
"Бургас","Бургас","Бургас","200214","Основно училище ""Братя Миладинови""","196","196","196","196","95,56","95,56","98,04","98,8"
"Бургас","Бургас","Бургас","200215","Основно училище ""Елин Пелин""","137","138","138","137","91,24","83,91","92,64","92,85"
"Бургас","Бургас","Бургас","200216","Основно училище ""Васил Левски""","43","43","43","43","51,51","50,7","54,65","49,65"
"Бургас","Бургас","Бургас","200217","Основно училище ""Христо Ботев""","37","37","37","37","83,78","77,03","84,46","88,78"
"Бургас","Бургас","Бургас","200218","Основно училище ""Христо Ботев""","89","88","89","88","41,4","47,27","56,97","47,73"
"Бургас","Бургас","Бургас","200219","Основно училище "" Христо Ботев""","39","39","39","39","73,46","77,69","82,31","80,64"
"Бургас","Бургас","Българово","200220","Основно училище ""Васил Левски""","12","12","12","12","76,25","62,08","82,08","77,08"
"Бургас","Бургас","Бургас","200221","Средно училище ""Христо Ботев""","18","18","20","20","59,44","49,72","70","63,75"
"Бургас","Бургас","Бургас","200222","Основно училище ""Иван Вазов""","20","20","20","20","78,25","78","91,5","85"
"Бургас","Бургас","Бургас","200223","Основно училище "" Христо Ботев""","17","17","17","17","80,29","68,53","89,71","83,82"
"Бургас","Бургас","Маринка","200224","Основно училище ""Христо Ботев""","18","18","18","18","64,44","53,33","65","75,83"
"Бургас","Бургас","Равнец","200225","Основно училище ""Св. Св. Кирил и Методий""","14","16","15","13","73,93","63,44","63","65"
"Бургас","Бургас","Рудник","200226","Основно училище ""Св. Климент Охридски""","29","28","26","27","52,59","42,86","60,38","66,11"
"Бургас","Бургас","Бургас","200227","Средно училище ""Иван Вазов""","23","23","22","21","70,22","67,83","91,14","90,24"
"Бургас","Бургас","Бургас","200228","Средно училище "" Йордан Йовков""","55","54","55","55","94","95,28","96,18","97,82"
"Бургас","Бургас","Бургас","200229","Средно училище ""Епископ Константин Преславски""","63","66","65","65","96,35","94,09","98,54","99,23"
"Бургас","Бургас","Бургас","200230","Средно училище ""Димчо Дебелянов""","70","70","70","70","88,57","95,36","94,29","95,5"
"Бургас","Бургас","Бургас","200231","Средно училище ,,Добри Чинтулов""","38","38","38","38","77,63","70,66","82,63","84,87"
"Бургас","Бургас","Бургас","200232","Средно училище ""Константин Петканов""","50","50","50","49","75,2","72,8","86","86,73"
"Бургас","Бургас","Бургас","200233","Средно училище ""Петко Росен""","85","83","83","84","79,06","61,2","82,05","85,77"
"Бургас","Бургас","Бургас","200234","Средно училище ""Св. Св. Кирил и Методий""","99","100","99","99","93,64","90,85","93,59","95,1"
"Бургас","Камено","Кръстина","200301","Начално училище "" Братя Миладинови""","10","10","10","10","56","51,5","59,5","59,5"
"Бургас","Камено","Русокастро","200304","Основно училище "" Иван Вазов""","18","18","18","18","47,78","43,89","51,67","53,89"
"Бургас","Камено","Трояново","200306","Основно училище "" Христо Ботев""","15","14","15","15","77","56,07","75,67","74,67"
"Бургас","Камено","Камено","200308","Средно училище ""Христо Ботев""","34","35","33","33","66,47","68,14","78,18","79,09"
"Бургас","Карнобат","Карнобат","200404","Основно училище ""Христо Смирненски""","52","52","52","51","69,42","84,42","81,83","83,24"
"Бургас","Карнобат","Карнобат","200405","Основно училище ""Петко Рачев Славейков""","26","29","26","23","50,96","50,86","53,27","53,26"
"Бургас","Карнобат","Екзарх Антимово","200406","Основно училище""Христо Ботев""","12","12","12","13","48,33","55,42","70,83","53,46"
"Бургас","Карнобат","Кликач","200408","Основно училище „Христо Ботев“","7","7","7","7","74,29","59,29","80,71","88,57"
"Бургас","Карнобат","Соколово","200410","Начално училище ""Христо Ботев""","9","9","9","9","46,11","48,89","50","42,78"
"Бургас","Карнобат","Карнобат","200411","Средно училище ""Св.Св.Кирил и Методий""","64","63","63","62","87,97","75,08","83,02","80,16"
"Бургас","Карнобат","Карнобат","200412","Средно училище ""Христо Ботев""","64","64","65","65","79,06","73,83","83,77","79,77"
"Бургас","Малко Търново","Малко Търново","200503","Средно училище""Васил Левски""","24","22","24","22","79,17","67,95","76,46","79,77"
"Бургас","Несебър","Обзор","200601","Обединено училище ""Св.Св.Кирил и Методий""","21","21","21","21","70,48","68,1","75,48","76,43"
"Бургас","Несебър","Гюльовца","200602","Основно училище "" Св. Св. Кирил и Методий ""","13","13","13","12","82,31","68,08","70,38","79,17"
"Бургас","Несебър","Кошарица","200603","ОСНОВНО УЧИЛИЩЕ ""СВЕТИ ИВАН РИЛСКИ""","6","6","6","6","59,17","55","52,5","52,5"
"Бургас","Несебър","Оризаре","200604","Основно училище ""Георги Стойков Раковски""","15","16","16","16","65","66,56","72,5","68,13"
"Бургас","Несебър","Равда","200605","Основно училище "" Св. Св. Кирил и Методий ""","22","21","21","22","73,18","81,67","88,33","88,18"
"Бургас","Несебър","Свети Влас","200606","Основно училище ""Свети свети Кирил и Методий""","26","25","27","27","70,77","70,4","82,59","80,19"
"Бургас","Несебър","Тънково","200607","Основно училище "" Васил Левски ""","13","12","13","12","60,77","46,67","57,69","72,5"
"Бургас","Несебър","Несебър","200608","Средно училище ""Любен Каравелов""","110","113","110","111","77,05","73,36","86,82","87,84"
"Бургас","Поморие","Каблешково","200702","Основно училище ""Свети Паисий Хилендарски""","29","30","28","29","72,07","64,17","71,61","68,62"
"Бургас","Поморие","Поморие","200703","Основно училище ""Христо Ботев""","41","45","44","38","57,68","57,89","69,66","63,03"
"Бургас","Поморие","Ахелой","200704","Основно училище "" Христо Ботев ""","25","25","25","25","80,6","67","81,8","82,8"
"Бургас","Поморие","Бата","200705","Основно училище ""Христо Ботев ""","22","22","20","19","45,23","50","62","59,21"
"Бургас","Поморие","Горица","200706","Основно училище ""Христо Ботев""","7","7","7","7","65","55","72,14","73,57"
"Бургас","Поморие","Гълъбец","200707","Основно училище ""Георги Стойков Раковски""","16","16","15","15","68,44","66,88","77,67","76,33"
"Бургас","Поморие","Дъбник","200708","Основно училище "" Елин Пелин""","5","5","5","5","73","75","84","83"
"Бургас","Поморие","Порой","200709","Основно училище ""Свети свети Кирил и Методий""","12","12","12","12","68,33","67,08","70,83","80,83"
"Бургас","Поморие","Страцин","200710","Основно училище ""Отец Паисий""","24","23","23","24","60,42","54,78","66,3","65,42"
"Бургас","Поморие","Поморие","200711","Средно училище ""Иван Вазов""","69","72","71","72","85,29","73,68","86,06","86,04"
"Бургас","Приморско","Ново Паничарево","200801","Основно Училище ""Христо Ботев""","9","10","9","9","53,89","52","60,56","64,44"
"Бургас","Приморско","Китен","200802","Начално училище""Любен Каравелов""","12","12","12","12","71,25","70","77,92","84,58"
"Бургас","Приморско","Приморско","200803","Средно училище ""Никола Йонков Вапцаров""","33","32","33","33","73,94","69,69","69,7","78,33"
"Бургас","Руен","Ябълчево","200904","Начално училище "" Д-р Петър Берон""","20","20","20","20","63,5","62,25","70,25","68"
"Бургас","Руен","Вресово","200907","Основно училище ""Д-р Петър Берон""","17","17","17","17","51,18","54,12","52,94","52,06"
"Бургас","Руен","Добра поляна","200908","Основно училище "" Св. Св. Кирил и Методий""","11","11","11","11","61,82","60","62,73","69,55"
"Бургас","Руен","Добромир","200909","Основно училище "" Алеко Константинов""","16","16","16","16","58,75","60","63,44","64,38"
"Бургас","Руен","Дъскотна","200910","Основно училище ""Климент Охридски""","15","15","15","15","56,67","56,67","56,67","58"
"Бургас","Руен","Зайчар","200912","Основно училище ""Никола Йонков Вапцаров""","13","13","13","13","66,54","62,31","72,69","74,23"
"Бургас","Руен","Планиница","200915","Основно училище ""Никола Йонков Вапцаров""","10","10","10","10","64","64,5","63,5","70,5"
"Бургас","Руен","Просеник","200918","Основно училище ""Св. Св. Кирил и Методий""","12","12","12","12","62,08","53,33","58,33","61,25"
"Бургас","Руен","Разбойна","200919","Основно Училище ""Д-р Петър Берон""","11","11","11","11","63,18","52,73","59,09","61,82"
"Бургас","Руен","Речица","200920","Основно училище ""Антон Симеонович Макаренко""","17","17","17","17","58,82","54,12","65","65,88"
"Бургас","Руен","Ръжица","200922","Основно училище ""Иван Вазов""","14","15","14","14","61,43","57","72,5","64,29"
"Бургас","Руен","Сини рид","200923","Основно училище ""Реджеб Кюпчу""","16","16","16","16","59,69","52,5","66,25","66,56"
"Бургас","Руен","Скалак","200924","Основно училище "" Йордан Йовков""","7","7","7","7","75","60,71","65","70,71"
"Бургас","Руен","Снягово","200926","Основно училище "" Димчо Дебелянов""","18","18","18","18","68,61","50,56","68,06","70"
"Бургас","Руен","Струя","200927","Основно училище ""Иван Вазов""","4","4","4","4","66,25","55","81,25","76,25"
"Бургас","Руен","Топчийско","200928","Основно училище "" Реджеб Кюпчю""","24","25","25","25","66,67","66,6","77,6","73"
"Бургас","Руен","Трънак","200929","Обединено училище "" Димитър Полянов""","26","26","26","26","56,92","52,12","61,35","60,38"
"Бургас","Руен","Череша","200930","Основно училище ""Христо Ботев""","4","4","4","4","73,75","61,25","76,25","78,75"
"Бургас","Руен","Люляково","200931","Средно Училище "" Отец Паисий""","16","16","16","16","64,06","59,06","63,44","66,88"
"Бургас","Руен","Руен","200932","Средно училище ""Елин Пелин""","56","56","56","56","57,05","54,46","54,64","59,2"
"Бургас","Созопол","Зидарово","201003","Основно училище ""Христо Ботев""","13","13","13","12","55","50,77","65,77","76,25"
"Бургас","Созопол","Крушевец","201005","Основно училище ""Пейо Крачолов Яворов""","7","7","7","7","72,14","62,86","87,14","82,14"
"Бургас","Созопол","Равна гора","201006","Основно училище ""Отец Паисий""","6","6","6","6","74,17","83,33","90,83","76,67"
"Бургас","Созопол","Росен","201007","Основно училище ""Христо Ботев""","12","12","12","12","67,92","58,33","67,5","73,75"
"Бургас","Созопол","Черноморец","201008","Основно училище ""Христо Ботев""","10","10","10","10","66,5","58","67","69,5"
"Бургас","Созопол","Созопол","201009","Средно училище ""Св. Св. Кирил и Методий""","42","43","41","42","85,12","74,07","91,59","88,93"
"Бургас","Средец","Дебелт","201101","Основно училище ""Антон Страшимиров""","23","23","23","23","63,48","53,26","65,87","65,65"
"Бургас","Средец","Загорци","201102","Основно училище ""Св. Св. Кирил и Методий""","7","7","7","6","68,57","68,57","59,29","75"
"Бургас","Средец","Факия","201103","Основно училище""Никола Йонков Вапцаров""","4","5","5","5","73,75","47","57","52"
"Бургас","Средец","Средец","201104","Средно училище ""Свети Свети Кирил и Методий""","92","95","91","90","63,26","58","71,04","74,89"
"Бургас","Сунгурларе","Грозден","201206","Основно училище ""Св.св.Кирил и Методий""","11","11","11","11","53,64","57,27","63,18","55"
"Бургас","Сунгурларе","Лозарево","201207","Основно Училище ""Христо Ботев""","13","14","14","14","64,23","58,21","64,29","65"
"Бургас","Сунгурларе","Манолич","201208","Основно училище ""Св.Св.Кирил и Методий""","12","12","12","12","75,83","73,75","79,17","81,25"
"Бургас","Сунгурларе","Прилеп","201209","Основно училище ""Васил Левски""","3","3","2","3","45","43,33","65","60"
"Бургас","Сунгурларе","Съединение","201211","Основно училище ""Отец Паисий""","16","16","16","16","68,13","70,63","70,94","73,13"
"Бургас","Сунгурларе","Сунгурларе","201212","Средно училище ""Христо Ботев""","52","51","51","50","67,02","59,02","80,88","82,2"
"Бургас","Царево","Ахтопол","201304","Основно училище""Св.Св.Кирил и Методий""","19","19","17","17","58,16","52,11","67,65","70,59"
"Бургас","Царево","Царево","201305","Средно училище ""Никола Йонков Вапцаров""","66","65","66","65","78,56","72,54","82,73","79,85"
"Велико Търново","Велико Търново","Велико Търново","300101","Основно училище ""Христо Ботев""","11","11","11","11","58,18","51,36","58,64","70"
"Велико Търново","Велико Търново","Велико Търново","300102","Основно училище ""Бачо Киро""","124","125","125","125","83,02","73,32","91,88","90,6"
"Велико Търново","Велико Търново","Велико Търново","300103","Основно училище ""Св. Патриарх Евтимий""","138","137","138","138","86,92","86,82","91,92","91,56"
"Велико Търново","Велико Търново","Велико Търново","300104","Основно училище ""Димитър Благоев""","48","48","48","48","75,1","68,85","84,69","84,79"
"Велико Търново","Велико Търново","Велико Търново","300105","Основно училище ""Петко Рачев Славейков""","34","35","35","35","83,68","77,29","85,71","83,29"
"Велико Търново","Велико Търново","Леденик","300106","Основно училище ""Васил Левски""","4","4","4","4","50","45","71,25","72,5"
"Велико Търново","Велико Търново","Дебелец","300109","Основно училище ""Д-р Петър Берон""","27","27","27","27","72,78","70,74","81,85","79,44"
"Велико Търново","Велико Търново","Балван","300110","Основно училище ""Свети Иван Рилски""","4","4","4","4","50","41,25","70","65"
"Велико Търново","Велико Търново","Ресен","300111","Основно училище ""Христо Ботев""","6","6","6","6","64,17","50,83","73,33","87,5"
"Велико Търново","Велико Търново","Водолей","300112","Основно училище ""Христо Смирненски""","2","1","1","1","32,5","55","70","75"
"Велико Търново","Велико Търново","Самоводене","300113","Основно училище ""Христо Смирненски""","5","5","5","5","66","57","82","80"
"Велико Търново","Велико Търново","Церова кория","300114","Основно училище ""Петко Рачев Славейков""","1","1","1","1","100","90","95","95"
"Велико Търново","Велико Търново","Килифарево","300116","Основно училище "" Неофит Рилски ""","13","13","13","13","56,15","72,31","85,77","84,62"
"Велико Търново","Велико Търново","Велико Търново","300124","Средно училище ""Емилиян Станев""","143","144","143","143","81,47","81,04","92,87","91,19"
