"﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ (мах 100 т)","Ср. успех в точки БЕЛ (мах 100 т)","Ср. успех в точки ЧО (мах 100 т)","Ср. успех в точки ЧП (мах 100 т)"
"София-град","Столична","София","2224104","104 основно училище ""Захари Стоянов""","132","131","131","131","92,58","91,64","94,35","93,47"
"София-град","Столична","София","2224121","121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""","53","52","53","53","70,38","78,56","75,85","84,72"
"София-град","Столична","София","2224126","126 ОСНОВНО УЧИЛИЩЕ ""Петко Юрданов Тодоров""","93","93","94","94","81,45","76,51","85,27","86,6"
"София-град","Столична","София","2224544","Частно средно училище по изкуства и чужди езици ""Артис""","14","14","14","14","85,71","94,29","85,71","96,79"
"София-град","Столична","София","2224672","Частно основно училище ""Куест""","3","2","4","4","90","82,5","93,75","98,75"
"София-град","Столична","София","2224677","Частно основно училище ""Прогресивно образование""","4","4","4","4","77,5","76,25","85","83,75"
"София-област","Костинброд","Драговищица","2300012","Начално училище ""Отец Паисий""","4","3","4","4","63,75","70","67,5","71,25"
"София-област","Своге","Свидня","2300028","Основно училище ""Отец Паисий""","1","1","1","1","90","90","95","100"
"София-област","Самоков","Говедарци","2300062","Основно училище ""Димчо Дебелянов""","7","7","7","7","80,71","72,14","77,86","90,71"
"София-област","Костинброд","Костинброд","2300067","Второ основно училище ""Васил Левски""","9","9","9","9","67,78","67,78","71,11","81,11"
"София-област","Ботевград","Липница","2300109","Основно училище "" Свети свети Кирил и Методий ""","7","7","8","8","41,43","52,14","57,5","56,25"
"София-област","Ботевград","Трудовец","2300114","Основно училище ""Любен Каравелов""","16","17","16","16","71,88","61,47","78,75","84,69"
"София-област","Годеч","Годеч","2300163","Средно училище ""Проф. д-р Асен Златаров""","34","35","33","32","67,35","60,43","76,52","82,97"
"София-област","Елин Пелин","Елин Пелин","2300170","Средно училище ""Васил Левски""","47","43","47","44","80,53","75,93","86,7","93,86"
"София-област","Ихтиман","Ихтиман","2300188","Средно училище ""Христо Ботев""","82","82","83","82","74,21","69,7","78,92","80,61"
"София-област","Етрополе","Етрополе","2300195","Средно училище ""Христо Ясенов""","64","64","65","64","65,31","65,47","76,69","77,27"
"София-област","Драгоман","Драгоман","2300214","Средно училище ""Христо Ботев""","25","26","25","23","74","75,77","78,4","78,04"
"София-област","Ботевград","Ботевград","2301045","Основно училище ""Свети Свети Кирил и Методий""","64","64","64","64","67,73","61,72","76,72","79,77"
"София-област","Самоков","Самоков","2301881","Основно училище ""Св.Св.Кирил и Методий""","39","39","39","39","79,36","72,31","85,13","80,13"
"София-област","Своге","Церово","2302003","Основно училище ""Васил Левски""","12","12","12","12","77,5","62,92","76,25","73,33"
"София-област","Костинброд","Петърч","2302142","Основно училище ""Отец Паисий""","14","14","14","14","70,71","60","76,07","75"
"София-област","Етрополе","Лопян","2303456","Основно училище ""Христо Ботев""","22","23","22","22","46,82","48,7","56,59","54,32"
"София-област","Костенец","Костенец","2303490","Средно училище ""Св. Климент Охридски""","37","36","37","37","82,97","80,42","90,81","87,16"
"София-област","Самоков","Самоков","2303825","Обединено училище ""Неофит Рилски""","78","87","81","82","56,28","56,15","68,89","59,57"
"София-област","Своге","Своге","2304051","Начално училище ""Д-р Петър Берон""","14","14","14","13","84,29","81,79","94,64","96,54"
"София-област","Ихтиман","Ихтиман","2304101","Основно Училище ""Димчо Дебелянов""","32","34","31","32","55,47","48,24","64,68","63,28"
"София-област","Костенец","Костенец","2304763","Основно училище ""Константин Костенечки""","7","6","7","7","43,57","59,17","74,29","67,86"
"София-област","Долна баня","Долна баня","2306213","Средно училище ""Неофит Рилски""","45","50","47","46","71,33","64,3","75,53","76,96"
"София-област","Копривщица","Копривщица","2306331","Средно училище ""Любен Каравелов""","14","12","14","14","75,36","72,08","85","81,43"
"София-област","Елин Пелин","Елин Пелин","2306477","Начално училище ""Отец Паисий""","14","14","14","13","74,64","62,86","71,43","78,85"
"София-област","Сливница","Сливница","2306517","Средно училище ,,Св.Св. Кирил и Методий""","49","48","48","49","66,33","59,38","75,83","80,61"
"София-област","Сливница","Алдомировци","2306518","Основно Училище ""Иван Вазов""","6","7","8","8","70","40,71","72,5","75"
"София-област","Челопеч","Челопеч","2307223","Основно училище ""Св.Св.Кирил и Методий""","18","16","17","18","69,44","66,56","79,41","79,17"
"София-област","Антон","Антон","2307255","Основно училище ""Свети Свети Кирил и Методий""","13","13","13","13","73,46","70,38","68,46","77,69"
"София-област","Мирково","Мирково","2307277","Основно училище ""Георги Бенковски""","11","12","11","11","64,55","62,92","78,18","79,09"
"София-област","Елин Пелин","Елин Пелин","2307576","Начално училище ""Христо Ботев""","78","80","81","80","90,19","88,94","96,67","92,38"
"София-област","Костинброд","Костинброд","2308290","Първо основно училище ""Васил Левски""","22","20","21","20","68,18","60","79,76","84,25"
"София-област","Ботевград","Литаково","2308415","Основно училище ""Васил Левски""","23","23","23","23","43,48","51,3","56,09","52,83"
"София-област","Ботевград","Ботевград","2308753","Основно училище ""Васил Левски""","34","36","34","35","44,41","49,58","50,88","56,71"
"София-област","Ботевград","Ботевград","2308760","Основно училище "" Никола Йонков Вапцаров""","125","125","125","125","79,52","73,96","89,08","86"
"София-област","Елин Пелин","Елин Пелин","2308778","Основно училище ""Стефан Стефанов""","9","9","9","9","75","84,44","91,67","90"
"София-област","Етрополе","Етрополе","2308785","Основно училище ""Христо Ботев""","9","10","10","9","82,22","82","87,5","84,44"
"София-област","Златица","Златица","2308792","Средно училище ""Свети Паисий Хилендарски""","46","46","46","46","80,54","77,07","85,33","82,83"
"София-област","Ихтиман","Ихтиман","2308810","Основно училище ""Свети Свети Кирил и Методий""","83","86","86","85","62,77","59,07","69,07","71"
"София-област","Своге","Искрец","2308828","Основно училище ""Свети Иван Рилски""","11","11","11","11","60,45","54,55","71,36","84,55"
"София-област","Пирдоп","Пирдоп","2308850","Начално училище ""Тодор Генчев Влайков""","59","60","59","60","73,39","61,5","84,07","81,5"
"София-област","Своге","Своге","2308867","Средно училище ""Иван Вазов""","56","58","57","56","82,14","82,24","91,32","93,04"
"София-област","Самоков","Самоков","2308899","Начално училище ""Станислав Доспевски""","93","94","95","95","80,22","71,33","88,11","86"
"София-област","Самоков","Самоков","2308917","Основно училище ""Митрополит Авксентий Велешки""","70","70","70","70","79,43","72,64","90,21","87,36"
"София-област","Самоков","Самоков","2308924","Основно училище ""Христо Максимов""","19","18","19","19","75,53","80","83,42","92,11"
"София-област","Божурище","Божурище","2308970","Средно училище ""Летец Христо Топракчиев""","64","63","65","65","77,42","74,92","87,38","90,31"
"София-област","Божурище","Хераково","2308988","Основно училище ""Свети Свети Кирил и Методий""","6","6","6","5","51,67","72,5","83,33","77"
"София-област","Ботевград","Врачеш","2309015","Основно училище ""Отец Паисий""","15","15","15","15","71,33","64","72,67","75,67"
