"Град","Код","Име","БЕЛ","МАТ"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","95.71","95.71"
"София","2207069","69 Средно училище Димитър Маринов","74.76","59.5"
"София","2211122","122 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ЛИЛИЕВ","81.98","86.36"
"София","2213721","ЧАСТНО ОСНОВНО УЧИЛИЩЕ АЗБУКИ","90.33","91.67"
"София","2222006","6 ОУ Граф Игнатиев","88.35","86.74"
"София","2902101","Национално музикално училище Любомир Пипков","84.56","79.93"
"София","2204067","67 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ДРУМЕВ","50.47","46.32"
"София","2209034","34 ОСНОВНО УЧИЛИЩЕ СТОЮ ШИШКОВ","79.83","79.37"
"София","2212103","103 Основно училище Васил Левски","38.65","48.03"
"София","2220014","14. средно училище Проф. д-р Асен Златаров","83.42","80.42"
"София","2224126","126 ОСНОВНО УЧИЛИЩЕ Петко Юрданов Тодоров","84.65","81.01"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","47.86","42.86"
"София","2211107","107. основно училище Хан Крум","87.27","81.73"
"София","2213506","Частно средно училище с ранно чуждоезиково обучение ЕСПА","96.07","95.69"
"София","2218084","84 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","77.58","77.26"
"София","2221614","Частно основно училище Джани РоДари ЕООД","83.75","87.08"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","89.3","87.17"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","87.89","85.28"
"София","2212096","96. Средно училище Лев Николаевич Толстой","86.4","74.56"
"София","2219143","143 основно училище Георги Бенковски","92.69","85.21"
"София","2224104","104 основно училище Захари Стоянов","95.45","89.91"
"София","2202537","Частно основно училище Света София ЕООД","91.25","95.56"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","36.76","35"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","73.62","75.21"
"София","2213145","145 Основно училище Симеон Радев ","89.79","93.32"
"София","2221148","148 ОСНОВНО УЧИЛИЩЕ ПРОФЕСОР Д-Р ЛЮБОМИР МИЛЕТИЧ","69.57","53.43"
"София","2204018","18 Средно училище Уилям Гладстон","94.48","90.52"
"София","2208147","147 Основно училище Йордан Радичков","73.42","53.16"
"София","2212079","79 средно училище Индира Ганди","84.36","76.18"
"София","2219124","124 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","58","51.36"
"София","2224047","47 Средно училище Христо Груев Данов","90.65","85.65"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","90","68.57"
"София","2206043","43 Основно училище Христо Смирненски","88.53","85.14"
"София","2210159","159 основно училище Васил Левски","70","65.5"
"София","2213131","131 СУ Климент Аркадиевич Тимирязев","55.28","61.11"
"София","2217525","Частно основно училище Монтесори ЕООД","95.63","93.89"
"София","2221109","109 Основно училище Христо Смирненски","83.16","83"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","61","61"
"София","2208123","123 Средно училищe Стефан Стамболов","65.26","54.63"
"София","2212056","56. Средно училище Професор Константин Иречек","85.12","78"
"София","2219095","95 СУ Проф. Иван Шишманов","82.25","80.67"
"София","2224022","22 Средно езиково училище Георги Стойков Раковски","93.18","87.66"
"София","2205521","Частно основно училище Св. Климент Охридски ","88.75","93.75"
"София","2213125","125 СУ Боян Пенев с изучаване на чужди езици","89.97","87.92"
"София","2217149","149 Средно училище ,,Иван Хаджийски","83.52","81.7"
"София","2221093","93-то Средно училище Александър Теодоров - Балан","81.43","71.71"
"София","2208075","75.Основно училище Тодор Каблешков ","57.72","66.6"
"София","2212037","37. Средно училище Райна Княгиня","58.06","43.61"
"София","2214102","102. oсновно училище Панайот Волов","88.54","70.7"
"София","2219044","44. Средно училище Неофит Бозвели","80.28","70.74"
"София","2223055","55 СРЕДНО УЧИЛИЩЕ ПЕТКО КАРАВЕЛОВ","79.22","84.39"
"София","2902701","Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия","95.96","95.6"
"София","2202064","64 основно училище Цар Симеон Велики ","73.06","86.11"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","80.95","85.69"
"София","2213082","82. основно училище Васил Евстатиев Априлов","83.16","82.89"
"София","2217072","72 Основно училище Христо Ботев ","77.27","71.36"
"София","2221023","23 Средно училище Фредерик Жолио-Кюри","88.86","78.8"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","83.89","80.89"
"София","2208017","17 СУ Дамян Груев с ранно чуждоезиково обучение","84.94","77.1"
