"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 250","Професионална техническа гимназия","18","3,15","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,67","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,67","19","3,18"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 240","Спортно училище  ""Юрий Гагарин""","45","3,59","0","0,00","0","0,00","0","0,00","3","3,35","0","0,00","2","3,95","0","0,00","4","4,26","1","4,21","0","0,00","0","0,00","0","0,00","0","0,00","10","3,92","55","3,65"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","148","3,99","0","0,00","2","4,57","0","0,00","1","4,73","0","0,00","5","4,22","19","3,84","15","5,13","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","42","4,40","190","4,08"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 243","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","23","3,25","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","23","3,25"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 244","Професионална гимназия по механоелектротехника и електроника","122","3,88","2","2,76","6","3,40","0","0,00","5","3,35","0","0,00","32","3,80","3","4,12","51","4,63","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","99","4,17","221","4,01"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","154","4,16","16","3,39","6","4,31","0","0,00","12","3,80","1","3,06","50","4,18","13","4,35","48","4,61","2","5,10","0","0,00","0","0,00","0","0,00","0","0,00","148","4,23","302","4,19"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 246","Търговска гимназия","152","4,77","5","3,07","4","4,69","0","0,00","14","4,10","0","0,00","12","4,91","11","4,63","48","5,19","8","5,08","0","0,00","0","0,00","0","0,00","0","0,00","102","4,82","254","4,79"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 248","Професионална гимназия по  електротехника и електроника ""Константин Фотинов""","72","3,71","0","0,00","1","3,87","0","0,00","1","4,50","0","0,00","4","3,68","25","3,49","31","5,03","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","62","4,29","134","3,98"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 249","Професионална гимназия по транспорт","52","2,98","0","0,00","0","0,00","0","0,00","3","3,38","0","0,00","4","3,40","42","3,09","1","3,56","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","50","3,14","102","3,06"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 251","Професионална гимназия по  дървообработване ""Георги Кондолов""","14","3,24","0","0,00","0","0,00","0","0,00","3","2,93","0","0,00","0","0,00","10","3,27","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","13","3,19","27","3,21"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 252","Професионална гимназия  по сградостроителство и инсталации ""Пеньо Пенев""","20","2,96","0","0,00","0","0,00","0","0,00","9","2,71","0","0,00","3","2,88","10","3,13","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","22","2,92","42","2,94"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 235","Профилирана гимназия за романски езици ""Георги Стойков Раковски""","178","4,89","12","4,12","6","5,01","1","5,88","7","4,13","0","0,00","11","5,04","8","4,80","95","5,32","0","0,00","0","0,00","18","5,37","17","5,19","4","4,96","179","5,13","357","5,01"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 236","Английска езикова гимназия ""Гео Милев""","165","4,97","4","3,94","1","4,43","0","0,00","2","4,33","0","0,00","10","4,67","1","5,84","147","5,54","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","165","5,43","330","5,20"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 237","Немска езикова гимназия ""Гьоте""","156","5,36","14","4,61","0","0,00","0","0,00","3","5,53","0","0,00","2","5,01","2","5,07","41","5,60","0","0,00","94","5,39","0","0,00","0","0,00","0","0,00","156","5,37","312","5,36"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 238","Профилирана гимназия за чужди езици ""Васил Левски""","151","4,75","5","3,43","10","4,63","0","0,00","4","3,92","0","0,00","25","4,48","6","5,21","36","4,87","63","5,08","2","4,44","0","0,00","0","0,00","0","0,00","151","4,81","302","4,78"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 239","Профилирана природоматематическа гимназия  ""Академик Никола Обрешков""","153","5,29","104","5,46","0","0,00","0","0,00","0","0,00","0","0,00","2","5,12","13","5,82","34","5,54","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","153","5,51","306","5,40"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 221","Средно училище  ""Христо Ботев""","0","0,00","0","0,00","0","0,00","0","0,00","2","2,73","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","2","2,73","2","2,73"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 227","Средно училище  ""Иван Вазов""","16","3,21","0","0,00","2","3,03","0","0,00","1","3,28","0","0,00","4","3,63","8","3,11","2","4,35","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","17","3,38","33","3,30"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 228","Средно училище  "" Йордан Йовков""","8","3,26","0","0,00","0","0,00","0","0,00","1","3,25","0","0,00","0","0,00","7","3,21","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","8","3,22","16","3,24"
