"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","3.15","3.22","15","15"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.12","4.801","86","73"
"София","2215170","170 Средно училище Васил Левски","3.76","3.564","38","36"
"София","2200013","Частна професионална гимназия по дигитални науки СофтУни Светлина","4.29","4.82","60","57"
"София","2202002","2 Средно училище Академик Емилиян Станев ","4.16","4.314","102","105"
"София","2202026","26 Средно училище Йордан Йовков","3.34","NaN","2","0"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","3.73","4.53","50","51"
"София","2202534","Частно профилирано средно училище Свети Наум","3.24","3.95","6","6"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","4.46","4.88","3","3"
"София","2202536","Частно средно езиково училище Британика","4.36","4.96","13","13"
"София","2202574","Частно средно училище Свети Георги","4.54","5.796","15","15"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","2.92","4.27","7","10"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","3.15","3.237","29","29"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","3.48","4.096","24","23"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","3.79","3.3","6","6"
"София","2203720","Частно средно училище Дружба - София","4.24","4.388","20","21"
"София","2204018","18 Средно училище Уилям Гладстон","4.72","5.2","209","208"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","4.41","4.741","80","83"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","4.8","5.075","156","156"
"София","2204091","91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","5.43","5.715","192","176"
"София","2204134","134. средно училище Димчо Дебелянов","4.66","4.788","73","73"
"София","2204310","5. Вечерно средно училище Пеньо Пенев","3.37","3.624","17","15"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","3.83","4.81","30","30"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.18","4.79","180","177"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","2.52","4.288","19","20"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","2.14","4.04","15","11"
