"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","4.24","4.62","22","21"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.49","4.79","85","74"
"София","2215170","170 Средно училище Васил Левски","3.92","4.405","46","46"
"София","2200013","Частна професионална гимназия по дигитални науки СофтУни Будител","4.65","4.906","73","73"
"София","2200039","Частна гимназия по природни науки и предприемачество Асен Йорданов","4.86","5.34","8","8"
"София","2202002","2 Средно училище Академик Емилиян Станев ","4.65","4.8","104","106"
"София","2202026","26 Средно училище Йордан Йовков","3.94","3.183","19","18"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.21","3.88","74","72"
"София","2202534","Частно профилирано средно училище Свети Наум","4.38","4.583","7","6"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","5.15","4.61","3","3"
"София","2202536","Частно средно езиково училище Британика","5.11","5.45","29","28"
"София","2202574","Частно средно училище Свети Георги","4.93","5.83","20","20"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","0","3.549","0","6"
"София","2202620","Частно средно училище Професор Николай Райнов","4.21","4.55","9","9"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","3.82","3.9","48","45"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","3.82","3.327","36","36"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","0","3.19","0","1"
"София","2203720","Частно средно училище Дружба - София","4.54","4.789","21","21"
"София","2204018","18 Средно училище Уилям Гладстон","5.18","5.423","211","209"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","4.82","5.041","77","77"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","5.18","5.387","157","156"
"София","2204091","91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","5.7","5.819","183","157"
"София","2204134","134. средно училище Димчо Дебелянов","5.23","5.181","74","75"
"София","2204310","5. Вечерно средно училище Пеньо Пенев","3.52","3.264","30","27"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","4.25","4.692","27","26"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.45","4.65","172","171"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","3.73","5.28","9","13"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","2.82","3.28","33","26"
"София","2204511","Частна профилирана гимназия с чуждоезиково обучение Езиков свят","4.07","4.062","14","14"
"София","2204549","Частно средно училище с немски език Веда","5.44","5.9","4","4"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","4.67","4.513","76","81"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","4.88","4.655","108","110"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","4.85","5.205","201","201"
"София","2205408","Софийска професионална гимназия Княгиня Евдокия","3.73","4.54","94","85"
"София","2205520","Частна езикова гимназия Проф.Иван Апостолов","5.2","5.63","75","75"
"София","2206003","3. СУ Марин Дринов","3.68","4.458","29","27"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","2.57","2.822","7","5"
"София","2206302","Втора английска езикова гимназия Томас Джеферсън","5.42","5.694","185","185"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","3.55","3.267","239","242"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ А. С. ПОПОВ","3.91","4.754","155","144"
"София","2206411","Професионална гимназия по хранително-вкусови технологии Проф. д-р Георги Павлов","3.83","4.48","39","36"
"София","2207068","68. Средно училище Академик Никола Обрешков","3.92","3.72","32","28"
"София","2207069","69 Средно училище Димитър Маринов","3.95","3.553","13","13"
"София","2207108","108 Средно училище Никола Беловеждов","4.18","4.273","49","50"
"София","2207412","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","3.92","5.61","21","18"
"София","2208017","17 СУ Дамян Груев","4.34","3.514","19","22"
"София","2208028","28 Средно училище Алеко Константинов","3.05","2.809","25","21"
"София","2208057","57 Спортно училище Свети Наум Охридски","3.39","3.61","58","49"
"София","2208123","123 Средно училищe Стефан Стамболов","3.43","3.399","27","26"
"София","2208135","135 средно училище Ян Амос Коменски","3.82","5.14","21","21"
"София","2208413","Софийска гимназия по хлебни и сладкарски технологии","3.54","5.044","28","24"
"София","2208526","Частно средно училище Орфей","4.14","3.693","3","3"
"София","2208539","Частна професионална гимназия по икономика, туризъм и информатика,,Булпрогрес","3.96","5.41","34","33"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","4.81","4.764","75","75"
"София","2209036","36 Средно училище Максим Горки","4.17","4.2","50","50"
"София","2209051","51 СРЕДНО УЧИЛИЩЕ ЕЛИСАВЕТА БАГРЯНА","5.08","5.019","81","83"
"София","2209132","132. Средно училище Ваня Войнова","3.7","3.572","64","61"
