"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","3.92","4.761","52","51"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.36","4.426","62","54"
"София","2215170","170 Средно училище Васил Левски","4.16","4.466","56","55"
"София","2200013","Частна професионална гимназия по дигитални науки СофтУни Будител","4.43","4.792","84","81"
"София","2200039","Частна гимназия по природни науки и предприемачество Асен Йорданов","4.79","5.44","8","8"
"София","2202002","2 Средно училище Академик Емилиян Станев ","4.63","4.914","108","108"
"София","2202026","26 Средно училище Йордан Йовков","4.15","3.835","18","22"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.03","3.51","75","77"
"София","2202534","Частно профилирано средно училище Свети Наум","4.12","4.47","14","14"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","4.67","5.026","12","12"
"София","2202536","Частно средно езиково училище Британика","5.38","5.72","19","19"
"София","2202574","Частно средно училище Свети Георги","4.98","5.75","23","23"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","3.39","3.9","5","14"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","4.44","5.13","6","6"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","3.77","3.802","51","51"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","3.38","4.986","39","35"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","4.13","3.534","7","7"
"София","2203720","Частно средно училище Дружба - София","4.4","4.841","18","19"
"София","2204018","18 Средно училище Уилям Гладстон","5.16","5.531","197","197"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","5.07","5.117","74","74"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","5.26","5.461","132","132"
"София","2204091","91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","5.69","5.882","184","184"
"София","2204134","134. средно училище Димчо Дебелянов","5.01","5.176","75","76"
"София","2204310","5. Вечерно средно училище Пеньо Пенев","3.38","3.747","32","28"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","4.32","4.288","39","40"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.5","4.72","184","185"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","4.09","5.3","7","11"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","2.65","3.73","30","28"
"София","2204511","Частна профилирана гимназия с чуждоезиково обучение Езиков свят","4.36","4.716","13","13"
"София","2204549","Частно средно училище с немски език Веда","5.11","5.791","32","32"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","4.67","4.893","81","84"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","5.08","5.187","86","86"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","4.72","5.252","210","208"
"София","2205408","Софийска професионална гимназия Княгиня Евдокия","3.49","3.97","126","120"
"София","2205520","Частна езикова гимназия Проф.Иван Апостолов","5.07","5.6","66","66"
"София","2206003","3. СУ Марин Дринов","4.05","5.126","50","49"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","2","3.79","6","5"
"София","2206302","Втора английска езикова гимназия Томас Джеферсън","5.34","5.623","196","196"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","3.71","3.702","247","258"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ А. С. ПОПОВ","4.12","5.249","141","138"
"София","2206411","Професионална гимназия по хранително-вкусови технологии Проф. д-р Георги Павлов","3.18","4.28","50","44"
"София","2207068","68. Средно училище Академик Никола Обрешков","4.18","4.304","27","28"
"София","2207069","69 Средно училище Димитър Маринов","3.68","3.905","18","17"
"София","2207108","108 Средно училище Никола Беловеждов","3.93","4.314","49","48"
"София","2207412","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","3.21","4.416","44","32"
"София","2208017","17 СУ Дамян Груев","4.02","4.04","19","21"
"София","2208028","28 Средно училище Алеко Константинов","3.3","3.688","47","46"
"София","2208057","57 Спортно училище Свети Наум Охридски","3.8","4.34","72","70"
"София","2208123","123 Средно училищe Стефан Стамболов","2.74","3.56","17","18"
"София","2208135","135 средно училище Ян Амос Коменски","3.78","5.53","27","24"
"София","2208413","Софийска гимназия по хлебни и сладкарски технологии","3.25","4.201","27","25"
"София","2208526","Частно средно училище Орфей","4.21","4.197","5","4"
"София","2208539","Частна професионална гимназия по икономика, туризъм и информатика,,Булпрогрес","3.83","5.31","26","24"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","4.69","4.816","75","75"
"София","2209036","36 Средно училище Максим Горки","4.39","4.865","48","50"
"София","2209051","51 СРЕДНО УЧИЛИЩЕ ЕЛИСАВЕТА БАГРЯНА","4.98","5.061","81","81"
"София","2209132","132. Средно училище Ваня Войнова","3.69","3.775","66","64"
"София","2209305","203 Профилирана езикова гимназия Свети Методий","4.2","4.549","89","92"
"София","2209529","Частно езиково средно училище Дорис Тенеди","5.34","5.633","37","37"
"София","2210085","85 Средно училище Отец Паисий","3.26","3.886","18","19"
"София","2210117","117. СУ","4.11","4.307","25","29"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","4.73","4.778","50","51"
"София","2211035","35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ДОБРИ ВОЙНИКОВ","5.4","4.884","108","108"
"София","2211304","Национална природо-математическа гимназия Академик Любомир Чакалов","5.43","5.413","249","250"
"София","2211417","Професионална гимназия по облекло Княгиня Мария Луиза","4.02","5.54","70","71"
"София","2211419","СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ХРИСТО БОТЕВ","4.83","4.794","184","181"
"София","2211420","НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ","4.76","5.358","211","211"
"София","2211517","ЧАСТНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ БАНКЕР","4.74","5.86","9","9"
"София","2211557","Духовно Училище Софийска духовна семинария Св. Иван Рилски","4.34","4.19","12","13"
"София","2212027","27. Средно училище Акад. Георги Караславов","4.24","5.37","7","7"
"София","2212037","37. Средно училище Райна Княгиня","2.37","2.264","11","14"
"София","2212040","40 Средно училище Луи Пастьор","4.02","4.062","24","25"
"София","2212056","56. Средно училище Професор Константин Иречек","4.1","4.083","44","45"
"София","2212079","79 средно училище Индира Ганди","3.24","3.474","53","54"
"София","2212090","90 Средно училище Генерал Хосе де Сан Мартин","4.11","3.628","20","21"
"София","2212096","96 Средно училище Лев Николаевич Толстой","4.1","4.239","27","28"
"София","2212097","97 Средно училище Братя Миладинови","4.18","4.678","72","69"
"София","2212137","137 средно училище Ангел Кънчев","4.14","4.207","75","85"
"София","2212303","33. Езикова гимназия Света София","4.43","4.626","129","134"
"София","2213010","10 Средно училище Теодор Траянов ","3.78","4.075","22","23"
"София","2213039","39 Средно училище Петър Динеков","4.01","4.157","28","29"
"София","2213081","81. Средно училище Виктор Юго","4.51","4.622","55","57"
"София","2213118","118 Средно училище Академик Людмил Стоянов","4.02","4.311","24","29"
"София","2213125","125 СУ Боян Пенев с изучаване на чужди езици","4.73","4.884","48","48"
"София","2213128","128 СРЕДНО УЧИЛИЩЕ АЛБЕРТ АЙНЩАЙН","4.23","4.866","51","51"
"София","2213131","131. СУ Климент Аркадиевич Тимирязев","3.75","4.132","32","34"
"София","2213144","144 Средно училище Народни будители","4","4.608","71","71"
"София","2213307","СПОРТНО УЧИЛИЩЕ ГЕН. ВЛАДИМИР СТОЙЧЕВ","3.84","5.103","113","109"
"София","2213350","Технологично училище Електронни системи към Технически Университет - София","5.23","5.23","98","97"
"София","2213503","Частна профилирана гимназия с чуждоезиково обучение Меридиан 22","4.88","4.83","17","17"
"София","2213507","АМЕРИКАНСКИ КОЛЕЖ В СОФИЯ","5.58","5.712","178","178"
"София","2213600","Частно средно училище с чуждоезиков профил Абрахам Линкълн","4.72","5.18","5","5"
"София","2214015","15 Средно училище Адам Мицкевич","3.6","3.579","32","32"
"София","2214054","54. СРЕДНО УЧИЛИЩЕ Свети ИВАН РИЛСКИ","4.17","4.01","48","52"
"София","2214101","101. СРЕДНО УЧИЛИЩЕ БАЧО КИРО","3.84","4.052","51","49"
"София","2214153","153 Спортно училище Неофит Рилски","3.52","4.851","56","54"
"София","2216001","1 Средно училище Пенчо П. Славейков","4.86","5.275","115","115"
"София","2216164","164. гимназия с преподаване на испански език Мигел де Сервантес","5.65","5.651","131","131"
"София","2216301","Първа английска езикова гимназия","5.59","5.639","189","189"
"София","2216306","Софийска математическа гимназия Паисий Хилендарски","5.52","5.711","161","161"
"София","2216309","IV Сменно-вечерна гимназия Отец Паисий ","3.83","4.07","61","54"
"София","2216422","Професионална гимназия по механоелектротехника Н.Й.Вапцаров","3.48","3.03","74","35"
"София","2216423","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ","4.05","5.375","176","176"
