"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2217053","53 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ХРЕЛКОВ","61.02","44.43","23","23"
"София","2208092","92 Основно училище Димитър Талев","64.6","44.4","57","57"
"София","2224121","121 СРЕДНО УЧИЛИЩЕ ГЕОРГИ ИЗМИРЛИЕВ","66.51","44.23","50","50"
"София","2219042","42. Основно училище Хаджи Димитър","62.69","44.17","114","114"
"София","2218191","191 ОСНОВНО УЧИЛИЩЕ ОТЕЦ ПАИСИЙ","53.23","44.1","13","13"
"София","2210115","115 Основно Училище Свети, свети Кирил и Методий","59.85","44.08","13","13"
"София","2213600","Частно средно училище с чуждоезиков профил Абрахам Линкълн","64.42","43.92","6","6"
"София","2203061","61-во основно училище Свети Свети Кирил и Методий","69.26","43.83","89","89"
"София","2213502","Частно основно училище с изучаване на английски език Меридиан 22","72.98","43.31","21","21"
"София","2212056","56. Средно училище Професор Константин Иречек","68.93","43.23","150","150"
"София","2218703","Частно основно училище Изгрев","66","42.81","8","8"
"София","2224126","126 ОСНОВНО УЧИЛИЩЕ Петко Юрданов Тодоров","67.69","42.66","86","86"
"София","2212096","96 Средно училище Лев Николаевич Толстой","58.2","42.29","116","116"
"София","2206043","43. Основно училище Христо Смирненски","67.49","42.27","105","105"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","64.96","42.26","89","88"
"София","2204076","76. Основно училище Уилям Сароян","56.4","41.7","5","5"
"София","2209142","142 ОСНОВНО УЧИЛИЩЕ ВЕСЕЛИН ХАНЧЕВ","66.16","41.04","73","72"
"София","2214016","16 . ОСНОВНО УЧИЛИЩЕ РАЙКО ЖИНЗИФОВ ","64.31","41.02","44","44"
"София","2208017","17 СУ Дамян Груев","68.07","40.7","67","67"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","61.05","40.37","51","51"
"София","2212033","33 основно училище Санкт Петербург","62.38","40.03","82","82"
