"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","4.12","4.426","56","54"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.15","5.089","63","54"
"София","2210117","117. СУ","3.84","4.1","22","22"
"София","2215170","170 Средно училище Васил Левски","3.61","4.37","46","46"
"София","2200013","Частна професионална гимназия по дигитални науки СофтУни Будител","4.55","4.494","94","93"
"София","2200039","Частна гимназия по природни науки и предприемачество Асен Йорданов","4.24","5.148","10","10"
"София","2202002","2 Средно училище Академик Емилиян Станев ","4.91","5.017","103","105"
"София","2202026","26 Средно училище Йордан Йовков","3.53","3.855","23","24"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.07","3.604","77","82"
"София","2202534","Частно профилирано средно училище Свети Наум","4.22","4.327","8","8"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","4.67","5.09","10","10"
"София","2202536","Частно средно езиково училище Британика","5.48","5.59","22","22"
"София","2202574","Частно средно училище Свети Георги","4.94","5.7","16","16"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","3.33","3.94","7","8"
"София","2202620","Частно средно училище Професор Николай Райнов","4.32","4.987","8","8"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","5.01","5.91","4","3"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","3.92","3.622","52","50"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","3.53","5.077","35","37"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","0","3.76","0","1"
"София","2203720","Частно средно училище Дружба - София","4.57","4.674","21","22"
"София","2204018","18 Средно училище Уилям Гладстон","5.31","5.605","185","185"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","5.05","5.32","76","76"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","5.37","5.249","160","160"
"София","2204091","91. НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","5.78","5.894","183","184"
"София","2204134","134. средно училище Димчо Дебелянов","5.23","5.168","81","80"
"София","2204310","5. Вечерно средно училище Пеньо Пенев","3.36","3.451","38","36"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","4.39","4.568","45","45"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.7","4.85","177","176"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","3.92","5.33","19","25"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","2.83","3.8","23","19"
"София","2204511","Частна профилирана гимназия с чуждоезиково обучение Езиков свят","4.22","4.762","9","9"
"София","2204549","Частно средно училище с немски език Веда","5.18","5.94","15","15"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","5","5.337","81","82"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","5.25","5.246","80","80"
