"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1601403","Средно училище ""Петко Рачов Славейков""","29940","Предприемачески","30","30","30","256.5","256.5","256"
"2026","2","1601403","Средно училище ""Петко Рачов Славейков""","29940","Предприемачески","256.5","256.5","0","256.5","256.5","0"
