"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2200034","Частно средно училище Дени Дидро","72.41","66.75","16","16"
"София","2201078","78. Средно училище Христо Смирненски","75.24","67.38","97","96"
"София","2215170","170 Средно училище Васил Левски","78.92","74.11","78","76"
"София","2215171","171 ОСНОВНО УЧИЛИЩЕ СТОИЛ ПОПОВ","80.39","75.85","48","48"
"София","2215172","172 Обединено училище Христо Ботев","24","25.5","2","2"
"София","2200021","ЧСУ Роналд Лаудер","81.38","80.25","20","22"
"София","2200022","Частно начално училище Милеа","42.75","63.5","8","8"
"София","2200023","Частно средно училище Константин-Кирил Философ","54.5","77.5","2","2"
"София","2200024","Частно средно училище Наука за деца","95.03","96.72","38","38"
"София","2200031","Частно Начално Училище Канадско Мече","85.46","89.29","47","47"
"София","2200037","Частно основно училище Прогресивно образование 3 - София","86.85","86.2","10","10"
"София","2200045","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ФЮЖЪН","80.39","80.76","28","23"
"София","2201515","Частно основно училище Цар Симеон Велики","85.88","90.96","28","28"
"София","2202002","2 Средно училище Академик Емилиян Станев ","83.71","85.01","134","134"
"София","2202005","5 Основно училище Иван Вазов","85.97","86.29","108","107"
"София","2202026","26 Средно училище Йордан Йовков","82.98","79.58","61","60"
"София","2202050","50. ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","84.05","87.1","69","68"
"София","2202052","52. основно училище Цанко Церковски","81.93","84.25","74","73"
"София","2202064","64 основно училище Цар Симеон Велики ","76.89","81.26","50","50"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","86","89.5","4","4"
"София","2202536","Частно средно езиково училище Британика","91.22","91.38","38","38"
"София","2202537","Частно основно училище Света София ЕООД","93.82","96.49","82","82"
"София","2202574","Частно средно училище Свети Георги","80.11","83.74","54","53"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","55.8","53.15","10","10"
"София","2202620","Частно средно училище Професор Николай Райнов","72.82","66.88","17","17"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","80.07","72.57","15","15"
"София","2202705","Частно средно Монтесори училище Откривател","80.63","83.64","15","14"
"София","2203061","61-во основно училище Свети Свети Кирил и Методий","81.75","77.28","83","82"
"София","2203062","62. Основно училище Христо Ботев","80.51","78.99","41","41"
"София","2203070","70-о основно училище Свети Климент Охридски","41.68","30.13","20","19"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","77.89","74.71","56","56"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","62.24","56.99","81","77"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","86.83","60.33","3","3"
