"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.65","4.30","83","24"
"София","2201078","78. Средно училище Христо Смирненски","3.64","3.73","31","31"
"София","2215170","170 Средно училище Васил Левски","4.03","3.95","39","41"
"София","2211557","Духовно Училище Софийска духовна семинария Св. Иван Рилски","3.89","3.95","9","10"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","5.60","5.71","2","2"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","0.00","0.00","0","0"
"София","2902101","Национално музикално училище Любомир Пипков","4.62","4.64","68","31"
"София","2902301","Национално училище за танцово изкуство","4.37","0.00","57","0"
"София","2902401","Национално училище за изящни изкуства Илия Петров","4.62","4.88","51","2"
"София","2902501","НАЦИОНАЛНА ГИМНАЗИЯ ЗА ПРИЛОЖНИ ИЗКУСТВА СВЕТИ ЛУКА - СОФИЯ","4.60","4.85","91","46"
"София","2902601","Национална професионална гимназия по полиграфия и фотография","4.36","0.00","108","0"
"София","2902701","Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия","5.20","5.38","49","49"
"София","2902702","Национална гимназия за древни езици и култури Константин Кирил Философ","5.30","5.23","73","73"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.29","4.43","49","48"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.52","4.56","195","177"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","2.72","2.85","17","4"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","3.09","2.80","27","6"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","4.58","4.85","186","187"
"София","2205408","Софийска професионална гимназия Княгиня Евдокия","3.52","3.44","42","11"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","3.81","3.99","114","84"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ А. С. ПОПОВ","3.97","4.12","98","92"
"София","2207412","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","3.37","3.56","40","34"
"София","2208413","Софийска гимназия по хлебни и сладкарски технологии","3.67","3.71","48","38"
"София","2211417","Професионална гимназия по облекло Княгиня Мария Луиза","3.87","4.58","42","5"
"София","2211419","СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ХРИСТО БОТЕВ","4.88","4.45","178","169"
"София","2211420","НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ","5.05","4.97","196","174"
"София","2213350","Технологично училище Електронни системи към Технически Университет - София","5.06","5.27","98","98"
"София","2216422","Професионална гимназия по механоелектротехника Н.Й.Вапцаров","3.23","3.38","29","31"
"София","2216423","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ","4.26","4.57","167","40"
"София","2217424","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА","4.18","4.58","134","102"
"София","2220427","Професионална гимназия по железопътен транспорт Никола Корчев","3.20","3.35","15","6"
"София","2221430","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ МАКГАХАН","3.49","3.72","62","50"
"София","2223431","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ","4.33","4.66","157","149"
"София","2224432","Професионална гимназия по дизайн Елисавета Вазова","4.21","4.03","62","25"
"София","2224433","НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ","5.00","5.00","236","74"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","4.71","4.68","24","24"
"София","2211304","Национална природо-математическа гимназия Академик Любомир Чакалов","5.28","5.49","234","234"
"София","2213307","СПОРТНО УЧИЛИЩЕ ГЕН. ВЛАДИМИР СТОЙЧЕВ","3.88","4.20","98","47"
"София","2204134","134. средно училище Димчо Дебелянов","4.90","5.14","75","76"
"София","2217151","НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ СОФИЯ","4.04","4.24","37","37"
