"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. СУ Христо Смирненски","38","27.11","45","44"
"София","2201515","ЧСУ Цар Симеон Велики","46.19","46","8","8"
"София","2202002","2. СУ Акад.Емилиян Станев","43.09","41.01","144","144"
"София","2202005","5 ОУ Ив. Вазов","38.88","37.24","38","38"
"София","2202026","26 СУ Йордан Йовков","31.99","24","39","39"
"София","2202050","50 ОУ Васил Левски","35.13","25.45","31","31"
"София","2202052","52 ОУ","33.3","29.55","33","33"
"София","2202064","64 ОУ","47.98","47.36","22","22"
"София","2202086","86 ОУ","32.87","28.78","23","23"
"София","2202152","152 ОУ","24.29","17.71","7","7"
"София","2202535","ЧСОУ РЬОРИХ","39.7","34.2","5","5"
"София","2202536","ЧСЕУ Дрита","37.56","49","27","27"
"София","2202537","ЧОУ Света София","56.1","62.75","52","52"
"София","2202574","ЧСУ Свети Георги","41.38","45.44","16","16"
"София","2202612","СУУУС Проф. д-р Дечо Денев","23.65","28.14","13","14"
"София","2203061","61 ОУ Св. Св. Кирил и Методий","41.9","35.46","46","46"
"София","2203070","70-о ОУ","16.03","14.37","19","19"
"София","2203074","74 СУ Гоце Делчев","38.27","35.02","90","90"
"София","2203140","140. СУ Иван Богоров","28.37","23.01","78","78"
"София","2203146","146 ОУ","33.45","32.45","11","11"
"София","2203175","175 ОУ","33.84","32.73","16","15"
"София","2203603","СУ за ученици с нарушено зрени","33.92","21.8","6","5"
"София","2203720","ЧСУ Дружба – София","40.26","43.34","35","35"
"София","2204018","18 СУ Уилям Гладстон","45.19","45.45","177","177"
"София","2204030","30 СУ Братя Миладинови","36.55","27.26","66","66"
"София","2204032","32.СУИЧЕ Св. Климент Охридски","47.72","47.85","194","194"
"София","2204046","46 ОУ К. Фотинов","30.26","19.53","17","17"
"София","2204067","67 ОУ Васил Друмев","11.38","9.15","26","26"
"София","2204076","76. ОУ","34.86","33.78","18","18"
"София","2204134","134. СУ Д. Дебелянов","45.52","48.72","72","72"
"София","2204136","136 ОУ Любен Каравелов","16.19","11.42","31","33"
"София","2204549","ЧПГ ВЕДА","48.88","54","12","12"
"София","2204595","ЧОУ Светлина","39.68","38.5","11","10"
"София","2204674","ЧОУ Езиков свят","26","18","2","1"
"София","2205011","11 ОУ Св. Пимен Зографски","39.85","39.88","40","40"
"София","2205105","105. СУ Атанас Далчев","42.77","42.17","90","90"
"София","2205119","119 СУ Академик М. Арнаудов","43.74","46.1","124","124"
"София","2205521","ЧОУ Св. Климент Охридски","51.58","57.5","12","12"
"София","2206003","3 СУ МАРИН ДРИНОВ","20.25","12.82","22","22"
"София","2206043","43 ОУ Христо Смирненски","39.65","33.78","69","69"
"София","2206045","45 ОУ","41.93","37.03","101","101"
"София","2206113","113 СУСава Филаретов","12.88","12.33","16","15"
"София","2207004","4 ОУ","38.91","41.37","67","67"
"София","2207065","65 ОУ","18.5","12.7","10","10"
"София","2207068","68 СУАкад.Никола Обрешков","35.27","29.72","37","36"
"София","2207069","69 СУ Д. Маринов","19.62","18.52","25","25"
"София","2207089","89 ОУ --Д-р Христо Стамболски","16.24","12.61","17","18"
"София","2207108","108 СУ Н.Беловеждов","32.41","25.02","41","41"
"София","2207150","150-то ОУ ЦАР СИМЕОН ПЪРВИ","33.51","29.66","35","35"
"София","2207163","163 ОУ","37.52","36.71","48","48"
"София","2208017","17 СУ Дамян Груев","40.82","36.44","87","88"
"София","2208028","28 СУ А. Константинов","28.63","22.26","42","42"
