"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","68.42","71.94","73","72"
"София","2201515","Частно средно училище Цар Симеон Велики","73.13","84.38","8","8"
"София","2202002","2 средно училище Академик Емилиян Станев ","79.62","85.16","132","129"
"София","2202005","5 Основно училище Иван Вазов","62.21","80.86","77","76"
"София","2202026","26 Средно училище Йордан Йовков","84.44","86.33","45","45"
"София","2202050","50. Основно училище ВАСИЛ ЛЕВСКИ","81.43","78.39","28","28"
"София","2202052","52 Основно училище Цанко Церковски","81.07","74.37","70","71"
"София","2202064","64 основно училище Цар Симеон Велики ","77.64","79.44","36","36"
"София","2202086","86 Основно училище Св. Климент Охридски","56.19","61.25","21","20"
"София","2202152","152 ОСНОВНО УЧИЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ","81.67","77.22","9","9"
"София","2202534","Частно профилирано средно училище Свети Наум","95","95","1","1"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","90.71","80.83","7","6"
"София","2202536","Частно средно езиково училище Дрита","88.25","85","20","21"
"София","2202537","Частно основно училище Света София ЕООД","91.81","94.31","80","80"
"София","2202574","Частно средно училище Свети Георги","83.82","88.82","17","17"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","43.08","46.15","13","13"
"София","2202620","Частно средно училище Професор Николай Райнов","61.5","69.44","10","9"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","90","90","1","1"
"София","2203061","61-во основно училище Свети Свети Кирил и Методий","76.82","86.16","74","73"
"София","2203062","62. Основно училище Христо Ботев","71.32","72.63","19","19"
"София","2203070","70-о основно училище Свети Климент Охридски","54.67","49.64","15","14"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","73.87","82.9","62","62"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","66.89","68.73","61","59"
"София","2203146","146 Основно училище Патриарх Евтимий","79","82.25","20","20"
"София","2203175","175 основно училище Васил Левски","69.35","71.52","23","23"
"София","2203720","Частно средно училище Дружба - София","63.39","81.61","31","31"
"София","2204018","18 Средно училище Уилям Гладстон","88.3","91.73","188","188"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","81.78","82.38","101","101"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","88.1","87.61","163","165"
"София","2204046","46 Основно училище Константин Фотинов с разширено изучаване на хореография","65.91","72.95","22","22"
"София","2204067","67 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ДРУМЕВ","52.11","56.14","38","35"
"София","2204076","76. Основно училище Уилям Сароян","68.5","57.78","10","9"
"София","2204134","134. средно училище Димчо Дебелянов","85.47","89.37","86","87"
"София","2204136","136 ОСНОВНО УЧИЛИЩЕ ЛЮБЕН КАРАВЕЛОВ","47.5","46.39","36","36"
"София","2204549","Частно средно училище с немски език Веда","99.76","99.76","21","21"
"София","2204595","Частно основно училище Светлина","79","92","5","5"
"София","2205011","11 Основно училище Свети Пимен Зографски","69.78","78.81","68","67"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","75.13","83.33","119","120"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","75.93","84.24","182","183"
"София","2205521","Частно основно училище Св. Климент Охридски ","92.75","90.5","20","20"
"София","2206003","Трето средно училище Марин Дринов","71.11","78.5","9","10"
"София","2206043","43 Основно училище Христо Смирненски","85.41","88.29","111","111"
"София","2206045","45 основно училище Константин Величков","71.26","75.89","115","113"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","41.76","47.5","17","16"
"София","2207004","4. Основно училище Проф. Джон Атанасов","69.23","82.77","110","110"
"София","2207065","65 основно училище Св. Св. Кирил и Методий","68.18","59.55","11","11"
"София","2207068","68. Средно училище Академик Никола Обрешков","71.67","72.86","57","56"
"София","2207069","69 Средно училище Димитър Маринов","71.67","70.16","33","32"
"София","2207089","89 ОУ Д-р Христо Стамболски","38.06","41.33","18","15"
"София","2207108","108 Средно училище Никола Беловеждов","83.01","82.84","88","88"
"София","2207150","150-то ОСНОВНО УЧИЛИЩЕ ЦАР СИМЕОН ПЪРВИ","85.31","82.11","64","64"
"София","2207163","163 ОСНОВНО УЧИЛИЩЕ ЧЕРНОРИЗЕЦ ХРАБЪР","88.12","91.29","69","70"
"София","2208017","17 СУ Дамян Груев с ранно чуждоезиково обучение","69.74","79.07","97","97"
"София","2208028","28 Средно училище Алеко Константинов","73.69","78.95","61","62"
"София","2208075","75.Основно училище Тодор Каблешков ","54.75","59.89","101","92"
"София","2208092","92 Основно училище Димитър Талев","73.56","79.22","45","45"
"София","2208123","123 Средно училищe Стефан Стамболов","71.18","58.75","38","40"
"София","2208135","135 средно училище Ян Амос Коменски","57.63","63.97","59","58"
"София","2208147","147 Основно училище Йордан Радичков","53.33","64.64","15","14"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","80.23","83.43","108","108"
"София","2209025","25 основно училище Д-р Петър Берон","71.49","78.06","87","90"
"София","2209034","34 ОСНОВНО УЧИЛИЩЕ СТОЮ ШИШКОВ","69.94","79.67","90","90"
"София","2209036","36 Средно училище Максим Горки","73","83.15","115","116"
"София","2209051","51 СРЕДНО УЧИЛИЩЕ ЕЛИСАВЕТА БАГРЯНА","84.12","93.13","119","120"
"София","2209132","132. Средно училище Ваня Войнова","52.14","46.5","21","20"
"София","2209142","142 ОСНОВНО УЧИЛИЩЕ ВЕСЕЛИН ХАНЧЕВ","72.65","82.47","83","83"
"София","2209529","Частно езиково средно училище Дорис Тенеди","98.97","99.74","39","39"
"София","2210085","85 Средно училище Отец Паисий","66.92","65.96","26","26"
"София","2210115","115 основно училище Свети, свети Кирил и Методий","77.5","77","10","10"
"София","2210116","116 Основно училище Паисий Хилендарски","53","46.11","10","9"
"София","2210117","117. Средно училище Свети свети Кирил и Методий","58","83.2","25","25"
"София","2210156","156-о основно училище Васил Левски","65.87","67.61","23","23"
"София","2210159","159 основно училище Васил Левски","70","69.2","25","25"
"София","2210162","162 Основно училище Отец Паисий","30.27","40.94","37","32"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","75.89","80.78","45","45"
"София","2211035","35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ДОБРИ ВОЙНИКОВ","77.99","84.44","72","71"
"София","2211107","107. основно училище Хан Крум","80.78","88.39","90","90"
"София","2211120","120 Основно училище Георги Сава Раковски","82.9","84.6","88","88"
"София","2211122","122 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ЛИЛИЕВ","83.97","88.53","58","58"
"София","2211139","139 Основно училище Захарий Круша","80.26","87.24","78","78"
"София","2211518","Частно основно училище Д-р Петър Берон","91.43","90.7","56","57"
"София","2211564","Частно средно училище Българско школо ООД","90.87","93.48","46","46"
"София","2211598","ЧАСТНО СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ГАЛИНА СЕРГЕЕВНА УЛАНОВА","91.67","91.67","6","6"
"София","2212027","27. Средно училище Акад. Георги Караславов","55","84.38","9","8"
"София","2212033","33 основно училище Санкт Петербург","73.9","74.77","109","109"
"София","2212037","37. СРЕДНО УЧИЛИЩЕ РАЙНА КНЯГИНЯ","63.55","64.68","31","31"
"София","2212040","40 Средно училище Луи Пастьор","81.34","82.25","71","71"
"София","2212056","56. Средно училище Професор Константин Иречек","84.16","84.19","119","117"
"София","2212077","77 Основно училище Св. Св. Кирил и Методий","82.04","91.48","27","27"
"София","2212079","79 средно училище Индира Ганди","81.19","85.78","113","115"
"София","2212090","90 Средно училище Генерал Хосе де Сан Мартин","57.93","72.98","58","57"
"София","2212096","96. Средно училище Лев Николаевич Толстой","78.15","76.52","138","138"
"София","2212097","97 Средно училище Братя Миладинови","66.14","67.42","66","66"
"София","2212103","103 Основно училище Васил Левски","35.9","34.57","50","46"
"София","2212137","137 средно училище Ангел Кънчев","79.6","79.31","101","101"
"София","2212553","Частно средно училище Петко Рачов Славейков","78.46","86.54","13","13"
"София","2212554","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ЕРИХ КЕСТНЕР","78.33","87.78","18","18"
"София","2213010","10 Средно училище Теодор Траянов ","77.15","91.15","65","65"
"София","2213039","39 Средно училище Петър Динеков","79.13","84.2","86","87"
"София","2213081","81. Средно училище Виктор Юго","75.41","85.03","160","159"
"София","2213082","82. основно училище Васил Евстатиев Априлов","84.32","86.82","22","22"
"София","2213118","118 Средно училище Академик Людмил Стоянов","76.3","88.62","96","94"
"София","2213125","125 СУ с изучаване на чужди езици Боян Пенев","78.21","90.74","159","162"
"София","2213128","128 СРЕДНО УЧИЛИЩЕ АЛБЕРТ АЙНЩАЙН","92.8","93.9","91","91"
"София","2213131","131 СУ Климент Аркадиевич Тимирязев","68.95","83.06","19","18"
"София","2213144","144 Средно училище Народни будители","91.05","87.02","129","129"
"София","2213145","145 Основно училище Симеон Радев ","82.62","91.46","130","130"
"София","2213502","Частно основно училище с изучаване на английски език Меридиан 22","89.21","87.89","19","19"
"София","2213506","Частно средно училище с ранно чуждоезиково обучение ЕСПА","96.67","94.5","9","10"
"София","2213600","Частно средно училище с чуждоезиков профил Абрахам Линкълн","85","84.29","7","7"
"София","2213721","Частно Основно Училище Азбуки","81.56","95.31","16","16"
"София","2214015","15 Средно училище Адам Мицкевич","67.76","72.33","29","30"
"София","2214016","16 . ОСНОВНО УЧИЛИЩЕ РАЙКО ЖИНЗИФОВ ","70.88","81.58","74","73"
"София","2214054","54 СРЕДНО УЧИЛИЩЕ Свети ИВАН РИЛСКИ","73.82","82.6","136","131"
"София","2214063","63 Основно училище Христо Ботев","79.29","87.22","28","27"
"София","2214098","98 Начално училище Св. св. Кирил и Методий","83.89","89.78","45","45"
"София","2214101","101. СРЕДНО УЧИЛИЩЕ БАЧО КИРО","76.01","79.7","99","101"
"София","2214102","102. oсновно училище Панайот Волов","73.8","75.63","46","48"
"София","2214141","141 Основно училище Народни будители","48","48.64","10","11"
"София","2215160","160 Основно училище Кирил и Методий","48.57","58.57","14","14"
"София","2215170","170 Средно училище Васил Левски","71.47","73.68","68","68"
"София","2215171","171 ОСНОВНО УЧИЛИЩЕ СТОИЛ ПОПОВ","83.4","90.2","25","25"
"София","2215172","172 Обединено училище Христо Ботев","47.69","50.83","13","12"
"София","2215176","176 Обединено училище Св. Св. Кирил и Методий","59.47","77.11","19","19"
"София","2215177","177 Основно училище Св.Св.Кирил и Методий","73.33","72.38","21","21"
"София","2215179","179 Основно училище Васил Левски","72.27","65","11","11"
"София","2216001","1 Средно училище Пенчо П. Славейков","77.17","83.4","99","100"
"София","2216112","112 ОСНОВНО УЧИЛИЩЕ СТОЯН ЗАИМОВ","81.56","86.96","154","153"
"София","2216129","129 Основно Училище Антим -І","77.84","82.63","95","95"
"София","2216532","Частно средно училище УВЕКИНД ","90.36","94.07","28","27"
"София","2217053","53 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ХРЕЛКОВ","78.75","72.19","16","16"
"София","2217066","66 Средно училище Филип Станиславов","62.89","67.37","19","19"
"София","2217072","72 Основно училище Христо Ботев ","68.75","79.64","28","28"
"София","2217088","88 Средно училище Димитър Попниколов","74.86","82.92","142","142"
"София","2217149","149 Средно училище ,,Иван Хаджийски","74","80","50","49"
"София","2217151","НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ СОФИЯ","82.13","84.66","89","88"
"София","2217525","Частно основно училище Монтесори ЕООД","90.83","95","6","6"
"София","2217722","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ТОМАС ЕДИСЪН","74.09","99.09","11","11"
"София","2218071","71 Средно училище Пейо Яворов","73.33","71.43","36","35"
"София","2218083","83. Основно училище Елин Пелин","82.12","86.97","33","33"
"София","2218084","84 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","79.72","76.76","18","17"
"София","2218155","155 ОСНОВНО УЧИЛИЩЕ СВЕТИ СВЕТИ КИРИЛ И МЕТОДИЙ","55","52.5","4","4"
"София","2218191","191 ОСНОВНО УЧИЛИЩЕ ОТЕЦ ПАИСИЙ","70","86.25","12","12"
"София","2218192","192 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","76.94","77.64","36","36"
"София","2218200","200 Основно училище Отец Паисий","79.25","61.75","20","20"
"София","2218201","201 ОСНОВНО УЧИЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ","77.04","79.63","27","27"
"София","2218202","202 ОСНОВНО УЧИЛИЩЕ ХРИСТО БОТЕВ","67.5","74.17","6","6"
"София","2218703","Частно основно училище Изгрев ЕООД","57.5","88.33","6","6"
"София","2219024","24 Средно училище П.К.Яворов","45.91","44.5","11","10"
"София","2219042","42 основно училище Хаджи Димитър","67.02","73.07","114","114"
"София","2219044","44. Средно училище Неофит Бозвели","67.29","71.71","35","35"
"София","2219049","49-то Основно училище Бенито Хуарес","74.76","83.14","146","145"
"София","2219095","95 СУ Проф. Иван Шишманов","76.28","79.68","47","47"
"София","2219106","106 Основно училище Григорий Цамблак ","39.55","50","11","9"
"София","2219124","124 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","38.75","51.25","4","4"
"София","2219130","130. средно училище Стефан Караджа","66.96","64.67","28","30"
"София","2219143","143 основно училище Георги Бенковски","87.26","91.83","93","93"
"София","2219199","199 Основно Училище Свети Апостол Йоан Богослов","74.86","67.29","35","35"
"София","2220014","14. средно училище Проф. д-р Асен Златаров","68.75","75.85","44","41"
"София","2220048","48 ОСНОВНО УЧИЛИЩЕ ЙОСИФ КОВАЧЕВ","71.82","73.22","74","73"
"София","2220058","58 Основно училище Сергей Румянцев","61.67","70.73","42","41"
"София","2220059","59 ОБЕДИНЕНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","21.3","51.59","23","22"
"София","2220060","60 ОУ Св.св.Кирил и Методий","71.75","69.49","57","59"
"София","2220100","100 ОСНОВНО УЧИЛИЩЕ НАЙДЕН ГЕРОВ","82.39","82.61","23","23"
"София","2221023","23 Средно училище Фредерик Жолио-Кюри","78.65","83.44","89","90"
"София","2221031","31 Средно училище за чужди езици и мениджмънт Иван Вазов","82.74","90.42","106","106"
"София","2221093","93-то Средно училище Александър Теодоров - Балан","75.48","81.9","21","21"
"София","2221094","94 СРЕДНО УЧИЛИЩЕ Димитър Страшимиров","48.06","48.84","72","73"
"София","2221109","109 Основно училище Христо Смирненски","80.41","88.84","97","99"
"София","2221138","138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ПРОФ. ВАСИЛ ЗЛАТАРСКИ","88.41","85.45","110","111"
"София","2221148","148 ОСНОВНО УЧИЛИЩЕ ПРОФЕСОР Д-Р ЛЮБОМИР МИЛЕТИЧ","63.65","71.25","52","52"
"София","2221501","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ОБРАЗОВАТЕЛНИ ТЕХНОЛОГИИ","76","88.5","30","30"
"София","2221614","Частно основно училище Джани РоДари ЕООД","85.83","82.5","6","6"
"София","2221621","Частно начално училище Питагор","91.76","95","37","37"
"София","2222006","6 ОУ Граф Игнатиев","83.48","86.79","82","81"
"София","2222007","7. СРЕДНО УЧИЛИЩЕ СВ. СЕДМОЧИСЛЕНИЦИ","85.46","87.76","87","87"
