"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","3.51","3.217","31","30"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.13","4.374","78","75"
"София","2215170","170 Средно училище Васил Левски","3.85","3.781","29","29"
"София","2200039","Частна гимназия по природни науки и предприемачество Асен Йорданов","4.8","5.73","1","1"
"София","2202002","2 Средно училище Академик Емилиян Станев ","4.32","4.383","92","92"
"София","2202026","26 Средно училище Йордан Йовков","3.72","3.727","13","13"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.24","4.56","47","46"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","4.34","5.36","5","5"
"София","2202536","Частно средно езиково училище Британика","4.83","5.02","11","11"
"София","2202574","Частно средно училище Свети Георги","4.76","5.92","9","11"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","2.84","3.95","2","4"
"София","2202620","Частно средно училище Професор Николай Райнов","4.02","4.84","4","4"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","3.1","2.882","23","23"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","2.87","2.788","21","18"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","4.03","3.405","6","6"
"София","2203720","Частно средно училище Дружба - София","4.28","4.86","27","27"
"София","2204018","18 Средно училище Уилям Гладстон","4.97","5.193","209","212"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","4.46","4.304","69","69"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","4.96","5.141","154","154"
"София","2204091","91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","5.5","5.739","184","159"
"София","2204134","134. средно училище Димчо Дебелянов","5","5.056","78","77"
"София","2204310","5. Вечерно средно училище Пеньо Пенев","2.92","3.415","13","13"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","4.22","4.639","40","39"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.13","4.62","182","181"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","2.65","3.884","18","18"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","2.39","3.52","8","6"
"София","2204511","Частна профилирана гимназия с чуждоезиково обучение Езиков свят","4.26","4.575","6","6"
"София","2204549","Частно средно училище с немски език Веда","5.85","5.834","5","5"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","4.24","4.314","69","69"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","4.64","4.545","105","105"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","4.37","4.97","249","247"
"София","2205408","Софийска професионална гимназия Княгиня Евдокия","3.1","4.59","27","25"
"София","2205520","Частна езикова гимназия Проф.Иван Апостолов","4.73","5.33","43","43"
"София","2206003","3. СУ Марин Дринов","2.98","3.307","20","19"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","2.17","2.0","6","6"
"София","2206302","Втора английска езикова гимназия Томас Джеферсън","5.12","5.311","208","208"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","3.38","3.03","133","137"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ А. С. ПОПОВ","3.65","4.368","105","98"
"София","2206411","Професионална гимназия по хранително-вкусови технологии Проф. д-р Георги Павлов","2.75","3.87","43","43"
"София","2207068","68. Средно училище Академик Никола Обрешков","3.46","4.026","21","21"
"София","2207108","108 Средно училище Никола Беловеждов","3.66","3.363","24","24"
"София","2207412","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","3.39","4.34","37","28"
"София","2208017","17 СУ Дамян Груев","4.08","2.87","20","20"
"София","2208028","28 Средно училище Алеко Константинов","3.28","3.68","21","21"
"София","2208057","57 Спортно училище Свети Наум Охридски","2.87","4.62","71","70"
"София","2208123","123 Средно училищe Стефан Стамболов","2.95","2.818","14","16"
"София","2208135","135 средно училище Ян Амос Коменски","3.68","5.13","14","14"
"София","2208413","Софийска гимназия по хлебни и сладкарски технологии","3.03","4.53","26","23"
"София","2208526","Частно средно училище Орфей","4.42","4.578","7","7"
"София","2208539","Частна професионална гимназия по икономика, туризъм и информатика,,Булпрогрес","3.55","5.828","5","8"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","4.52","4.767","68","69"
"София","2209036","36 Средно училище Максим Горки","3.77","3.635","19","19"
"София","2209051","51 СРЕДНО УЧИЛИЩЕ ЕЛИСАВЕТА БАГРЯНА","4.41","3.799","87","88"
"София","2209132","132. Средно училище Ваня Войнова","3.25","3.432","48","46"
"София","2209305","203 Профилирана езикова гимназия Свети Методий","3.59","3.775","47","47"
"София","2209529","Частно езиково средно училище Дорис Тенеди","5","5.44","27","26"
"София","2210085","85 Средно училище Отец Паисий","2.77","2.697","24","21"
"София","2210117","117. СУ","3.12","2.373","23","23"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","4.27","4.326","46","46"
"София","2211035","35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ДОБРИ ВОЙНИКОВ","5.18","4.569","133","133"
"София","2211304","Национална природо-математическа гимназия Академик Любомир Чакалов","5.24","4.86","244","244"
"София","2211417","Професионална гимназия по облекло Княгиня Мария Луиза","3.74","5.26","53","52"
"София","2211419","СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ХРИСТО БОТЕВ","4.63","4.424","182","182"
"София","2211420","НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ","4.77","5.28","175","175"
"София","2211517","ЧАСТНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ БАНКЕР","4.86","5.84","6","6"
"София","2211557","Духовно Училище Софийска духовна семинария Св. Иван Рилски","3.23","3.32","11","11"
"София","2212027","27. Средно училище Акад. Георги Караславов","3.04","3.073","12","13"
"София","2212037","37. Средно училище Райна Княгиня","2.42","2.562","12","9"
"София","2212040","40 Средно училище Луи Пастьор","4.13","3.961","14","12"
"София","2212056","56. Средно училище Професор Константин Иречек","4.33","4.156","41","41"
"София","2212079","79 средно училище Индира Ганди","3.41","3.117","22","21"
