"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","48.93","21.06","50","49"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","36.06","17.7","61","61"
"София","2215170","170 Средно училище Васил Левски","55.65","25.7","50","43"
"София","2215172","172 Обединено училище Христо Ботев","27.29","13.09","12","11"
"София","2200013","Частна професионална гимназия по дигитални науки СофтУни Светлина","57.31","42.68","87","82"
"София","2202002","2 Средно училище Академик Емилиян Станев ","61.96","31.75","103","103"
"София","2202026","26 Средно училище Йордан Йовков","50.95","29.77","22","22"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","47.4","19.98","81","79"
"София","2202534","Частно профилирано средно училище Свети Наум","54.44","52.56","9","8"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","54.05","29.38","10","8"
"София","2202536","Частно средно езиково училище Британика","71.92","62.81","18","18"
"София","2202574","Частно средно училище Свети Георги","68.36","41.96","29","29"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","27.95","29.33","10","15"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","60.7","41.7","5","5"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","39.42","20.05","42","43"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","42.57","19.94","37","36"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","43.17","13.33","3","3"
"София","2203720","Частно средно училище Дружба - София","53.1","33.06","10","4"
"София","2204018","18 Средно училище Уилям Гладстон","74.65","50.18","196","193"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","65.93","38.9","75","74"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","73.95","61.96","131","132"
"София","2204091","91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","82.35","82.78","184","183"
"София","2204134","134. средно училище Димчо Дебелянов","66.97","56.59","76","76"
