"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201505","Частно начално училище Фоти","85","73.33","6","6"
"София","2201078","78. Средно училище Христо Смирненски","79.7","71.44","67","66"
"София","2218192","192. СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","78.2","70.22","25","23"
"София","2207065","65 основно училище Св. Св. Кирил и Методий","61.43","52.14","7","7"
"София","2210117","117. Средно училище Свети свети Кирил и Методий","73.08","60","39","39"
"София","2202086","86 Основно училище Св. Климент Охридски","93.85","72.86","13","14"
"София","2203146","146 Основно училище Патриарх Евтимий","79.07","78.7","27","27"
"София","2210115","115 Основно Училище Свети, свети Кирил и Методий","74.06","74.38","16","16"
"София","2215179","179 Основно училище Васил Левски","74.17","71.25","12","12"
"София","2218202","202 ОСНОВНО УЧИЛИЩЕ ХРИСТО БОТЕВ","75.91","66.36","11","11"
"София","2218191","191 ОСНОВНО УЧИЛИЩЕ ОТЕЦ ПАИСИЙ","68.18","73.64","11","11"
"София","2218071","71 Средно училище Пейо Яворов","79.69","65.92","48","49"
"София","2218200","200 Основно училище Отец Паисий","76.75","71","20","20"
"София","2218201","201 ОСНОВНО УЧИЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ","78.62","78.1","29","29"
"София","2203175","175 основно училище Васил Левски","78.65","71.35","26","26"
"София","2202152","152 ОСНОВНО УЧИЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ","88.75","87.5","4","4"
"София","2215176","176 Обединено училище Св. Св. Кирил и Методий","77.95","86.36","22","22"
"София","2215171","171 ОСНОВНО УЧИЛИЩЕ СТОИЛ ПОПОВ","75.17","76.21","29","29"
"София","2215172","172 Обединено училище Христо Ботев","57","65.5","10","10"
"София","2215170","170 Средно училище Васил Левски","80.11","73.21","90","92"
"София","2215177","177 Основно училище Св.Св.Кирил и Методий","70","53.57","6","7"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","95.71","95.71","7","7"
"София","2207069","69 Средно училище Димитър Маринов","74.76","59.5","21","20"
"София","2211122","122 ОСНОВНО УЧИЛИЩЕ НИКОЛАЙ ЛИЛИЕВ","81.98","86.36","81","81"
"София","2213721","ЧАСТНО ОСНОВНО УЧИЛИЩЕ АЗБУКИ","90.33","91.67","30","30"
"София","2222006","6 ОУ Граф Игнатиев","88.35","86.74","88","89"
"София","2902101","Национално музикално училище Любомир Пипков","84.56","79.93","68","67"
"София","2204067","67 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ДРУМЕВ","50.47","46.32","32","34"
"София","2209034","34 ОСНОВНО УЧИЛИЩЕ СТОЮ ШИШКОВ","79.83","79.37","119","119"
"София","2212103","103 Основно училище Васил Левски","38.65","48.03","37","38"
"София","2220014","14. средно училище Проф. д-р Асен Златаров","83.42","80.42","60","59"
"София","2224126","126 ОСНОВНО УЧИЛИЩЕ Петко Юрданов Тодоров","84.65","81.01","85","84"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","47.86","42.86","7","7"
"София","2211107","107. основно училище Хан Крум","87.27","81.73","75","75"
"София","2213506","Частно средно училище с ранно чуждоезиково обучение ЕСПА","96.07","95.69","28","29"
"София","2218084","84 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","77.58","77.26","31","31"
"София","2221614","Частно основно училище Джани РоДари ЕООД","83.75","87.08","12","12"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","89.3","87.17","157","157"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","87.89","85.28","109","108"
"София","2212096","96. Средно училище Лев Николаевич Толстой","86.4","74.56","114","114"
"София","2219143","143 основно училище Георги Бенковски","92.69","85.21","121","120"
"София","2224104","104 основно училище Захари Стоянов","95.45","89.91","111","111"
"София","2202537","Частно основно училище Света София ЕООД","91.25","95.56","80","81"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","36.76","35","17","12"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","73.62","75.21","47","47"
"София","2213145","145 Основно училище Симеон Радев ","89.79","93.32","145","146"
"София","2221148","148 ОСНОВНО УЧИЛИЩЕ ПРОФЕСОР Д-Р ЛЮБОМИР МИЛЕТИЧ","69.57","53.43","35","35"
"София","2204018","18 Средно училище Уилям Гладстон","94.48","90.52","193","193"
"София","2208147","147 Основно училище Йордан Радичков","73.42","53.16","19","19"
"София","2212079","79 средно училище Индира Ганди","84.36","76.18","94","93"
"София","2219124","124 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","58","51.36","10","11"
